/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,348.25,355.90,346.40,351.65,2403800,351.75
2012-07-20,348.25,355.95,346.20,351.75,2410500,351.75
2012-07-19,359.20,360.85,349.00,351.70,2304200,351.70
2012-07-18,346.35,357.85,340.70,354.05,3679300,354.05
2012-07-17,358.40,359.60,346.45,347.90,2285800,347.90
2012-07-16,360.25,362.35,351.50,354.40,2779400,354.40
2012-07-13,367.05,371.70,358.00,358.70,2608700,358.70
2012-07-12,370.00,370.45,361.90,364.60,2544500,364.60
2012-07-11,378.50,382.50,372.75,373.35,2987700,373.35
2012-07-10,367.85,382.95,366.50,382.20,3022100,382.20
2012-07-09,370.00,372.90,364.10,366.45,1958600,366.45
2012-07-06,381.95,381.95,369.60,373.60,3200600,373.60
2012-07-05,381.40,386.00,378.00,380.85,2399100,380.85
2012-07-04,379.10,382.90,375.45,379.20,3549700,379.20
2012-07-03,365.35,380.50,363.00,376.50,5332200,376.50
2012-07-02,360.40,364.70,356.60,362.15,2476000,362.15
2012-06-29,348.10,360.00,348.00,359.30,3635000,359.30
2012-06-28,345.65,345.90,337.80,341.70,1991700,341.70
2012-06-27,348.05,349.40,340.25,342.50,2045600,342.50
2012-06-26,349.35,352.50,340.05,343.75,2689100,343.75
2012-06-25,355.00,362.35,347.55,348.00,3900300,348.00
2012-06-22,337.70,355.80,334.40,352.60,5505600,352.60
2012-06-21,334.00,345.90,333.15,344.10,3216100,344.10
2012-06-20,336.00,338.80,330.80,336.00,2647400,336.00
2012-06-19,327.90,334.90,323.70,334.15,3754700,334.15
2012-06-18,350.10,354.40,326.70,331.05,4182500,331.05
2012-06-15,335.00,349.00,334.10,344.30,3438400,344.30
2012-06-14,343.05,347.50,330.75,333.05,3267900,333.05
2012-06-13,345.40,352.90,341.55,345.20,5601900,345.20
2012-06-12,327.00,347.00,326.20,344.00,4458600,344.00
2012-06-11,345.25,349.80,329.00,330.00,4193000,330.00
2012-06-08,333.00,341.90,331.20,340.50,6689400,340.50
2012-06-07,319.00,339.60,313.45,336.70,6821300,336.70
2012-06-06,303.75,316.75,303.50,314.95,2968000,314.95
2012-06-05,302.05,309.45,298.60,299.55,2513100,299.55
2012-06-01,309.00,312.20,297.10,297.10,2599500,297.10
2012-05-31,303.35,312.00,301.00,311.80,2581700,311.80
2012-05-30,316.00,316.35,305.00,305.00,1980200,305.00
2012-05-29,326.40,326.40,317.00,317.50,2231800,317.50
2012-05-28,321.00,325.90,320.05,323.15,2195200,323.15
2012-05-25,318.00,324.50,316.50,319.60,3648600,319.60
2012-05-24,311.90,320.30,305.15,319.80,4707300,319.80
2012-05-23,306.80,313.90,304.45,309.40,3455400,309.40
2012-05-22,317.70,319.80,305.00,308.50,4170300,308.50
2012-05-21,301.95,316.45,301.05,312.35,5390100,312.35
2012-05-18,286.80,296.50,284.05,290.50,2884100,290.50
2012-05-17,290.55,298.00,288.30,293.30,3083300,293.30
2012-05-16,288.80,290.75,281.80,287.95,2842500,287.95
2012-05-14,295.00,299.00,284.25,288.40,2674200,288.40
2012-05-11,288.40,298.00,285.30,294.45,3095700,294.45
2012-05-10,293.00,301.20,288.30,290.75,2775000,290.75
2012-05-09,296.00,302.80,290.15,291.60,3298300,291.60
2012-05-08,316.35,320.30,295.10,295.10,3466200,295.10
2012-05-07,301.00,318.30,295.00,317.35,3707800,317.35
2012-05-04,316.60,318.00,306.65,308.15,2766200,308.15
2012-05-03,325.80,326.70,318.10,319.20,2105200,319.20
2012-05-02,332.00,336.40,327.25,327.80,2628000,327.80
2012-04-30,321.10,333.90,321.10,329.40,2899000,329.40
2012-04-27,328.40,334.60,318.25,320.70,3758100,320.70
2012-04-26,323.80,329.70,321.00,325.65,3163300,325.65
2012-04-25,326.50,331.90,317.00,321.50,3223600,321.50
2012-04-24,325.00,331.80,318.80,326.85,3783500,326.85
2012-04-23,336.50,342.15,323.25,324.00,3492700,324.00
2012-04-20,347.90,347.90,335.30,338.40,3798400,338.40
2012-04-19,358.10,359.75,345.60,348.50,3697600,348.50
2012-04-18,369.90,371.70,355.90,356.55,3663500,356.55
2012-04-17,346.20,368.60,346.20,366.40,4491900,366.40
2012-04-16,350.00,353.95,340.10,348.20,3406700,348.20
2012-04-13,364.75,371.80,347.75,349.70,4358300,349.70
2012-04-12,364.00,370.40,360.10,360.20,3893500,360.20
2012-04-11,375.35,377.00,356.40,360.50,4754500,360.50
2012-04-10,391.00,391.90,373.75,380.45,2903200,380.45
2012-04-09,390.40,392.50,384.05,386.00,1641800,386.00
2012-04-04,399.00,400.00,390.60,395.60,1612100,395.60
2012-04-03,401.10,409.75,401.10,402.90,2276300,402.90
2012-04-02,391.35,403.75,389.50,398.30,2908900,398.30
2012-03-30,388.20,396.90,385.40,389.70,2878400,389.70
2012-03-29,374.25,392.60,374.25,383.15,3199000,383.15
2012-03-28,390.90,390.90,377.25,380.05,2463300,380.05
2012-03-27,392.00,397.95,382.40,395.00,3349200,395.00
2012-03-26,402.00,402.00,381.50,382.55,2876800,382.55
2012-03-23,391.55,408.70,388.45,402.90,3822300,402.90
2012-03-21,394.80,420.00,388.60,418.70,3660300,418.70
2012-03-20,387.00,398.00,380.30,392.60,3450200,392.60
2012-03-19,400.35,403.50,381.35,385.55,2839700,385.55
2012-03-16,411.70,421.80,397.00,397.95,3960200,397.95
2012-03-15,430.40,430.40,406.50,408.50,3259400,408.50
2012-03-14,439.90,444.60,430.90,432.85,3062900,432.85
2012-03-13,432.55,438.40,429.40,432.25,2185400,432.25
2012-03-12,427.90,432.00,418.35,426.95,3305400,426.95
2012-03-09,415.00,423.70,408.35,420.00,3499400,420.00
2012-03-07,400.85,413.75,390.60,408.20,5034400,408.20
2012-03-06,429.00,437.80,399.35,400.00,6748500,400.00
2012-03-05,426.00,443.80,424.00,424.50,7088600,424.50
2012-03-02,430.90,434.70,418.10,420.80,5019100,420.80
2012-03-01,403.20,430.90,395.10,425.65,8388000,425.65
2012-02-29,411.55,421.10,392.30,403.10,5002200,403.10
2012-02-28,374.80,408.65,373.50,406.50,5094500,406.50
2012-02-27,409.00,409.60,366.30,366.40,5087500,366.40
2012-02-24,419.70,427.90,405.00,407.70,4033800,407.70
2012-02-23,440.15,444.50,411.55,420.00,6804800,420.00
2012-02-22,467.90,481.65,438.50,439.50,5896400,439.50
2012-02-21,444.00,470.75,442.80,465.50,3137100,465.50
2012-02-17,446.05,461.40,434.70,446.80,3851200,446.80
2012-02-16,428.85,444.70,427.15,440.05,3378500,440.05
2012-02-15,427.00,436.00,425.25,430.60,3065800,430.60
2012-02-14,418.00,427.40,414.20,422.25,3050300,422.25
2012-02-13,407.70,422.40,392.80,419.10,5623800,419.10
2012-02-10,421.00,426.70,399.30,406.05,4956400,406.05
2012-02-09,411.00,427.60,408.30,424.40,5929300,424.40
2012-02-08,378.25,411.90,374.10,410.85,6126700,410.85
2012-02-07,387.70,389.95,370.50,374.00,3090900,374.00
2012-02-06,378.55,389.90,377.00,387.85,3793300,387.85
2012-02-03,367.70,379.45,358.50,373.25,4169700,373.25
2012-02-02,370.40,374.00,356.30,367.50,4375300,367.50
2012-02-01,362.00,370.00,358.15,369.50,3604000,369.50
2012-01-31,356.00,362.00,348.15,361.55,3715000,361.55
2012-01-30,339.95,362.30,335.10,353.00,8073200,353.00
2012-01-27,348.60,351.40,334.50,341.65,3854700,341.65
2012-01-25,340.00,349.30,336.65,345.85,4195800,345.85
2012-01-24,329.50,344.90,325.30,336.95,4489100,336.95
2012-01-23,319.80,331.20,316.30,326.80,3226300,326.80
2012-01-20,334.00,334.75,316.45,319.90,4136400,319.90
2012-01-19,331.00,334.40,322.10,329.55,7436800,329.55
2012-01-18,313.80,321.65,302.70,318.25,4941600,318.25
2012-01-17,302.70,317.00,302.60,310.80,3767100,310.80
2012-01-16,297.90,303.60,291.30,298.95,3331200,298.95
2012-01-13,282.30,304.70,282.20,302.00,5499100,302.00
2012-01-12,280.90,286.70,276.10,281.55,2592700,281.55
2012-01-11,282.50,287.80,277.10,279.50,3544900,279.50
2012-01-10,263.30,284.40,262.70,281.90,4448900,281.90
