Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,723.90,728.85,717.25,722.65,2836000,721.90
2012-07-20,722.30,728.85,717.05,721.90,2836000,721.90
2012-07-19,720.20,729.90,718.00,727.00,2670100,727.00
2012-07-18,718.00,721.85,712.20,715.10,1955000,715.10
2012-07-17,724.80,727.95,717.30,718.50,2605100,718.50
2012-07-16,720.00,724.15,715.05,719.35,1670300,719.35
2012-07-13,720.00,726.50,715.00,718.05,2599700,718.05
2012-07-12,721.90,729.80,717.10,721.20,2301000,721.20
2012-07-11,733.45,736.60,722.00,725.25,2728600,725.25
2012-07-10,731.45,742.00,730.80,741.60,1365600,741.60
2012-07-09,729.00,733.80,726.10,727.35,1782600,727.35
2012-07-06,738.00,738.00,729.50,735.35,2116500,735.35
2012-07-05,734.95,742.40,732.05,737.40,1784200,737.40
2012-07-04,740.00,740.00,728.85,733.80,2136500,733.80
2012-07-03,739.95,742.65,731.30,735.70,2353200,735.70
2012-07-02,735.50,740.80,730.15,737.50,1561600,737.50
2012-06-29,725.10,740.90,725.10,735.40,3833500,735.40
2012-06-28,724.40,727.80,716.65,717.20,2720900,717.20
2012-06-27,726.40,729.60,718.00,724.10,1761900,724.10
2012-06-26,717.50,725.50,714.45,724.00,3676500,724.00
2012-06-25,714.20,722.95,712.00,717.05,2540600,717.05
2012-06-22,713.55,714.90,703.55,710.20,4372800,710.20
2012-06-21,734.00,734.00,710.40,718.50,5168000,718.50
2012-06-20,738.00,742.95,733.00,739.20,2357400,739.20
2012-06-19,717.00,739.40,717.00,737.00,1783800,737.00
2012-06-18,730.35,734.50,712.00,719.80,2293600,719.80
2012-06-15,718.50,729.80,718.50,726.45,2271300,726.45
2012-06-14,716.00,720.80,711.05,716.55,1709700,716.55
2012-06-13,722.25,723.95,712.40,716.05,2274400,716.05
2012-06-12,715.00,726.00,714.40,722.00,2734300,722.00
2012-06-11,732.70,736.40,718.10,718.70,2275300,718.70
2012-06-08,718.00,731.90,712.30,729.00,2907000,729.00
2012-06-07,721.05,731.90,716.25,722.00,6387700,722.00
2012-06-06,704.45,718.00,698.50,714.00,5315200,714.00
2012-06-05,696.00,706.00,695.10,700.30,3036600,700.30
2012-06-01,707.35,709.45,678.05,680.15,4096500,680.15
2012-05-31,697.00,729.05,682.35,718.00,9024900,718.00
2012-05-30,699.65,708.65,695.15,707.50,3521000,707.50
2012-05-29,702.20,709.80,697.55,700.95,3434300,700.95
2012-05-28,692.00,703.00,692.00,701.00,2575100,701.00
2012-05-25,695.00,695.30,688.55,690.65,3085000,690.65
2012-05-24,694.00,700.00,686.10,699.95,2399800,699.95
2012-05-23,685.20,689.95,679.55,689.00,2583300,689.00
2012-05-22,704.60,704.60,688.75,690.00,2938000,690.00
2012-05-21,686.50,700.70,686.00,697.00,2334100,697.00
2012-05-18,676.90,696.40,675.00,689.00,2363900,689.00
2012-05-17,680.25,689.85,677.80,686.80,3560400,686.80
2012-05-16,675.00,682.80,673.05,676.15,3101700,676.15
2012-05-14,698.00,702.80,678.55,681.00,4081000,681.00
2012-05-11,693.00,703.00,688.30,698.00,3042500,698.00
2012-05-10,697.25,708.40,690.55,694.50,3391800,694.50
2012-05-09,702.00,708.30,691.05,697.60,3670600,697.60
2012-05-08,718.00,718.90,699.00,708.65,3885400,708.65
2012-05-07,715.00,722.00,705.10,715.50,4591000,715.50
2012-05-04,733.40,740.00,722.00,727.00,3778400,727.00
2012-05-03,738.50,744.45,735.15,740.75,1897100,740.75
2012-05-02,747.90,751.40,740.00,744.00,2861900,744.00
2012-04-30,737.50,747.90,737.50,745.00,2776700,745.00
2012-04-27,741.30,747.15,736.50,738.00,2857700,738.00
2012-04-26,737.10,749.00,733.60,740.00,3469900,740.00
2012-04-25,734.10,742.90,728.05,736.00,3105600,736.00
2012-04-24,739.00,740.50,723.70,738.10,3809300,738.10
2012-04-23,725.85,745.75,724.20,736.00,5053100,736.00
2012-04-20,740.05,741.00,728.00,731.00,3410900,731.00
2012-04-19,753.90,753.90,738.50,742.00,4205700,742.00
2012-04-18,750.00,756.80,742.70,750.00,3428300,750.00
2012-04-17,754.80,754.80,740.35,746.70,3175900,746.70
2012-04-16,747.10,753.45,736.00,748.05,2404200,748.05
2012-04-13,746.05,762.00,737.50,748.95,3249200,748.95
2012-04-12,733.30,745.60,733.30,742.10,2692500,742.10
2012-04-11,739.00,739.00,726.30,732.00,3726800,732.00
2012-04-10,746.00,747.00,738.10,743.55,1913200,743.55
2012-04-09,740.05,748.00,734.10,742.00,2608500,742.00
2012-04-04,745.00,757.00,743.45,748.00,2700400,748.00
2012-04-03,744.25,762.90,744.25,752.00,4003700,752.00
2012-04-02,749.35,750.85,739.05,741.00,2564800,741.00
2012-03-30,729.50,753.00,727.10,747.90,3949200,747.90
