/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,525.00,534.40,520.55,526.10,1411100,525.00
2012-07-20,524.25,534.40,520.10,525.00,1411100,525.00
2012-07-19,534.50,537.00,522.90,529.55,1407000,529.55
2012-07-18,519.00,533.70,510.70,529.35,2475800,529.35
2012-07-17,536.00,538.60,515.70,516.00,1982500,516.00
2012-07-16,544.70,547.00,531.00,531.30,1661800,531.30
2012-07-13,556.35,559.40,544.10,548.00,1515300,548.00
2012-07-12,550.00,557.90,541.50,551.95,1834100,551.95
2012-07-11,566.30,568.50,553.85,554.25,1799300,554.25
2012-07-10,551.50,572.85,550.30,568.20,2149300,568.20
2012-07-09,560.00,560.25,547.00,550.55,1681900,550.55
2012-07-06,576.00,576.20,563.50,570.00,1549600,570.00
2012-07-05,571.00,579.40,568.25,575.60,1566900,575.60
2012-07-04,568.00,574.60,565.00,574.00,2023800,574.00
2012-07-03,561.70,568.00,558.00,563.50,2319700,563.50
2012-07-02,561.75,564.80,552.70,556.30,2228600,556.30
2012-06-29,545.25,560.45,545.25,558.50,2476200,558.50
2012-06-28,547.95,548.65,529.10,535.25,1955100,535.25
2012-06-27,548.75,552.00,540.85,544.40,2461900,544.40
2012-06-26,531.15,539.25,527.30,535.00,1988000,535.00
2012-06-25,539.75,549.70,527.35,528.00,2657500,528.00
2012-06-22,528.15,543.25,523.00,536.10,4368300,536.10
2012-06-21,510.50,538.05,509.10,537.80,2940000,537.80
2012-06-20,508.00,519.50,506.00,515.00,2445900,515.00
2012-06-19,496.90,508.95,491.75,508.20,3559200,508.20
2012-06-18,527.00,535.00,498.50,501.90,3266600,501.90
2012-06-15,505.00,524.00,502.10,518.50,2962800,518.50
2012-06-14,513.20,517.00,497.05,497.75,2265000,497.75
2012-06-13,525.00,529.90,513.25,517.90,3261400,517.90
2012-06-12,501.55,526.00,499.35,523.70,4104000,523.70
2012-06-11,512.40,529.95,500.20,502.00,3846100,502.00
2012-06-08,478.00,507.85,474.20,507.45,6143400,507.45
2012-06-07,476.60,488.60,461.75,481.75,4113600,481.75
2012-06-06,455.60,473.00,454.00,470.95,2602200,470.95
2012-06-05,444.65,457.00,442.20,449.70,2629300,449.70
2012-06-01,449.20,452.80,427.50,428.00,1765400,428.00
2012-05-31,452.00,458.60,446.10,449.90,1860900,449.90
2012-05-30,469.80,469.80,453.65,454.50,1357900,454.50
2012-05-29,475.95,477.55,465.15,474.05,1814000,474.05
2012-05-28,465.65,479.50,465.65,473.20,2321500,473.20
2012-05-25,450.30,472.00,450.30,463.00,3461800,463.00
2012-05-24,440.25,456.70,433.85,454.25,2481700,454.25
2012-05-23,439.95,449.20,432.60,436.90,1830600,436.90
2012-05-22,460.00,460.85,440.70,441.55,1819100,441.55
2012-05-21,442.00,460.70,441.65,451.50,2296400,451.50
2012-05-18,428.50,442.00,422.65,438.45,2198000,438.45
2012-05-17,457.00,463.50,434.85,435.95,2276500,435.95
2012-05-16,459.25,460.50,448.00,451.30,1629900,451.30
2012-05-14,474.00,479.80,455.85,457.90,1590300,457.90
2012-05-11,471.00,484.00,464.10,472.00,1948600,472.00
2012-05-10,475.00,491.95,470.25,480.00,1871000,480.00
2012-05-09,481.25,493.95,468.25,473.25,1980700,473.25
2012-05-08,512.90,518.00,480.60,482.00,1977600,482.00
2012-05-07,483.00,516.00,477.15,512.45,1990200,512.45
2012-05-04,509.00,513.35,491.10,493.00,1605900,493.00
2012-05-03,519.30,522.25,510.20,515.80,1274400,515.80
2012-05-02,530.10,537.80,522.00,523.70,1611300,523.70
2012-04-30,512.20,533.90,512.20,527.45,1990900,527.45
2012-04-27,511.15,524.80,503.50,508.50,1930500,508.50
2012-04-26,529.55,530.95,513.75,515.95,1833600,515.95
2012-04-25,536.60,539.50,515.40,525.05,2065200,525.05
2012-04-24,529.80,539.25,522.30,535.15,1812400,535.15
2012-04-23,553.95,562.60,522.10,522.85,1625800,522.85
2012-04-20,561.10,564.85,548.00,554.70,1944200,554.70
2012-04-19,581.30,582.20,561.50,567.00,2299400,567.00
2012-04-18,590.00,594.00,577.00,577.35,2179600,577.35
2012-04-17,549.90,587.45,548.00,584.70,2869800,584.70
2012-04-16,540.75,555.30,538.05,554.90,1625700,554.90
2012-04-13,558.80,573.35,541.25,542.00,2632100,542.00
2012-04-12,556.00,564.40,547.20,552.45,2101800,552.45
2012-04-11,567.00,567.00,543.65,551.75,3189200,551.75
2012-04-10,585.30,588.00,563.60,573.05,2290800,573.05
2012-04-09,594.40,594.70,578.00,578.45,1441200,578.45
2012-04-04,610.00,610.05,595.10,601.85,1407100,601.85
2012-04-03,618.10,621.70,608.80,613.35,1891200,613.35
2012-04-02,588.95,617.50,587.00,614.25,2662700,614.25
2012-03-30,572.10,588.50,572.10,585.60,1601200,585.60
2012-03-29,557.50,571.45,554.25,571.45,2132700,571.45
2012-03-28,580.00,582.30,564.55,565.00,1786200,565.00
2012-03-27,592.85,597.90,576.15,585.00,2600900,585.00
2012-03-26,594.40,603.60,577.20,582.25,2315200,582.25
2012-03-23,589.50,605.90,580.60,597.20,3049600,597.20
2012-03-21,592.00,625.50,583.90,624.10,3066200,624.10
2012-03-20,592.80,603.00,570.45,591.85,3764100,591.85
2012-03-19,633.00,637.15,589.00,591.65,2593000,591.65
2012-03-16,639.70,659.40,627.35,629.70,3137800,629.70
2012-03-15,650.10,652.25,628.55,635.45,1960600,635.45
2012-03-14,658.00,667.90,654.00,657.20,2342200,657.20
2012-03-13,658.10,661.80,646.20,647.10,2644000,647.10
2012-03-12,649.00,656.90,632.00,654.30,2767000,654.30
2012-03-09,637.35,647.70,623.25,636.55,3051000,636.55
2012-03-07,614.25,636.60,604.00,625.00,5129500,625.00
2012-03-06,663.00,679.75,612.65,617.65,8081400,617.65
2012-03-05,623.00,677.00,623.00,652.90,7950200,652.90
2012-03-02,609.50,625.00,597.50,613.65,4285300,613.65
2012-03-01,592.10,615.80,581.20,603.80,3867500,603.80
2012-02-29,615.00,625.60,583.05,593.55,3541900,593.55
2012-02-28,544.10,614.00,544.10,612.00,3456400,612.00
2012-02-27,583.80,586.00,535.00,536.15,2018700,536.15
2012-02-24,604.00,614.50,578.10,580.00,2269600,580.00
2012-02-23,616.90,621.90,586.00,600.05,3531000,600.05
2012-02-22,645.75,651.75,608.20,614.40,2706200,614.40
2012-02-21,618.90,642.85,613.10,640.60,2170300,640.60
2012-02-17,638.90,653.65,601.30,617.65,3371900,617.65
2012-02-16,622.20,649.00,620.65,628.00,3447200,628.00
2012-02-15,623.00,633.80,618.10,623.80,2381900,623.80
2012-02-14,601.65,621.75,597.30,616.30,3498400,616.30
2012-02-13,574.70,604.90,566.25,602.10,2832700,602.10
2012-02-10,588.00,593.45,566.00,569.30,2181700,569.30
2012-02-09,592.50,598.90,583.30,589.00,3064000,589.00
2012-02-08,556.95,596.80,553.00,594.00,3726100,594.00
2012-02-07,559.80,562.45,542.70,555.50,2460000,555.50
2012-02-06,562.80,569.55,540.10,547.55,2634300,547.55
2012-02-03,558.00,564.50,546.25,554.20,2572700,554.20
2012-02-02,554.90,563.90,535.50,552.10,2992700,552.10
2012-02-01,538.00,552.70,532.90,551.90,2456000,551.90
2012-01-31,520.00,539.70,511.30,539.00,2698300,539.00
2012-01-30,526.50,541.00,506.85,509.40,3003300,509.40
2012-01-27,519.00,534.00,503.00,531.00,4099900,531.00
2012-01-25,481.25,518.00,476.20,512.60,4639200,512.60
2012-01-24,472.20,492.45,466.35,478.00,2769700,478.00
2012-01-23,473.00,492.85,467.70,469.00,2512500,469.00
2012-01-20,491.40,496.00,466.85,473.95,3826200,473.95
2012-01-19,448.95,489.80,446.70,489.00,5829800,489.00
2012-01-18,430.25,446.60,426.90,439.80,2420300,439.80
2012-01-17,412.25,434.00,412.25,428.10,2215100,428.10
