Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,32.70,32.85,32.20,32.30,000,32.45
2012-07-20,32.80,32.85,32.20,32.45,3900200,32.45
2012-07-19,33.20,33.40,32.40,32.90,5299900,32.90
2012-07-18,32.25,33.25,31.30,32.95,8469300,32.95
2012-07-17,34.00,34.45,32.00,32.10,10253700,32.10
2012-07-16,35.00,39.50,33.70,33.85,8544800,33.85
2012-07-13,34.65,34.85,33.75,34.00,6566500,34.00
2012-07-12,33.70,34.60,33.20,34.40,11520500,34.40
2012-07-11,34.80,34.80,33.50,33.80,5559500,33.80
2012-07-10,34.30,34.75,33.80,34.25,7634500,34.25
2012-07-09,34.30,35.00,33.90,34.10,6583400,34.10
2012-07-06,34.85,35.40,33.40,34.85,11964000,34.85
2012-07-05,33.00,35.20,32.80,34.60,11396200,34.60
2012-07-04,33.70,33.75,32.45,33.00,6460800,33.00
2012-07-03,32.55,33.45,32.50,33.20,6211000,33.20
2012-07-02,32.20,32.75,31.30,32.35,6192700,32.35
2012-06-29,31.10,31.95,30.95,31.55,5821600,31.55
2012-06-28,30.95,31.40,30.25,30.75,7860100,30.75
2012-06-27,31.00,31.30,30.40,30.75,5309600,30.75
2012-06-26,30.20,30.50,29.65,30.15,3554000,30.15
2012-06-25,30.45,31.80,29.50,29.85,6618300,29.85
2012-06-22,28.70,30.70,28.60,30.50,13005500,30.50
2012-06-21,28.70,29.20,28.10,29.05,4864100,29.05
2012-06-20,28.05,28.70,27.80,28.65,3504600,28.65
2012-06-19,27.65,28.10,27.25,27.70,2184300,27.70
2012-06-18,28.35,28.80,27.20,27.65,4606000,27.65
2012-06-15,27.50,28.50,27.20,28.30,3975500,28.30
2012-06-14,27.75,27.95,27.05,27.20,2994400,27.20
2012-06-13,27.90,28.60,27.55,27.95,4093600,27.95
2012-06-12,27.10,28.10,27.05,27.95,3449800,27.95
2012-06-11,28.10,28.45,27.20,27.40,3843600,27.40
2012-06-08,28.20,28.55,27.50,28.00,6472100,28.00
2012-06-07,26.90,28.30,26.55,28.25,7546000,28.25
2012-06-06,25.35,26.45,25.25,26.25,5036000,26.25
2012-06-05,25.95,26.15,25.20,25.45,4077000,25.45
2012-06-01,26.55,26.75,25.40,25.65,4024200,25.65
2012-05-31,25.90,26.95,25.40,26.45,7167900,26.45
2012-05-30,27.00,27.00,26.00,26.00,6230300,26.00
2012-05-29,27.35,27.60,27.10,27.30,3203900,27.30
2012-05-28,26.95,27.40,26.70,27.30,3213500,27.30
2012-05-25,27.00,27.40,26.65,26.70,5110700,26.70
2012-05-24,27.25,27.50,26.30,26.95,6919600,26.95
2012-05-23,28.30,28.30,27.10,27.20,4314000,27.20
2012-05-22,29.10,29.35,28.00,28.35,2930400,28.35
2012-05-21,29.00,29.00,28.40,28.70,1995900,28.70
2012-05-18,28.65,28.70,27.60,28.30,4643000,28.30
2012-05-17,28.80,29.25,28.20,28.85,4090100,28.85
2012-05-16,28.45,28.90,27.90,28.10,3475900,28.10
2012-05-14,28.95,29.40,27.90,28.20,3685800,28.20
2012-05-11,28.75,29.10,28.00,28.70,4692900,28.70
2012-05-10,28.75,29.95,28.10,29.40,6351400,29.40
2012-05-09,30.45,30.45,27.70,28.85,12379500,28.85
2012-05-08,35.00,35.00,30.20,30.55,6420600,30.55
2012-05-07,29.35,31.55,29.00,31.10,10151000,31.10
2012-05-04,32.45,32.55,30.70,31.00,6699500,31.00
2012-05-03,31.70,32.85,31.50,32.35,11425800,32.35
2012-05-02,31.90,32.15,30.65,30.85,4710800,30.85
2012-04-30,31.90,32.10,30.85,32.00,3629600,32.00
2012-04-27,30.70,31.30,30.30,31.05,5115900,31.05
2012-04-26,31.00,31.30,30.15,30.45,8681300,30.45
2012-04-25,30.40,31.30,30.40,31.05,7265400,31.05
2012-04-24,30.90,30.90,29.90,30.40,4354100,30.40
2012-04-23,32.45,32.45,30.35,30.50,5510700,30.50
2012-04-20,33.85,33.85,31.95,32.35,5330500,32.35
2012-04-19,33.70,34.40,33.65,33.85,5804400,33.85
2012-04-18,33.50,34.00,33.15,33.65,8113500,33.65
2012-04-17,33.25,33.35,32.10,33.15,5512000,33.15
2012-04-16,32.20,33.60,32.20,33.15,5639600,33.15
2012-04-13,33.50,34.10,32.30,32.50,10463000,32.50
2012-04-12,31.50,33.30,31.50,33.20,12052400,33.20
2012-04-11,30.90,32.00,30.55,31.30,6114800,31.30
2012-04-10,30.95,31.60,30.20,31.35,5379200,31.35
2012-04-09,31.25,31.60,30.50,30.65,5397700,30.65
2012-04-04,31.20,31.95,31.00,31.65,5777000,31.65
2012-04-03,32.20,32.25,30.95,31.60,6506300,31.60
2012-04-02,31.80,32.40,31.35,31.80,5409700,31.80
2012-03-30,29.90,31.80,29.75,31.60,7871100,31.60
2012-03-29,29.75,30.20,29.55,29.95,6410100,29.95
2012-03-28,31.00,31.10,30.05,30.30,5448900,30.30
2012-03-27,31.00,32.10,30.80,31.20,13622500,31.20
2012-03-26,33.30,33.50,30.20,30.40,16532400,30.40
2012-03-23,32.50,33.60,32.50,33.00,6722700,33.00
2012-03-21,33.85,35.45,33.40,35.40,6673900,35.40
2012-03-20,33.55,34.20,32.55,33.25,7918900,33.25
2012-03-19,37.10,37.10,33.10,33.50,9395600,33.50
2012-03-16,37.70,37.70,36.15,36.60,4576300,36.60
2012-03-15,38.20,38.25,36.35,36.85,5982900,36.85
2012-03-14,38.60,38.90,37.50,37.70,4809600,37.70
2012-03-13,38.45,38.50,37.40,38.05,4095700,38.05
2012-03-12,37.60,37.95,36.95,37.80,5293800,37.80
2012-03-09,37.30,37.75,36.80,36.90,6666900,36.90
2012-03-07,36.10,37.20,35.65,36.75,7173600,36.75
2012-03-06,38.85,39.70,35.85,36.10,8189200,36.10
2012-03-05,41.40,41.40,38.35,38.85,7414000,38.85
2012-03-02,38.50,39.50,37.80,39.00,8058000,39.00
2012-03-01,37.80,38.95,37.35,38.05,8574800,38.05
2012-02-29,37.30,38.30,36.30,38.05,9141300,38.05
2012-02-28,35.90,37.40,35.65,37.25,7386400,37.25
2012-02-27,37.70,37.90,35.15,35.35,10595200,35.35
2012-02-24,39.00,39.50,37.10,37.50,8156900,37.50
2012-02-23,37.80,38.95,36.50,38.75,12629600,38.75
2012-02-22,40.80,42.30,36.15,37.50,19951600,37.50
2012-02-21,39.90,41.00,39.10,40.50,10195200,40.50
2012-02-17,40.50,41.60,39.00,39.75,18226100,39.75
2012-02-16,41.00,41.60,39.50,39.65,14018100,39.65
2012-02-15,40.25,41.65,40.00,40.65,15922000,40.65
2012-02-14,37.15,40.10,36.40,40.00,17797100,40.00
2012-02-13,38.80,39.20,36.70,36.95,9760500,36.95
2012-02-10,38.00,40.30,37.30,38.80,11276500,38.80
2012-02-09,40.25,40.25,38.85,39.55,7123400,39.55
2012-02-08,42.10,42.10,39.70,40.30,10725700,40.30
2012-02-07,40.40,41.50,39.50,40.35,15009800,40.35
2012-02-06,39.45,40.60,39.10,39.45,6714600,39.45
2012-02-03,38.85,39.75,38.40,39.15,5701100,39.15
2012-02-02,40.45,40.70,38.15,38.85,9119000,38.85
2012-02-01,38.00,40.10,37.40,39.80,13682300,39.80
2012-01-31,37.35,38.45,37.00,38.20,14542100,38.20
2012-01-30,40.00,40.85,36.75,36.85,27424300,36.85
2012-01-27,37.10,39.45,37.10,39.20,18195500,39.20
2012-01-25,35.40,37.00,35.40,36.95,10752100,36.95
2012-01-24,34.90,35.75,34.60,35.20,7100500,35.20
2012-01-23,34.00,35.30,34.00,34.45,6240200,34.45
2012-01-20,34.15,35.75,34.00,34.55,14866300,34.55
2012-01-19,33.25,34.15,33.10,33.45,7524800,33.45
2012-01-18,33.30,33.90,32.25,32.95,8159800,32.95
2012-01-17,32.50,33.85,31.80,33.25,18800800,33.25
2012-01-16,33.10,33.50,31.65,32.15,7179900,32.15
2012-01-13,32.70,33.65,32.60,33.05,14477700,33.05
2012-01-12,30.50,32.70,29.75,32.60,16031400,32.60
2012-01-11,28.00,30.85,28.00,30.10,13872700,30.10
2012-01-10,28.80,29.95,28.65,29.55,14194200,29.55
2012-01-06,25.00,26.05,24.00,25.90,9429800,25.90
2012-01-05,26.05,26.40,24.85,24.90,5751200,24.90
2012-01-04,26.00,26.70,25.60,25.80,7189600,25.80
2012-01-03,25.00,26.05,25.00,25.95,5430700,25.95
2012-01-02,25.75,25.75,23.90,24.90,5801700,24.90
2011-12-30,24.90,26.00,24.75,25.15,6240100,25.15
2011-12-29,23.65,25.15,23.65,24.95,5523200,24.95
2011-12-28,27.00,27.00,24.45,25.15,7363800,25.15
2011-12-27,26.00,26.35,24.80,25.10,7340900,25.10
2011-12-26,26.10,26.75,25.30,25.75,7946000,25.75
2011-12-23,26.50,27.40,26.00,26.15,10942500,26.15
2011-12-22,25.05,26.50,24.95,26.50,11839300,26.50
2011-12-21,25.00,25.90,24.30,25.05,5935500,25.05
2011-12-20,25.20,25.70,23.95,24.00,8218800,24.00
2011-12-19,23.65,25.50,22.70,25.25,19559200,25.25
2011-12-16,26.40,26.40,23.60,24.10,18442000,24.10
2011-12-15,27.00,27.20,25.50,25.75,10561300,25.75
2011-12-14,27.35,28.70,27.10,27.25,8034100,27.25
2011-12-13,28.30,29.00,27.95,28.55,10763000,28.55
2011-12-12,29.45,29.45,28.40,28.65,7413600,28.65
2011-12-09,29.00,29.50,28.10,28.70,8037200,28.70
2011-12-08,31.20,31.20,29.00,29.10,14273500,29.10
2011-12-07,31.95,32.15,30.45,30.65,11049300,30.65
2011-12-05,33.00,33.00,31.65,31.95,7196600,31.95
2011-12-02,31.85,33.10,31.10,32.95,10670600,32.95
2011-12-01,31.50,32.35,30.80,32.00,12260700,32.00
2011-11-30,30.10,30.90,29.40,30.35,10775800,30.35
2011-11-29,32.25,32.50,30.20,30.50,11866800,30.50
2011-11-28,32.00,35.65,31.30,32.10,8789500,32.10
2011-11-25,31.20,31.95,30.30,30.95,12119800,30.95
2011-11-24,31.65,31.90,29.40,31.70,28640800,31.70
2011-11-23,33.80,34.80,30.50,31.15,21458400,31.15
2011-11-22,33.50,34.50,33.20,33.70,10203400,33.70
2011-11-21,35.00,35.90,32.90,33.50,19073300,33.50
2011-11-18,32.25,35.35,32.25,35.30,24399600,35.30
2011-11-17,32.70,34.50,31.80,32.30,23935200,32.30
2011-11-16,34.55,35.10,31.65,33.15,36000300,33.15
2011-11-15,38.25,38.80,33.85,34.10,41139500,34.10
2011-11-14,51.65,51.65,36.15,38.05,89096400,38.05
2011-11-11,54.45,54.75,50.90,51.60,10085700,51.60
2011-11-09,57.50,57.80,53.45,53.65,5456400,53.65
2011-11-08,57.05,57.50,55.60,57.10,3590300,57.10
2011-11-04,57.10,58.20,56.25,56.80,5790100,56.80
2011-11-03,58.00,58.50,55.70,56.75,4447600,56.75
2011-11-02,57.00,58.60,56.05,57.80,4157600,57.80
2011-11-01,57.00,57.80,56.10,57.10,3257600,57.10
2011-10-31,57.95,58.85,57.00,57.10,4304600,57.10
2011-10-28,55.90,58.10,55.80,57.90,7010400,57.90
2011-10-26,55.00,55.50,54.40,54.70,738900,54.70
2011-10-25,54.00,54.80,53.35,54.35,4329400,54.35
2011-10-24,55.10,56.15,53.00,53.50,4357600,53.50
2011-10-21,57.30,57.30,54.55,54.65,3824000,54.65
2011-10-20,57.70,57.70,55.45,56.30,4008800,56.30
2011-10-19,56.70,58.50,56.70,58.10,3931300,58.10
2011-10-18,57.90,57.90,54.45,56.50,5236900,56.50
2011-10-17,58.45,59.00,57.65,58.10,2997700,58.10
2011-10-14,56.00,57.95,55.20,57.80,6184400,57.80
2011-10-13,56.05,56.75,55.00,55.30,3109900,55.30
2011-10-12,54.75,56.05,54.20,56.00,3191200,56.00
2011-10-11,54.50,55.60,53.75,54.25,4569300,54.25
2011-10-10,52.20,54.40,52.20,54.15,5687600,54.15
2011-10-07,51.80,53.65,51.45,52.05,7160300,52.05
2011-10-05,54.20,54.65,49.75,50.10,5392800,50.10
2011-10-04,53.00,55.00,52.00,53.45,3694400,53.45
2011-10-03,54.75,55.25,52.50,53.65,4415800,53.65
2011-09-30,56.50,57.90,54.90,55.10,5436700,55.10
2011-09-29,55.90,57.15,53.65,56.95,8797800,56.95
2011-09-28,57.50,57.90,54.90,55.45,6290700,55.45
2011-09-27,56.80,58.50,56.80,57.90,3367000,57.90
2011-09-26,57.05,59.00,54.40,55.95,4716500,55.95
2011-09-23,57.00,57.70,55.75,56.80,5594700,56.80
2011-09-22,62.75,62.75,57.00,57.20,8105100,57.20
2011-09-21,60.50,64.00,59.40,63.50,6470700,63.50
2011-09-20,60.40,61.35,60.00,60.85,2393400,60.85
2011-09-19,61.80,61.80,59.55,59.95,4600100,59.95
2011-09-16,61.00,62.80,59.45,62.20,8202100,62.20
2011-09-15,60.00,60.55,59.05,59.70,2866600,59.70
2011-09-14,59.00,60.25,58.00,60.00,3696500,60.00
2011-09-13,58.00,60.70,58.00,59.05,4897400,59.05
2011-09-12,59.90,59.90,57.50,57.55,3528600,57.55
2011-09-09,62.65,63.20,60.10,60.30,6025600,60.30
2011-09-08,61.60,62.95,60.20,62.75,4885700,62.75
2011-09-07,60.00,62.50,59.95,61.85,7903400,61.85
2011-09-06,59.25,59.65,56.50,59.15,6029400,59.15
2011-09-05,58.00,59.90,57.10,59.15,4801700,59.15
2011-09-02,58.90,58.90,57.05,58.35,4898300,58.35
2011-08-30,57.60,58.55,56.30,57.80,5880600,57.80
2011-08-29,54.00,57.20,54.00,56.65,4528900,56.65
2011-08-26,55.00,55.60,53.10,54.10,5016300,54.10
2011-08-25,57.50,58.25,54.00,54.65,8330600,54.65
2011-08-24,56.75,59.20,56.50,57.30,5712500,57.30
2011-08-23,58.40,58.85,56.05,56.95,5524100,56.95
2011-08-22,52.50,58.25,52.50,58.25,10183200,58.25
2011-08-19,55.50,56.00,50.80,52.75,12147000,52.75
2011-08-18,59.00,59.80,55.35,56.00,6920700,56.00
2011-08-17,58.00,59.25,55.10,58.50,8547500,58.50
2011-08-16,64.25,64.70,57.60,57.90,7867600,57.90
2011-08-12,65.00,67.00,62.35,62.90,5298900,62.90
2011-08-11,63.40,64.85,60.05,63.50,10162700,63.50
2011-08-10,58.20,61.95,58.20,61.75,7580200,61.75
2011-08-09,54.85,59.75,54.55,57.60,7572100,57.60
2011-08-08,61.00,61.00,56.55,57.75,6709400,57.75
2011-08-05,60.00,65.00,60.00,61.25,6890900,61.25
2011-08-04,69.00,70.45,65.15,65.65,4901000,65.65
2011-08-03,68.00,68.85,67.00,68.60,3768200,68.60
2011-08-02,72.00,72.50,68.30,69.40,6555400,69.40
2011-08-01,70.55,73.00,70.50,73.00,4215000,73.00
2011-07-29,70.10,71.55,68.55,70.00,3000800,70.00
2011-07-28,71.40,71.95,70.00,70.55,5010200,70.55
2011-07-27,74.10,74.90,71.40,72.10,6999700,72.10
2011-07-26,73.50,75.45,71.75,74.35,6152000,74.35
2011-07-25,72.90,75.50,72.90,73.95,4784100,73.95
2011-07-22,70.55,74.40,70.55,73.75,10013200,73.75
2011-07-21,70.80,71.80,69.70,69.95,3339200,69.95
2011-07-20,72.60,73.25,70.80,71.00,4733900,71.00
2011-07-19,69.60,72.45,69.00,72.40,5727500,72.40
2011-07-18,71.25,72.60,69.70,69.80,4550600,69.80
2011-07-15,74.00,74.20,70.80,71.15,5188300,71.15
2011-07-14,73.30,74.65,72.70,73.55,3267700,73.55
2011-07-13,71.00,73.95,71.00,73.85,4405800,73.85
2011-07-12,74.00,74.00,69.30,70.55,8518100,70.55
2011-07-11,74.50,75.60,73.40,74.35,4493500,74.35
2011-07-08,73.00,76.20,73.00,75.00,8328300,75.00
2011-07-07,71.50,73.60,71.35,73.50,5076300,73.50
2011-07-06,71.45,72.70,71.00,71.20,5208200,71.20
2011-07-05,73.50,73.85,70.75,71.50,12406900,71.50
2011-07-04,69.40,73.60,68.90,73.20,14738400,73.20
2011-07-01,66.95,68.85,66.05,68.25,7528900,68.25
2011-06-30,66.00,67.35,64.85,66.55,12723600,66.55
2011-06-29,61.75,66.85,61.40,66.35,15042400,66.35
2011-06-28,61.35,62.00,60.90,61.15,2352300,61.15
2011-06-27,59.60,61.45,59.35,61.00,4049100,61.00
2011-06-24,59.00,60.75,58.70,60.30,5615400,60.30
2011-06-23,58.00,58.90,57.45,57.95,4079700,57.95
2011-06-22,58.25,60.05,56.60,57.65,7599600,57.65
2011-06-21,60.50,61.40,57.65,57.75,4244400,57.75
2011-06-20,63.00,63.45,59.10,59.40,6130300,59.40
2011-06-17,62.70,64.80,61.75,63.05,3441700,63.05
2011-06-16,65.20,65.20,63.45,63.90,2046800,63.90
2011-06-15,65.80,65.95,64.80,64.80,2445300,64.80
2011-06-14,65.20,66.40,65.20,65.95,3429200,65.95
2011-06-13,64.50,65.60,63.15,64.90,3161100,64.90
2011-06-10,65.50,66.20,64.25,64.55,2325200,64.55
2011-06-09,66.90,67.50,64.95,65.00,2950400,65.00
2011-06-08,64.40,66.60,64.25,66.40,4173700,66.40
2011-06-07,63.40,65.00,62.25,64.95,2643100,64.95
2011-06-06,64.00,64.35,61.90,62.50,2909900,62.50
2011-06-03,64.05,65.60,63.65,64.35,2995800,64.35
2011-06-02,64.45,65.65,63.15,64.30,4014100,64.30
2011-06-01,62.75,65.10,62.50,64.95,5793600,64.95
2011-05-31,60.00,62.70,60.00,62.60,6444800,62.60
2011-05-30,59.05,60.50,58.15,60.05,3965600,60.05
2011-05-27,56.50,59.10,56.05,59.00,4246400,59.00
2011-05-26,59.40,59.40,55.90,56.60,10084000,56.60
2011-05-25,59.50,60.30,57.75,58.35,3787200,58.35
2011-05-24,59.00,60.40,58.00,60.40,7762500,60.40
2011-05-23,60.00,60.00,57.50,58.40,2981200,58.40
2011-05-20,59.50,60.85,59.10,59.55,3107400,59.55
2011-05-19,59.95,60.40,59.10,59.40,1462900,59.40
2011-05-18,60.50,60.90,59.05,59.60,2732300,59.60
2011-05-17,60.00,61.25,59.75,60.50,3268500,60.50
2011-05-16,61.50,61.90,59.50,60.55,4719500,60.55
2011-05-13,61.90,63.30,60.95,61.45,4658000,61.45
2011-05-12,64.50,64.50,61.70,61.90,6318600,61.90
2011-05-11,66.80,67.50,63.55,64.65,8555500,64.65
2011-05-10,69.40,69.65,66.90,67.20,2371900,67.20
2011-05-09,69.35,70.00,68.00,68.60,2753300,68.60
2011-05-06,68.20,69.65,68.05,69.60,1854500,69.60
2011-05-05,70.20,70.75,67.50,67.65,2900200,67.65
2011-05-04,70.00,71.00,69.00,70.20,1992400,70.20
2011-05-03,70.60,71.00,69.30,69.85,2217800,69.85
2011-05-02,70.40,71.30,69.65,70.50,3033900,70.50
2011-04-29,71.90,71.90,70.15,70.20,3191600,70.20
2011-04-28,71.95,72.80,70.60,71.25,4706000,71.25
2011-04-27,74.00,74.25,71.60,71.85,2084400,71.85
2011-04-26,74.55,74.90,73.00,73.15,3522000,73.15
2011-04-25,74.85,75.70,74.10,74.45,1304700,74.45
2011-04-21,75.80,76.15,74.70,74.75,3449700,74.75
2011-04-20,74.40,75.65,74.10,75.10,3660100,75.10
2011-04-19,73.50,75.25,71.75,74.20,5416900,74.20
2011-04-18,75.00,76.00,73.35,73.55,2590900,73.55
2011-04-15,75.00,76.40,74.45,74.70,2538300,74.70
2011-04-13,73.00,75.85,72.55,75.30,3768800,75.30
2011-04-11,72.75,75.00,68.05,74.05,2971500,74.05
2011-04-08,77.10,77.60,74.50,75.30,8996100,75.30
2011-04-07,76.10,78.10,75.10,77.15,6411400,77.15
2011-04-06,77.00,77.20,75.20,75.90,4735300,75.90
2011-04-05,75.00,76.65,74.05,76.10,9970200,76.10
2011-04-04,73.50,75.00,72.40,74.80,4523600,74.80
2011-04-01,70.00,72.95,69.00,72.95,7156900,72.95
2011-03-31,69.70,71.10,68.35,69.75,6744900,69.75
2011-03-30,70.10,70.70,68.70,69.10,5656300,69.10
2011-03-29,71.60,71.80,69.60,69.80,6057400,69.80
2011-03-28,73.60,75.00,71.20,71.50,4551500,71.50
2011-03-25,72.75,73.60,71.75,72.60,4070000,72.60
2011-03-24,73.95,73.95,72.20,72.60,2819500,72.60
2011-03-23,72.30,74.85,72.30,73.35,6578700,73.35
