/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,74.75,74.90,73.55,74.60,275600,74.40
2012-07-20,74.75,74.95,73.55,74.40,276200,74.40
2012-07-19,74.50,75.85,74.05,74.90,443900,74.90
2012-07-18,73.20,74.20,71.65,73.80,605100,73.80
2012-07-17,75.65,76.90,73.05,73.20,557900,73.20
2012-07-16,77.90,77.90,75.35,76.00,314200,76.00
2012-07-13,78.90,79.45,76.55,77.00,337500,77.00
2012-07-12,79.50,79.50,77.50,78.20,415700,78.20
2012-07-11,80.20,81.20,79.40,79.85,404200,79.85
2012-07-10,79.00,80.95,78.80,80.60,305100,80.60
2012-07-09,80.25,81.75,77.55,78.70,486700,78.70
2012-07-06,83.05,83.10,80.65,81.25,536300,81.25
2012-07-05,79.65,82.85,79.00,82.70,1110300,82.70
2012-07-04,80.50,80.70,79.00,79.20,407000,79.20
2012-07-03,81.05,81.80,79.10,80.00,475700,80.00
2012-07-02,81.10,81.90,80.05,81.10,600300,81.10
2012-06-29,81.00,82.75,79.80,80.20,1611600,80.20
2012-06-28,77.90,79.90,76.75,78.90,3455600,78.90
2012-06-27,74.00,76.55,72.55,76.10,2089600,76.10
2012-06-26,74.05,74.75,73.10,73.15,244500,73.15
2012-06-25,74.90,75.70,73.60,73.70,328600,73.70
2012-06-22,74.00,75.40,73.50,74.75,365500,74.75
2012-06-21,73.95,75.35,73.00,74.90,327100,74.90
2012-06-20,72.05,74.00,72.05,73.65,403500,73.65
2012-06-19,72.15,73.35,71.40,72.05,346700,72.05
2012-06-18,73.50,74.40,72.00,73.00,343900,73.00
2012-06-15,72.85,73.50,72.20,72.85,279400,72.85
2012-06-14,74.90,75.20,71.65,71.85,507800,71.85
2012-06-13,74.95,76.10,74.00,74.30,501600,74.30
2012-06-12,72.50,75.25,72.50,74.30,490400,74.30
2012-06-11,75.95,77.25,72.50,72.60,454700,72.60
2012-06-08,76.90,76.90,74.80,76.25,356100,76.25
2012-06-07,76.10,77.50,74.55,76.75,548700,76.75
2012-06-06,74.25,75.90,74.10,75.90,538600,75.90
2012-06-05,73.55,74.90,73.10,74.20,278800,74.20
2012-06-01,73.10,74.50,71.05,71.30,339600,71.30
2012-05-31,71.95,74.40,70.55,74.10,546100,74.10
2012-05-30,76.90,76.90,71.60,71.60,332900,71.60
2012-05-29,76.50,78.35,76.05,76.90,507800,76.90
2012-05-28,74.95,76.80,74.00,76.50,340500,76.50
2012-05-25,73.75,74.85,72.50,74.55,245500,74.55
2012-05-24,72.00,74.25,71.25,73.10,337500,73.10
2012-05-23,74.30,74.90,71.00,72.35,528800,72.35
2012-05-22,76.00,76.00,72.10,74.30,493400,74.30
2012-05-21,73.85,75.40,73.85,74.95,234700,74.95
2012-05-18,72.90,75.50,70.90,75.05,443900,75.05
2012-05-17,72.00,74.90,72.00,73.90,515300,73.90
2012-05-16,73.00,73.00,70.65,71.00,433600,71.00
2012-05-14,70.00,70.85,68.25,70.05,493000,70.05
2012-05-11,70.45,70.80,66.55,70.20,873700,70.20
2012-05-10,73.50,73.50,69.50,70.30,876900,70.30
2012-05-09,77.00,77.00,70.30,71.35,1302100,71.35
2012-05-08,81.50,81.95,76.25,76.30,886000,76.30
2012-05-07,82.25,82.25,77.70,81.10,1066500,81.10
2012-05-04,85.00,85.50,82.00,83.10,283100,83.10
2012-05-03,86.70,87.30,84.00,85.45,269700,85.45
