/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,103.20,105.15,102.60,103.70,2522800,103.50
2012-07-20,103.05,105.30,102.50,103.50,2522800,103.50
2012-07-19,105.55,105.85,103.25,103.80,2125100,103.80
2012-07-18,102.55,105.20,102.55,104.20,2953700,104.20
2012-07-17,106.15,106.70,102.55,102.70,2721500,102.70
2012-07-16,105.95,107.50,104.35,104.85,3859700,104.85
2012-07-13,106.70,108.45,105.05,105.15,4267200,105.15
2012-07-12,106.50,107.35,104.80,105.95,3323600,105.95
2012-07-11,109.15,110.20,106.85,107.20,4381600,107.20
2012-07-10,105.60,110.90,105.55,110.25,3977800,110.25
2012-07-09,107.30,108.00,105.30,105.70,2864800,105.70
2012-07-06,110.00,110.15,107.35,107.85,3211900,107.85
2012-07-05,108.90,111.35,108.20,109.55,5213400,109.55
2012-07-04,105.60,110.35,105.10,108.95,5724100,108.95
2012-07-03,107.40,107.50,105.10,105.85,3327700,105.85
2012-07-02,107.65,107.70,105.25,105.95,3781700,105.95
2012-06-29,102.50,108.10,102.35,106.75,6198200,106.75
2012-06-28,103.25,103.70,100.80,100.95,2385600,100.95
2012-06-27,102.80,104.40,102.00,102.95,4635200,102.95
2012-06-26,99.10,102.25,99.10,101.50,4008900,101.50
2012-06-25,102.95,103.80,99.05,99.15,4634200,99.15
2012-06-22,97.40,103.35,96.05,102.50,8727600,102.50
2012-06-21,96.70,99.80,96.15,99.20,3141600,99.20
2012-06-20,96.15,97.45,95.50,97.30,3003800,97.30
2012-06-19,94.50,96.50,93.35,96.35,4090100,96.35
2012-06-18,100.00,100.90,95.40,96.00,3832800,96.00
2012-06-15,96.40,99.25,96.35,98.35,3092600,98.35
2012-06-14,98.30,98.95,95.55,95.60,3726300,95.60
2012-06-13,100.00,102.20,98.50,99.10,4924800,99.10
2012-06-12,96.80,100.40,96.60,99.75,4658400,99.75
2012-06-11,99.50,102.45,97.00,97.15,7538100,97.15
2012-06-08,97.20,99.05,95.90,98.65,6615800,98.65
2012-06-07,97.15,99.70,94.80,97.75,7690900,97.75
2012-06-06,90.40,97.60,90.40,95.70,7978700,95.70
2012-06-05,90.65,92.20,89.65,89.75,3094600,89.75
2012-06-01,94.00,94.90,88.55,89.40,4481500,89.40
2012-05-31,92.15,94.15,91.75,94.05,5624600,94.05
2012-05-30,92.50,92.75,90.15,90.65,2173900,90.65
2012-05-29,94.40,94.75,92.65,92.85,2246100,92.85
2012-05-28,93.80,94.30,93.05,93.90,2296700,93.90
2012-05-25,93.35,94.60,92.50,93.25,3330700,93.25
2012-05-24,90.90,94.65,90.90,93.30,7169200,93.30
2012-05-23,89.30,90.90,88.70,90.05,3025600,90.05
2012-05-22,94.75,94.95,89.80,90.00,3539100,90.00
2012-05-21,91.40,95.40,91.00,93.25,3864200,93.25
2012-05-18,89.40,91.20,88.25,90.95,3929400,90.95
2012-05-17,91.20,93.10,90.10,91.20,3032500,91.20
2012-05-16,90.30,92.10,88.90,90.30,3612100,90.30
2012-05-14,92.70,93.25,88.60,90.00,4234300,90.00
2012-05-11,92.10,94.50,91.65,91.95,4571800,91.95
2012-05-10,92.50,96.25,92.00,92.95,4407900,92.95
2012-05-09,94.90,96.85,91.50,91.95,5105300,91.95
2012-05-08,102.40,102.70,94.15,94.20,5241200,94.20
2012-05-07,95.30,102.50,93.00,102.40,5153500,102.40
2012-05-04,101.00,101.60,95.80,96.20,4631000,96.20
2012-05-03,103.10,104.65,101.45,101.90,2704700,101.90
2012-05-02,107.80,108.15,103.15,103.70,3309500,103.70
2012-04-30,102.20,108.15,102.20,107.45,8477000,107.45
2012-04-27,102.30,104.00,99.25,100.60,4459600,100.60
2012-04-26,104.60,105.60,101.15,103.20,7382400,103.20
2012-04-25,108.80,109.00,103.50,104.30,6065600,104.30
2012-04-24,109.05,111.15,108.00,108.85,3156900,108.85
2012-04-23,114.85,115.90,108.10,108.20,3433500,108.20
2012-04-20,117.40,118.30,114.05,114.70,2822100,114.70
2012-04-19,117.65,118.45,116.20,117.25,2306000,117.25
2012-04-18,119.50,120.60,117.00,117.10,3983600,117.10
2012-04-17,114.50,119.50,114.30,119.05,5015200,119.05
2012-04-16,114.50,116.25,113.70,114.65,3235300,114.65
2012-04-13,117.20,119.50,114.05,114.30,3797400,114.30
2012-04-12,117.40,118.75,115.70,115.70,4074100,115.70
2012-04-11,118.20,119.00,116.20,116.60,3370200,116.60
2012-04-10,117.15,120.70,115.50,119.85,4474600,119.85
2012-04-09,120.20,120.50,117.20,117.30,3181500,117.30
2012-04-04,122.35,123.65,120.55,120.65,5284600,120.65
2012-04-03,123.10,123.70,120.40,120.55,4835200,120.55
2012-04-02,118.00,122.85,118.00,122.10,6807200,122.10
2012-03-30,116.25,117.90,115.65,116.70,3879100,116.70
2012-03-29,114.00,116.00,112.40,116.00,5225800,116.00
2012-03-28,117.40,119.80,114.80,115.35,4540000,115.35
2012-03-27,120.70,122.30,118.75,119.85,6706500,119.85
2012-03-26,121.95,122.95,118.25,119.00,5836400,119.00
2012-03-23,122.40,124.30,118.60,122.20,8955600,122.20
2012-03-21,123.70,129.85,121.35,129.15,10761800,129.15
2012-03-20,125.40,127.50,122.55,125.20,8861900,125.20
2012-03-19,130.80,133.10,124.20,125.50,7189300,125.50
2012-03-16,133.70,137.25,129.50,129.60,13741000,129.60
2012-03-15,134.50,134.50,130.05,133.05,9452100,133.05
2012-03-14,138.65,138.80,134.60,135.65,8149600,135.65
2012-03-13,136.00,138.50,135.20,136.85,10750000,136.85
2012-03-12,133.00,136.70,130.35,134.70,12810700,134.70
2012-03-09,135.00,135.45,129.70,130.50,13974000,130.50
2012-03-07,124.45,134.45,123.40,133.05,20431200,133.05
2012-03-06,136.20,139.40,124.60,125.20,30244100,125.20
2012-03-05,131.45,138.00,131.10,135.25,28402800,135.25
2012-03-02,124.10,125.40,121.30,122.90,7821900,122.90
2012-03-01,118.80,124.25,116.35,122.10,9840400,122.10
2012-02-29,120.00,123.55,115.80,119.60,7165600,119.60
2012-02-28,111.25,119.65,110.25,118.75,7263200,118.75
2012-02-27,118.90,118.90,108.80,109.10,4570000,109.10
2012-02-24,121.75,122.40,116.50,119.20,6078500,119.20
2012-02-23,122.60,125.20,118.50,121.20,10896500,121.20
2012-02-22,128.80,131.90,121.60,123.20,10386600,123.20
2012-02-21,127.00,130.65,125.00,128.10,8595000,128.10
2012-02-17,124.80,133.50,123.60,127.00,19880400,127.00
2012-02-16,122.45,126.70,121.15,122.00,16739200,122.00
2012-02-15,109.90,124.25,107.35,122.55,22878500,122.55
2012-02-14,107.65,110.00,106.80,108.25,7067200,108.25
2012-02-13,106.10,108.00,103.50,107.00,10013600,107.00
2012-02-10,107.30,108.50,102.30,105.50,6025000,105.50
2012-02-09,101.35,107.50,101.10,107.15,8671900,107.15
2012-02-08,100.70,102.30,99.55,101.70,5251100,101.70
2012-02-07,101.00,102.25,97.30,98.60,4053200,98.60
2012-02-06,101.30,102.25,99.00,100.20,3599100,100.20
2012-02-03,99.40,101.30,97.75,100.20,5115500,100.20
2012-02-02,102.60,102.85,98.25,99.10,5305300,99.10
2012-02-01,102.00,102.85,99.10,101.90,4856300,101.90
2012-01-31,96.90,102.80,96.05,101.65,6459800,101.65
