/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,94.45,94.95,93.10,93.30,2918500,93.10
2012-07-20,94.50,95.00,93.10,93.10,2918500,93.10
2012-07-19,93.60,94.35,92.80,93.20,1421600,93.20
2012-07-18,91.60,93.65,91.45,93.35,2201300,93.35
2012-07-17,92.55,93.20,91.50,92.05,3468300,92.05
2012-07-16,93.00,93.35,91.15,92.10,2318100,92.10
2012-07-13,92.20,93.25,92.10,92.70,2516700,92.70
2012-07-12,93.65,93.90,91.60,92.00,4390800,92.00
2012-07-11,93.75,94.40,93.05,93.25,2443700,93.25
2012-07-10,93.30,93.95,92.70,93.75,2728000,93.75
2012-07-09,93.65,94.10,92.05,92.40,2176000,92.40
2012-07-06,94.95,95.00,93.60,94.05,2528700,94.05
2012-07-05,94.95,94.95,93.65,94.00,2492100,94.00
2012-07-04,93.00,95.20,92.80,94.50,4955000,94.50
2012-07-03,92.00,92.95,91.50,92.50,3801100,92.50
2012-07-02,91.00,92.15,90.60,91.10,3545300,91.10
2012-06-29,90.00,90.90,89.45,90.60,3860800,90.60
2012-06-28,89.25,89.35,87.70,88.50,6037600,88.50
2012-06-27,89.50,89.60,88.10,88.50,3805500,88.50
2012-06-26,89.25,89.80,87.30,88.20,3806900,88.20
2012-06-25,91.10,91.30,89.40,89.65,3257800,89.65
2012-06-22,90.50,91.20,89.80,89.95,3059100,89.95
2012-06-21,91.00,91.90,90.55,91.35,3450300,91.35
2012-06-20,91.00,92.25,91.00,91.50,2274000,91.50
2012-06-19,91.10,92.00,89.75,91.00,2612500,91.00
2012-06-18,93.70,93.95,91.00,91.90,3071100,91.90
2012-06-15,91.90,93.40,91.75,92.00,3573200,92.00
2012-06-14,94.55,95.50,90.80,91.40,2459700,91.40
2012-06-13,95.75,95.80,93.80,94.80,2929200,94.80
2012-06-12,94.10,95.20,93.65,94.45,2890200,94.45
2012-06-11,96.15,97.35,94.30,94.50,3255000,94.50
2012-06-08,94.40,96.00,93.40,95.90,2483300,95.90
2012-06-07,94.80,96.20,94.25,94.50,1815900,94.50
2012-06-06,93.00,94.90,92.80,94.50,1728200,94.50
2012-06-05,92.20,93.50,91.90,93.10,1656300,93.10
2012-06-01,94.00,94.70,90.90,91.25,3546900,91.25
2012-05-31,90.50,96.75,90.50,94.50,6462300,94.50
2012-05-30,91.95,92.85,90.65,92.15,3722500,92.15
2012-05-29,94.00,96.70,91.80,91.95,9998900,91.95
2012-05-28,92.10,95.20,92.10,93.60,2406400,93.60
2012-05-25,90.50,93.50,90.50,93.20,2071600,93.20
2012-05-24,90.90,91.75,89.00,91.00,2093500,91.00
2012-05-23,90.05,93.65,89.75,90.05,4096500,90.05
2012-05-22,92.30,93.50,91.25,92.10,3502700,92.10
2012-05-21,89.50,91.40,88.30,91.10,3422700,91.10
2012-05-18,85.55,90.75,85.55,90.65,2113500,90.65
2012-05-17,85.45,88.20,85.45,88.00,2572200,88.00
2012-05-16,87.50,87.50,84.05,84.85,4629900,84.85
2012-05-14,89.05,90.50,86.05,86.25,2048000,86.25
2012-05-11,89.00,91.05,87.50,89.30,2738500,89.30
2012-05-10,90.50,92.80,89.00,90.00,2291700,90.00
2012-05-09,92.60,92.90,90.15,90.80,2630800,90.80
2012-05-08,93.25,94.50,93.00,93.60,2507500,93.60
2012-05-07,91.55,93.50,90.10,93.40,3589900,93.40
2012-05-04,95.45,96.40,92.50,93.80,3712700,93.80
2012-05-03,95.60,97.60,94.65,95.35,2749900,95.35
2012-05-02,95.00,97.45,95.00,96.55,5457400,96.55
2012-04-30,95.10,97.35,93.80,94.75,3423800,94.75
2012-04-27,97.15,98.95,93.75,94.80,4236700,94.80
2012-04-26,98.55,100.25,96.80,97.05,3074500,97.05
2012-04-25,100.00,101.75,97.80,99.00,3665900,99.00
2012-04-24,97.05,101.20,95.05,100.85,4379500,100.85
2012-04-23,96.95,101.15,96.00,96.40,5292900,96.40
2012-04-20,97.00,98.50,96.40,96.60,4152400,96.60
2012-04-19,96.85,99.05,96.25,99.00,3692900,99.00
2012-04-18,96.40,98.40,96.00,96.00,4669600,96.00
2012-04-17,94.40,96.50,93.90,96.00,3075600,96.00
2012-04-16,93.00,95.25,92.45,93.90,2128800,93.90
2012-04-13,95.00,95.80,93.15,93.65,2030200,93.65
2012-04-12,93.80,94.80,93.40,94.00,3116700,94.00
2012-04-11,92.10,93.75,91.65,92.20,2015800,92.20
2012-04-10,94.55,94.95,92.35,93.15,1964000,93.15
2012-04-09,97.00,97.00,93.70,93.75,2309700,93.75
