/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,1613.00,1621.80,1570.00,1573.65,1759400,1573.65
2014-01-28,1603.05,1628.00,1578.25,1596.30,1829600,1596.30
2014-01-27,1597.90,1604.00,1583.05,1594.50,1568800,1594.50
2014-01-24,1649.00,1664.90,1618.00,1621.20,1661600,1621.20
2014-01-23,1639.00,1663.00,1636.15,1658.30,924100,1658.30
2014-01-22,1654.00,1657.95,1635.25,1646.85,982100,1646.85
2014-01-21,1653.90,1672.70,1646.20,1659.50,1235100,1659.50
2014-01-20,1621.55,1645.90,1616.65,1641.85,946800,1641.85
2014-01-17,1634.55,1644.50,1617.00,1621.55,1120700,1621.55
2014-01-16,1644.15,1651.75,1632.45,1636.20,724100,1636.20
2014-01-15,1632.00,1658.00,1632.00,1640.70,1362400,1640.70
2014-01-14,1635.00,1649.00,1623.35,1627.50,1019700,1627.50
2014-01-13,1610.15,1645.10,1610.15,1641.25,1556400,1641.25
2014-01-10,1639.55,1656.00,1600.00,1608.15,2047300,1608.15
2014-01-09,1653.00,1662.75,1630.00,1639.80,1479100,1639.80
2014-01-08,1664.25,1677.95,1651.00,1657.15,1424800,1657.15
2014-01-07,1692.90,1702.00,1655.00,1661.40,1735200,1661.40
2014-01-06,1721.90,1724.00,1682.00,1688.15,1390700,1688.15
2014-01-03,1727.00,1736.00,1711.00,1719.65,1375900,1719.65
2014-01-02,1765.90,1806.00,1732.20,1742.60,1945100,1742.60
2014-01-01,1772.00,1774.90,1761.25,1765.05,590400,1765.05
2013-12-31,1759.45,1773.00,1749.70,1766.50,1075300,1766.50
2013-12-30,1780.80,1788.70,1755.10,1764.60,1086100,1764.60
2013-12-27,1755.00,1781.40,1755.00,1770.10,1069500,1770.10
2013-12-26,1753.00,1771.70,1747.00,1753.45,1633200,1753.45
2013-12-25,1759.25,1759.25,1759.25,1759.25,000,1759.25
2013-12-24,1759.15,1772.00,1752.00,1759.25,1333900,1759.25
2013-12-23,1745.00,1772.80,1745.00,1758.45,1332000,1758.45
2013-12-20,1725.00,1758.00,1720.05,1751.20,1502300,1751.20
2013-12-19,1772.30,1778.40,1712.50,1731.05,1837300,1731.05
2013-12-18,1715.00,1778.90,1715.00,1763.40,2358100,1763.40
2013-12-17,1750.20,1755.00,1712.65,1718.30,1763200,1718.30
2013-12-16,1730.10,1761.90,1727.35,1732.10,1302100,1732.10
2013-12-13,1758.00,1770.00,1740.10,1743.60,1646200,1743.60
2013-12-12,1790.00,1798.00,1771.55,1777.00,1581700,1777.00
2013-12-11,1840.00,1842.95,1781.50,1796.55,2071000,1796.55
2013-12-10,1894.75,1898.60,1836.30,1843.30,1886400,1843.30
2013-12-09,1911.00,1924.00,1885.05,1890.85,1877500,1890.85
2013-12-06,1852.00,1867.10,1845.05,1859.55,1450000,1859.55
