/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,57.30,57.90,56.85,57.30,205400,57.30
2012-07-20,57.30,57.90,56.80,57.30,205400,57.30
2012-07-19,57.15,58.35,56.90,57.40,208500,57.40
2012-07-18,57.15,57.80,56.50,56.90,283900,56.90
2012-07-17,58.60,59.15,57.05,57.05,210400,57.05
2012-07-16,60.00,60.15,58.10,58.25,274100,58.25
2012-07-13,60.60,60.90,59.50,59.60,440800,59.60
2012-07-12,60.00,61.50,59.50,60.05,1066700,60.05
2012-07-11,60.00,60.70,59.10,59.80,722800,59.80
2012-07-10,58.35,59.90,58.35,59.55,413000,59.55
2012-07-09,58.50,59.35,58.05,58.05,364900,58.05
2012-07-06,60.35,60.40,58.65,58.80,379800,58.80
2012-07-05,60.10,60.45,59.20,59.70,461900,59.70
2012-07-04,68.00,68.00,59.50,60.10,767000,60.10
2012-07-03,57.30,60.10,57.15,59.80,1344800,59.80
2012-07-02,57.20,57.60,56.45,56.70,193300,56.70
2012-06-29,55.80,57.60,55.25,56.95,775000,56.95
2012-06-28,53.60,55.25,53.50,54.45,663400,54.45
2012-06-27,54.00,54.50,53.75,53.80,93900,53.80
2012-06-26,54.50,54.50,53.55,53.60,131300,53.60
2012-06-25,53.80,55.00,53.80,54.35,218600,54.35
2012-06-22,53.60,55.70,52.80,54.10,283100,54.10
2012-06-21,52.50,53.85,52.20,53.80,180200,53.80
2012-06-20,52.10,52.90,51.75,52.75,92400,52.75
2012-06-19,52.05,52.60,51.25,52.20,129800,52.20
2012-06-18,53.60,53.90,52.10,52.25,196400,52.25
2012-06-15,53.15,53.80,53.05,53.30,137200,53.30
2012-06-14,52.70,54.45,52.25,53.05,597700,53.05
2012-06-13,52.80,53.25,52.10,52.35,181900,52.35
2012-06-12,52.40,52.95,51.50,52.80,110700,52.80
2012-06-11,53.00,53.45,52.15,52.30,277800,52.30
2012-06-08,51.90,53.40,51.30,52.55,388700,52.55
2012-06-07,52.15,52.95,51.05,52.45,347800,52.45
2012-06-06,50.35,52.40,49.85,51.90,735700,51.90
2012-06-05,50.60,51.00,49.65,49.90,271200,49.90
2012-06-01,51.25,51.40,50.50,50.75,239600,50.75
2012-05-31,49.35,52.70,49.35,51.00,893900,51.00
2012-05-30,54.55,54.55,46.55,52.00,558300,52.00
2012-05-29,55.80,56.70,55.35,55.60,371500,55.60
2012-05-28,54.75,56.00,54.75,55.25,247700,55.25
2012-05-25,54.25,55.40,53.55,54.95,173800,54.95
2012-05-24,53.50,54.45,53.30,54.15,173100,54.15
2012-05-23,54.65,54.65,53.25,53.55,180700,53.55
2012-05-22,55.80,56.60,54.50,54.65,134200,54.65
2012-05-21,54.60,56.10,54.45,55.50,159300,55.50
2012-05-18,52.50,54.75,52.50,54.50,150900,54.50
2012-05-17,53.85,55.35,53.85,54.50,295700,54.50
2012-05-16,55.00,55.25,53.10,53.15,390400,53.15
2012-05-14,54.90,56.40,53.55,54.40,190100,54.40
2012-05-11,57.50,58.30,54.55,55.40,542200,55.40
2012-05-10,57.70,58.90,57.50,57.90,600800,57.90
2012-05-09,57.50,58.90,57.35,57.55,624300,57.55
2012-05-08,60.55,60.85,58.00,58.20,250800,58.20
2012-05-07,58.00,60.85,56.70,60.10,326000,60.10
2012-05-04,59.90,60.25,58.40,58.70,456900,58.70
2012-05-03,61.00,62.65,59.60,60.30,205000,60.30
2012-05-02,62.00,62.70,61.35,61.70,262500,61.70
2012-04-30,61.10,62.25,60.70,62.25,321300,62.25
2012-04-27,60.10,61.25,59.05,59.35,269600,59.35
2012-04-26,60.50,60.75,59.45,59.75,941000,59.75
2012-04-25,60.50,61.90,59.25,59.60,442500,59.60
2012-04-24,60.40,60.85,59.10,60.10,291800,60.10
2012-04-23,62.65,63.40,59.60,59.60,411700,59.60
2012-04-20,63.70,65.40,62.10,62.10,1030800,62.10
2012-04-19,63.35,64.40,62.75,63.75,489200,63.75
2012-04-18,63.00,63.60,62.40,62.70,249300,62.70
2012-04-17,62.00,63.00,61.00,62.90,223000,62.90
2012-04-16,62.10,62.40,60.25,62.10,271300,62.10
2012-04-13,63.30,64.15,61.80,61.80,348700,61.80
2012-04-12,61.95,63.20,61.60,62.70,218400,62.70
2012-04-11,60.30,62.75,60.30,61.45,432100,61.45
2012-04-10,62.35,62.40,61.25,62.10,269500,62.10
2012-04-09,64.45,64.45,61.75,61.90,345800,61.90
2012-04-04,64.90,65.40,63.70,64.25,377500,64.25
2012-04-03,63.40,65.70,63.05,64.85,603400,64.85
2012-04-02,62.60,63.70,62.00,63.05,342600,63.05
2012-03-30,60.00,62.50,59.65,61.90,465400,61.90
2012-03-29,59.40,59.90,58.80,59.40,1037500,59.40
2012-03-28,60.75,61.30,59.50,59.90,416100,59.90
2012-03-27,61.50,61.70,60.00,60.90,469900,60.90
2012-03-26,62.75,63.00,60.40,60.60,463000,60.60
2012-03-23,62.15,63.45,61.00,62.85,719400,62.85
2012-03-21,64.65,65.90,64.00,65.50,428400,65.50
2012-03-20,62.55,65.25,62.50,64.55,418900,64.55
2012-03-19,64.60,64.90,61.80,63.00,746600,63.00
2012-03-16,67.50,68.40,62.80,63.20,2126400,63.20
2012-03-15,71.90,71.95,67.05,67.50,653200,67.50
2012-03-14,72.50,72.95,70.90,71.25,340800,71.25
2012-03-13,72.05,73.40,71.75,71.85,360100,71.85
2012-03-12,70.00,72.60,70.00,71.95,951400,71.95
2012-03-09,74.00,74.00,66.85,69.75,380900,69.75
2012-03-07,67.15,67.35,65.80,66.10,293600,66.10
2012-03-06,67.00,70.65,66.55,66.85,399000,66.85
2012-03-05,78.00,78.00,67.80,68.45,367400,68.45
2012-03-02,71.10,71.90,68.75,69.00,654500,69.00
2012-03-01,70.00,73.00,70.00,70.90,891700,70.90
2012-02-29,69.05,71.75,68.90,70.75,509400,70.75
2012-02-28,67.10,70.25,67.10,69.15,511900,69.15
2012-02-27,72.20,72.20,65.80,67.30,562300,67.30
2012-02-24,71.00,72.90,69.90,70.40,516200,70.40
2012-02-23,72.00,72.30,70.15,71.30,739500,71.30
2012-02-22,76.50,77.50,71.40,72.00,803000,72.00
2012-02-21,77.10,78.35,75.30,76.30,1240100,76.30
2012-02-17,78.10,81.65,76.40,77.20,4420100,77.20
2012-02-16,69.85,79.20,69.50,77.50,5147100,77.50
2012-02-15,69.05,70.95,69.00,69.70,1105900,69.70
2012-02-14,68.50,70.75,68.00,69.10,1717900,69.10
2012-02-13,71.00,71.80,68.10,68.20,1435500,68.20
2012-02-10,70.85,73.20,69.90,70.70,795000,70.70
2012-02-09,69.90,72.60,69.00,71.35,1240100,71.35
2012-02-08,67.90,70.60,67.75,69.70,840500,69.70
2012-02-07,68.10,70.40,66.50,67.45,663600,67.45
2012-02-06,70.00,71.40,68.00,69.00,1276800,69.00
2012-02-03,66.95,70.40,66.15,69.50,1741500,69.50
2012-02-02,67.55,68.70,66.00,66.25,678500,66.25
2012-02-01,66.00,68.25,65.05,67.45,745300,67.45
2012-01-31,64.10,65.90,62.80,65.85,814200,65.85
2012-01-30,68.70,68.70,63.00,63.65,792600,63.65
2012-01-27,66.50,69.30,64.10,67.80,1762100,67.80
2012-01-25,59.10,66.60,59.10,66.60,3207500,66.60
2012-01-24,59.50,59.95,58.65,59.40,376200,59.40
2012-01-23,59.90,60.65,58.75,59.10,433300,59.10
2012-01-20,58.50,61.70,58.00,59.35,1460500,59.35
2012-01-19,57.90,58.20,56.10,57.75,393300,57.75
2012-01-18,59.00,59.65,56.70,57.25,454500,57.25
2012-01-17,59.00,59.90,58.50,58.90,572100,58.90
2012-01-16,58.75,59.55,57.80,58.35,623300,58.35
2012-01-13,56.65,59.50,55.95,59.35,1173300,59.35
2012-01-12,56.80,57.20,55.00,55.80,827800,55.80
2012-01-11,54.90,56.60,54.75,56.15,1090700,56.15
2012-01-10,55.50,55.50,54.35,54.50,600700,54.50
2012-01-06,52.05,52.50,50.60,51.40,600000,51.40
2012-01-05,51.90,53.35,51.40,52.00,681100,52.00
2012-01-04,51.55,53.80,50.10,51.80,1006300,51.80
2012-01-03,47.00,51.00,47.00,50.40,849000,50.40
2012-01-02,48.45,48.75,46.10,47.10,417800,47.10
2011-12-30,48.70,50.20,47.85,48.20,354300,48.20
2011-12-29,49.10,49.65,48.50,48.60,703700,48.60
2011-12-28,51.20,51.30,48.55,48.95,500600,48.95
2011-12-27,51.75,52.80,50.50,50.85,375600,50.85
2011-12-26,61.00,61.00,50.90,51.80,404400,51.80
2011-12-23,53.00,53.00,51.05,51.55,324600,51.55
2011-12-22,50.50,52.40,50.05,51.80,388300,51.80
2011-12-21,51.00,51.45,49.80,51.00,310800,51.00
2011-12-20,51.50,51.70,49.45,49.90,484600,49.90
2011-12-19,54.20,54.20,51.10,51.30,409300,51.30
2011-12-16,55.70,56.40,52.65,53.00,396700,53.00
2011-12-15,55.85,56.15,54.95,55.40,353300,55.40
2011-12-14,57.55,58.70,55.85,56.15,870700,56.15
2011-12-13,55.00,58.25,54.70,57.50,360200,57.50
2011-12-12,56.25,57.70,54.90,55.50,450600,55.50
2011-12-09,57.90,58.00,56.10,56.75,563800,56.75
2011-12-08,60.25,60.70,58.00,58.15,483700,58.15
2011-12-07,61.50,62.85,60.00,60.00,762400,60.00
2011-12-05,62.70,62.70,61.25,61.70,266800,61.70
2011-12-02,61.70,62.45,61.25,61.95,383800,61.95
2011-12-01,62.05,62.95,60.60,61.20,421600,61.20
2011-11-30,61.70,62.70,60.20,60.40,327200,60.40
2011-11-29,60.75,63.70,60.70,61.80,523800,61.80
2011-11-28,59.95,61.70,59.15,60.60,235000,60.60
2011-11-25,59.00,60.80,58.80,59.50,230100,59.50
2011-11-24,59.00,59.20,57.65,58.80,505000,58.80
2011-11-23,61.00,61.00,58.15,58.50,354700,58.50
2011-11-22,60.25,61.45,60.00,60.75,210800,60.75
2011-11-21,62.20,62.60,59.65,60.00,235500,60.00
2011-11-18,61.80,62.90,59.85,62.75,419400,62.75
2011-11-17,61.90,62.95,61.00,61.80,279000,61.80
2011-11-16,62.40,63.70,60.90,63.00,356500,63.00
2011-11-15,65.10,66.20,61.90,62.30,770400,62.30
2011-11-14,70.90,71.40,66.50,66.70,388400,66.70
2011-11-11,71.00,71.50,69.20,69.75,2065500,69.75
2011-11-09,72.70,72.90,70.90,71.40,190100,71.40
2011-11-08,73.00,73.00,71.80,72.20,153200,72.20
2011-11-04,71.50,73.30,71.50,72.40,433400,72.40
2011-11-03,72.60,72.60,70.75,71.70,265000,71.70
2011-11-02,71.20,72.45,71.20,72.00,293100,72.00
2011-11-01,74.25,74.40,71.55,71.75,292000,71.75
2011-10-31,72.80,75.50,72.50,73.95,1172700,73.95
2011-10-28,71.50,73.20,71.00,72.50,501600,72.50
2011-10-26,70.00,70.25,69.30,70.25,123500,70.25
2011-10-25,68.80,70.15,65.25,69.50,874200,69.50
2011-10-24,69.15,70.60,68.25,69.00,371700,69.00
2011-10-21,69.30,69.90,68.70,69.00,180700,69.00
2011-10-20,70.55,71.00,68.60,69.10,300400,69.10
2011-10-19,71.00,71.00,70.15,70.70,287800,70.70
2011-10-18,71.70,71.90,67.50,70.15,310700,70.15
2011-10-17,72.25,75.00,71.80,71.85,540900,71.85
2011-10-14,72.05,72.25,71.45,71.80,434500,71.80
2011-10-13,72.25,72.95,71.55,72.40,500100,72.40
2011-10-12,70.90,72.25,70.75,72.00,634700,72.00
2011-10-11,72.00,72.80,70.45,70.90,564000,70.90
2011-10-10,69.95,71.90,68.25,71.20,646000,71.20
2011-10-07,70.10,72.75,68.45,68.80,891900,68.80
2011-10-05,72.60,72.90,69.65,69.70,480000,69.70
2011-10-04,74.05,74.05,71.50,71.65,889400,71.65
2011-10-03,81.45,81.45,74.60,74.95,1186800,74.95
2011-09-30,84.00,84.05,81.45,82.75,86800,82.75
2011-09-29,80.10,85.25,80.10,82.50,529700,82.50
2011-09-28,84.75,85.50,82.55,82.75,60600,82.75
2011-09-27,83.45,85.10,82.70,84.70,101400,84.70
2011-09-26,83.90,83.90,81.65,82.00,119100,82.00
2011-09-23,82.20,84.35,82.20,83.50,199300,83.50
2011-09-22,86.70,86.70,84.00,84.20,212900,84.20
2011-09-21,86.50,87.90,86.05,87.20,192700,87.20
2011-09-20,86.20,86.90,86.00,86.65,66600,86.65
2011-09-19,87.00,87.65,85.75,86.30,100100,86.30
2011-09-16,85.85,87.25,85.05,86.05,265500,86.05
2011-09-15,85.30,86.20,84.80,85.65,145300,85.65
2011-09-14,85.80,85.80,84.20,85.00,264400,85.00
2011-09-13,87.10,88.90,86.65,86.75,281400,84.25
2011-09-12,87.05,89.40,86.05,87.20,412100,84.69
2011-09-09,88.05,91.65,87.60,87.70,939200,85.17
2011-09-08,87.80,88.90,87.50,88.70,412500,86.14
2011-09-07,87.00,88.25,86.65,87.15,543300,84.64
2011-09-06,87.50,87.90,84.65,85.95,296400,83.47
2011-09-05,88.00,88.90,86.15,87.70,250400,85.17
2011-09-02,85.85,88.50,84.60,88.25,206400,85.71
2011-08-30,83.90,87.30,83.55,85.80,325400,83.33
2011-08-29,81.95,84.25,81.30,83.90,275300,81.48
2011-08-26,82.05,83.20,79.55,80.10,206300,77.79
2011-08-25,82.95,83.45,82.00,82.00,145800,79.64
2011-08-24,84.30,84.80,82.00,82.00,246100,79.64
2011-08-23,85.10,85.90,83.25,83.55,255500,81.14
2011-08-22,81.05,86.10,79.65,86.10,374300,83.62
2011-08-19,80.00,81.40,78.00,80.35,303800,78.03
2011-08-18,83.60,83.60,80.45,80.85,353700,78.52
2011-08-17,87.00,87.90,82.60,82.70,469900,80.32
2011-08-16,92.80,93.05,86.25,86.25,563600,83.76
2011-08-12,93.05,94.40,92.20,92.85,265500,90.17
2011-08-11,92.65,93.70,92.20,93.00,207200,90.32
2011-08-10,92.90,93.95,92.65,93.25,186100,90.56
2011-08-09,92.75,92.75,88.00,91.65,282500,89.01
2011-08-08,95.00,95.00,92.00,92.75,823200,90.08
2011-08-05,97.00,97.50,93.10,95.40,351800,92.65
2011-08-04,100.10,101.70,99.10,99.70,153100,96.83
2011-08-03,100.50,101.00,99.20,100.70,195700,97.80
2011-08-02,102.85,102.85,100.10,100.65,186200,97.75
2011-08-01,101.55,103.35,101.00,102.60,161100,99.64
2011-07-29,104.00,104.30,101.00,101.85,284900,98.91
2011-07-28,106.00,106.00,103.05,103.35,453800,100.37
2011-07-27,104.40,107.90,103.55,104.80,295300,101.78
2011-07-26,106.00,106.20,104.40,104.60,97700,101.59
2011-07-25,105.25,105.70,104.25,105.60,110900,102.56
2011-07-22,103.20,105.20,102.10,105.20,120700,102.17
2011-07-21,104.80,104.85,103.15,103.65,73100,100.66
2011-07-20,104.75,105.75,103.80,103.90,87600,100.91
2011-07-19,105.00,105.70,104.50,104.80,69200,101.78
2011-07-18,105.90,106.05,104.50,104.50,80700,101.49
2011-07-15,105.50,106.20,104.60,105.20,157800,102.17
2011-07-14,104.50,105.90,104.05,104.70,117100,101.68
2011-07-13,104.00,105.15,103.80,104.95,107500,101.93
2011-07-12,105.35,105.35,102.70,103.05,168100,100.08
2011-07-11,106.00,107.30,105.00,105.00,187900,101.97
2011-07-08,106.00,108.50,105.05,106.15,342400,103.09
2011-07-07,105.50,107.20,105.15,106.30,157900,103.24
2011-07-06,105.90,106.40,104.70,105.55,89600,102.51
2011-07-05,106.75,107.05,105.15,105.15,113700,102.12
2011-07-04,104.05,106.95,103.40,106.70,325100,103.63
2011-07-01,102.40,104.80,102.40,103.60,132000,100.61
2011-06-30,103.45,103.50,101.75,102.25,563500,99.30
2011-06-29,102.95,103.60,102.50,103.15,95900,100.18
2011-06-28,103.05,103.95,101.75,102.60,94700,99.64
2011-06-27,99.30,103.80,98.55,103.00,193500,100.03
2011-06-24,98.55,101.20,98.20,100.50,151500,97.60
2011-06-23,99.00,99.25,97.50,98.90,114700,96.05
2011-06-22,99.45,100.20,98.50,98.50,156300,95.66
2011-06-21,100.40,100.90,98.65,99.25,191600,96.39
2011-06-20,103.95,103.95,97.15,99.50,293800,96.63
2011-06-17,103.20,104.75,103.10,103.25,148800,100.27
2011-06-16,104.40,105.00,103.60,104.15,99100,101.15
2011-06-15,106.40,106.75,104.30,104.70,225100,101.68
2011-06-14,105.00,107.05,104.50,106.00,836000,102.95
2011-06-13,105.10,105.10,103.85,104.65,153800,101.63
2011-06-10,104.30,106.00,104.30,104.50,110900,101.49
2011-06-09,105.50,106.00,104.70,105.15,150200,102.12
2011-06-08,108.90,108.90,105.10,105.60,131500,102.56
2011-06-07,105.10,106.40,104.60,106.10,112000,103.04
2011-06-06,113.10,113.10,104.40,105.20,200100,102.17
2011-06-03,106.50,108.50,105.50,105.90,485200,102.85
2011-06-02,104.00,106.95,103.25,106.50,289100,103.43
2011-06-01,105.00,107.50,104.35,105.20,325500,102.17
2011-05-31,103.00,105.35,99.30,104.45,790800,101.44
2011-05-30,103.00,104.90,101.90,102.55,277700,99.59
2011-05-27,98.75,103.55,98.75,103.35,146600,100.37
2011-05-26,102.50,102.50,100.20,100.90,637100,97.99
2011-05-25,102.20,104.40,101.30,102.00,211500,99.06
2011-05-24,103.20,104.50,103.20,104.15,79600,101.15
2011-05-23,105.50,105.50,103.50,103.80,110700,100.81
2011-05-20,104.10,105.20,103.30,104.30,133300,101.29
2011-05-19,105.00,105.30,103.75,103.90,138700,100.91
2011-05-18,105.65,105.85,104.10,104.75,138200,101.73
2011-05-17,106.25,107.70,105.05,105.15,123500,102.12
2011-05-16,109.00,109.00,106.35,106.70,122900,103.63
