/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,192.25,194.75,189.60,192.55,1237700,192.35
2012-07-20,192.25,194.95,189.60,192.35,1240900,192.35
2012-07-19,193.00,195.00,191.55,193.50,1648900,193.50
2012-07-18,186.00,192.15,186.00,191.00,2183000,191.00
2012-07-17,187.45,189.00,184.00,185.50,1380900,185.50
2012-07-16,189.25,190.75,185.30,185.65,1633900,185.65
2012-07-13,193.50,195.25,189.35,190.75,2048900,190.75
2012-07-12,196.00,196.00,192.20,192.45,2658800,192.45
2012-07-11,199.60,202.30,196.60,197.00,3310800,197.00
2012-07-10,197.00,201.50,194.65,200.05,2697200,200.05
2012-07-09,197.00,198.00,194.20,195.80,1462900,195.80
2012-07-06,202.00,202.45,197.50,198.30,2281400,198.30
2012-07-05,204.65,206.35,201.35,201.45,3412500,201.45
2012-07-04,196.65,207.95,196.45,202.70,9027000,202.70
2012-07-03,192.05,197.85,191.15,194.70,3050600,194.70
2012-07-02,193.95,193.95,189.10,191.50,2038300,191.50
2012-06-29,189.00,192.00,187.55,191.75,2077000,191.75
2012-06-28,192.40,193.90,184.10,185.45,2653100,185.45
2012-06-27,186.90,193.25,186.00,191.40,2261900,191.40
2012-06-26,187.20,188.20,183.55,185.25,1391000,185.25
2012-06-25,186.00,189.90,185.30,186.60,2116500,186.60
2012-06-22,184.00,189.45,181.00,186.00,2025000,186.00
2012-06-21,181.15,186.95,181.15,186.30,1737200,186.30
2012-06-20,178.85,183.90,178.85,181.80,2205100,181.80
2012-06-19,181.50,185.25,175.30,177.15,2407700,177.15
2012-06-18,188.00,190.60,181.55,182.90,2176900,182.90
2012-06-15,190.00,190.00,183.10,185.15,1884500,185.15
2012-06-14,187.60,191.45,185.60,188.80,1713700,188.80
2012-06-13,189.00,190.20,185.30,187.00,1285100,187.00
2012-06-12,183.90,191.50,182.85,188.40,2042700,188.40
2012-06-11,190.70,194.00,183.15,183.70,2090100,183.70
2012-06-08,184.70,189.50,181.90,188.75,1790800,188.75
2012-06-07,183.25,188.75,183.25,187.15,2107600,187.15
2012-06-06,176.70,183.95,176.70,180.50,2041300,180.50
2012-06-05,178.50,181.00,174.55,175.60,1538900,175.60
2012-06-01,184.00,186.60,180.50,181.50,1533700,181.50
2012-05-31,180.05,189.60,178.90,185.70,3848300,185.70
2012-05-30,184.50,185.70,182.00,183.15,1019900,183.15
2012-05-29,188.30,189.80,184.50,185.00,1442000,185.00
2012-05-28,180.75,188.70,180.75,188.20,1522500,188.20
2012-05-25,180.00,183.50,178.00,182.00,2248600,182.00
2012-05-24,180.00,181.45,175.10,180.45,4087400,180.45
2012-05-23,183.20,186.85,176.80,177.00,3180600,177.00
2012-05-22,195.50,196.45,183.20,183.65,3653200,183.65
2012-05-21,196.00,199.00,192.60,192.65,4459300,192.65
2012-05-18,181.75,196.60,180.35,193.50,3838300,193.50
2012-05-17,187.00,191.90,183.80,187.00,3089300,187.00
2012-05-16,186.00,191.40,185.00,185.60,3550100,185.60
2012-05-14,180.40,182.65,176.30,182.25,1373300,182.25
2012-05-11,173.90,180.40,172.20,179.30,1775700,179.30
2012-05-10,176.10,180.00,172.50,174.70,1677400,174.70
2012-05-09,178.90,179.65,175.30,176.50,2035200,176.50
2012-05-08,185.25,185.25,178.50,179.00,1556700,179.00
2012-05-07,177.75,184.70,176.00,184.35,2544500,184.35
