Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,698.75,700.30,685.00,686.05,10300,685.50
2012-07-20,690.70,700.70,685.00,685.50,62200,685.50
2012-07-19,690.35,702.75,688.20,691.10,152600,691.10
2012-07-18,687.00,689.00,680.20,689.00,119700,689.00
2012-07-17,704.70,704.70,685.10,685.10,102400,685.10
2012-07-16,702.00,706.85,692.20,696.00,97000,696.00
2012-07-13,710.50,712.55,694.25,698.00,123600,698.00
2012-07-12,716.00,723.00,702.00,704.90,190400,704.90
2012-07-11,733.00,734.30,717.50,719.00,108700,719.00
2012-07-10,722.00,737.80,713.60,733.00,136800,733.00
2012-07-09,728.00,733.00,717.25,719.80,51900,719.80
2012-07-06,738.00,738.00,727.00,737.20,49100,737.20
2012-07-05,734.00,743.85,733.00,735.00,110700,735.00
2012-07-04,743.90,743.90,731.00,733.30,93200,733.30
2012-07-03,736.00,743.95,736.00,738.00,78300,738.00
2012-07-02,734.25,743.50,732.00,735.00,97000,735.00
2012-06-29,717.00,740.00,717.00,734.00,236200,734.00
2012-06-28,707.25,721.70,707.25,710.90,84400,710.90
2012-06-27,711.25,718.00,705.00,709.00,72500,709.00
2012-06-26,700.45,714.00,696.05,713.00,66800,713.00
2012-06-25,721.40,724.90,694.00,695.80,80000,695.80
2012-06-22,718.00,722.95,708.05,714.90,107500,714.90
2012-06-21,708.20,724.00,707.95,719.50,132100,719.50
2012-06-20,692.35,714.70,685.00,709.55,188200,709.55
2012-06-19,681.00,699.40,681.00,699.10,90700,699.10
2012-06-18,701.00,705.00,672.00,676.00,132800,676.00
2012-06-15,698.80,702.00,689.90,697.00,131900,697.00
2012-06-14,695.00,707.20,690.20,691.50,249500,691.50
2012-06-13,684.20,698.00,680.00,696.85,209800,696.85
2012-06-12,680.00,685.75,668.45,682.10,248000,682.10
2012-06-11,676.00,696.40,675.80,682.00,178400,682.00
2012-06-08,666.60,681.95,661.10,676.00,256100,676.00
2012-06-07,669.10,678.00,655.00,667.00,239900,667.00
2012-06-06,657.80,674.00,653.20,666.50,223000,666.50
2012-06-05,670.05,677.60,646.00,647.00,143500,647.00
2012-06-01,672.10,681.30,640.00,640.75,172000,640.75
2012-05-31,661.00,684.00,650.00,672.00,225800,672.00
2012-05-30,671.10,677.00,662.20,663.35,84000,663.35
2012-05-29,694.30,695.70,675.10,680.00,153800,680.00
2012-05-28,684.05,702.60,684.05,686.00,135800,686.00
2012-05-25,681.60,696.00,673.15,689.30,140600,689.30
2012-05-24,669.20,685.00,666.25,681.00,69000,681.00
2012-05-23,668.90,674.40,661.10,668.50,136300,668.50
2012-05-22,688.20,699.00,666.30,671.00,87900,671.00
2012-05-21,691.10,703.95,685.00,685.00,146400,685.00
2012-05-18,682.90,699.00,665.50,689.30,169500,689.30
2012-05-17,710.00,718.95,681.25,690.00,175900,690.00
2012-05-16,710.00,716.00,701.00,705.00,165200,705.00
2012-05-14,705.00,718.15,699.00,710.00,126500,710.00
2012-05-11,713.10,719.80,701.00,702.00,122900,702.00
2012-05-10,710.00,728.00,710.00,721.00,276900,721.00
2012-05-09,723.05,732.80,704.00,718.45,268800,718.45
2012-05-08,759.20,775.00,723.95,723.95,222400,723.95
2012-05-07,740.00,770.00,730.05,770.00,214100,770.00
2012-05-04,758.10,769.25,745.05,749.00,128000,749.00
2012-05-03,761.80,774.50,751.95,772.00,167100,772.00
2012-05-02,773.55,774.80,761.30,767.00,179500,767.00
2012-04-30,781.00,785.00,770.60,775.75,145400,775.75
2012-04-27,780.00,799.95,774.80,780.00,382500,780.00
2012-04-26,774.80,780.00,763.00,773.00,141500,773.00
2012-04-25,797.00,797.00,773.00,774.80,209200,774.80
2012-04-24,792.00,805.00,788.55,792.00,167100,792.00
2012-04-23,805.60,813.95,785.65,789.00,69300,789.00
2012-04-20,824.10,831.65,808.35,811.00,114000,811.00
2012-04-19,822.10,832.40,818.10,830.00,128300,830.00
2012-04-18,820.00,840.00,818.35,830.00,296000,830.00
2012-04-17,799.00,819.00,793.00,812.70,156200,812.70
2012-04-16,785.25,809.00,781.80,802.50,113500,802.50
2012-04-13,789.10,817.00,787.20,792.00,184800,792.00
2012-04-12,772.35,794.00,771.00,794.00,111100,794.00
2012-04-11,776.00,780.00,765.00,770.00,102900,770.00
2012-04-10,765.20,786.00,764.90,785.00,108800,785.00
2012-04-09,787.75,789.45,765.00,771.00,140000,771.00
2012-04-04,784.45,793.00,780.10,793.00,102900,793.00
2012-04-03,775.00,793.80,771.95,793.80,102200,793.80
2012-04-02,751.15,776.95,751.15,776.90,119700,776.90
2012-03-30,745.65,761.80,736.55,757.35,197900,757.35
2012-03-29,770.00,770.00,735.70,745.00,268800,745.00
2012-03-28,764.05,775.00,755.00,770.00,90000,770.00
2012-03-27,781.50,784.95,754.65,760.00,167900,760.00
2012-03-26,779.00,782.00,761.25,769.30,116700,769.30
2012-03-23,790.00,792.25,772.35,779.00,117500,779.00
2012-03-21,784.20,811.70,774.10,800.05,159600,800.05
2012-03-20,778.60,788.90,768.00,777.75,154500,777.75
2012-03-19,774.90,783.15,754.10,781.00,138100,781.00
2012-03-16,800.00,815.00,762.40,767.05,210300,767.05
2012-03-15,810.00,812.00,790.55,802.50,133800,802.50
2012-03-14,811.00,818.05,806.05,813.00,120700,813.00
2012-03-13,813.95,819.40,802.30,807.65,172500,807.65
2012-03-12,800.00,812.00,790.00,812.00,168100,812.00
2012-03-09,789.95,807.70,782.95,783.00,162600,783.00
2012-03-07,785.00,796.95,776.00,786.00,100000,786.00
2012-03-06,765.00,794.60,760.05,787.10,174100,787.10
2012-03-05,791.00,796.00,742.90,765.00,151300,765.00
2012-03-02,812.70,823.00,790.00,791.10,150500,791.10
2012-03-01,791.00,817.00,782.10,816.00,128400,816.00
2012-02-29,815.00,823.90,790.00,790.00,100500,790.00
2012-02-28,778.00,815.95,768.10,814.60,195300,814.60
2012-02-27,790.00,798.00,752.10,769.00,182200,769.00
2012-02-24,800.00,822.00,787.00,787.00,167400,787.00
2012-02-23,808.00,825.00,800.20,812.00,330500,812.00
2012-02-22,829.90,834.80,800.00,809.20,171500,809.20
2012-02-21,823.20,839.00,823.05,825.25,171600,825.25
2012-02-17,801.00,839.80,793.00,831.05,265500,831.05
2012-02-16,798.70,803.95,779.95,802.00,57300,802.00
2012-02-15,796.95,804.40,792.00,797.00,81000,797.00
2012-02-14,803.40,803.40,786.85,790.00,101000,790.00
2012-02-13,791.00,810.90,780.35,799.10,148200,799.10
2012-02-10,801.00,801.00,780.10,792.00,146400,792.00
2012-02-09,787.80,803.30,780.30,799.20,188300,799.20
2012-02-08,780.00,787.75,769.75,787.00,144800,787.00
2012-02-07,780.00,790.00,770.05,770.05,166100,770.05
2012-02-06,754.95,783.60,752.00,780.00,520600,780.00
2012-02-03,731.00,752.00,731.00,751.00,291600,751.00
2012-02-02,735.00,739.05,720.00,732.00,181400,732.00
2012-02-01,718.00,735.95,713.90,731.00,250800,731.00
2012-01-31,740.00,742.90,708.85,727.50,854200,727.50
2012-01-30,747.00,755.90,735.50,742.00,185200,742.00
2012-01-27,759.80,759.80,743.20,755.00,186800,755.00
2012-01-25,768.00,770.00,749.20,753.00,273700,753.00
2012-01-24,749.85,768.00,738.50,760.00,460900,760.00
2012-01-23,752.55,759.90,746.05,749.00,74200,749.00
2012-01-20,743.00,761.60,742.90,750.05,221400,750.05
2012-01-19,750.00,755.00,738.05,739.10,143100,739.10
2012-01-18,752.85,756.50,735.75,742.90,142400,742.90
2012-01-17,723.60,755.50,723.60,750.85,167200,750.85
2012-01-16,720.80,726.35,715.50,723.05,117600,723.05
2012-01-13,728.80,728.90,708.00,721.00,139600,721.00
2012-01-12,707.00,739.60,701.50,723.00,142800,723.00
2012-01-11,705.95,712.70,698.65,704.20,67400,704.20
2012-01-10,681.00,711.00,681.00,706.00,132200,706.00
2012-01-06,660.00,671.55,647.10,669.00,128100,669.00
2012-01-05,660.10,667.00,655.00,660.00,156200,660.00
2012-01-04,669.00,672.95,656.30,662.45,138700,662.45
2012-01-03,644.90,670.00,640.00,667.70,271300,667.70
2012-01-02,646.55,650.00,631.75,638.00,58200,638.00
2011-12-30,640.00,651.90,639.00,639.00,153100,639.00
2011-12-29,656.00,656.00,632.70,637.00,214100,637.00
2011-12-28,669.50,675.00,654.55,655.65,132700,655.65
2011-12-27,653.00,669.40,646.10,668.50,111200,668.50
2011-12-26,659.00,670.80,650.10,653.05,191300,653.05
2011-12-23,650.00,665.00,647.95,665.00,192000,665.00
2011-12-22,655.90,663.75,641.00,648.00,167500,648.00
2011-12-21,640.05,659.00,635.00,654.10,160100,654.10
2011-12-20,643.05,648.90,626.70,632.60,157500,632.60
2011-12-19,647.45,649.00,638.00,638.00,235900,638.00
2011-12-16,668.00,680.00,642.35,655.00,287000,655.00
2011-12-15,665.00,679.40,661.20,668.70,210400,668.70
2011-12-14,673.25,679.80,665.70,669.00,119400,669.00
2011-12-13,680.00,690.00,659.60,681.00,255500,681.00
2011-12-12,700.00,700.00,672.35,680.00,313300,680.00
2011-12-09,704.30,717.05,680.05,680.15,295400,680.15
2011-12-08,722.00,722.85,705.05,709.00,133100,709.00
2011-12-07,720.00,729.00,715.00,724.90,92100,724.90
2011-12-05,724.90,735.00,710.00,718.40,138800,718.40
2011-12-02,698.00,730.00,697.55,727.65,158200,727.65
2011-12-01,705.00,713.00,695.00,700.00,210600,700.00
2011-11-30,697.00,701.40,672.00,686.00,314300,686.00
2011-11-29,710.00,711.70,691.00,697.00,364100,697.00
2011-11-28,704.90,717.15,680.20,712.00,326900,712.00
2011-11-25,679.50,698.50,668.00,691.50,142400,691.50
2011-11-24,681.50,696.75,652.00,685.00,337500,685.00
2011-11-23,699.00,699.00,662.90,682.00,394300,682.00
2011-11-22,729.90,735.00,693.20,700.75,437800,700.75
2011-11-21,732.00,739.95,716.40,722.00,190600,722.00
2011-11-18,717.00,739.80,702.00,733.00,182600,733.00
2011-11-17,748.00,748.00,715.00,720.00,236100,720.00
2011-11-16,782.00,786.00,740.10,755.00,328500,755.00
2011-11-15,816.20,817.00,775.00,776.70,234200,776.70
2011-11-14,831.25,839.00,813.00,814.95,94100,814.95
2011-11-11,825.00,834.75,821.00,829.00,119500,829.00
2011-11-09,851.55,854.95,827.00,829.05,137500,829.05
2011-11-08,859.00,864.65,844.35,852.00,82200,852.00
2011-11-04,855.00,869.00,855.00,860.95,116300,860.95
2011-11-03,846.15,860.00,837.10,859.00,127500,859.00
2011-11-02,840.00,857.00,839.00,849.00,63800,849.00
2011-11-01,855.00,865.00,838.05,844.95,86200,844.95
2011-10-31,852.95,872.30,852.55,855.00,150300,855.00
2011-10-28,849.95,877.40,847.95,852.00,130700,852.00
2011-10-26,844.00,848.00,836.00,839.00,13900,839.00
2011-10-25,828.00,847.00,817.00,835.00,211900,835.00
2011-10-24,835.00,839.90,814.00,815.00,255000,815.00
2011-10-21,817.85,825.00,811.00,825.00,93400,825.00
2011-10-20,825.00,829.75,806.00,812.00,138500,812.00
2011-10-19,821.00,834.85,813.00,834.00,188600,834.00
2011-10-18,813.00,821.45,804.10,815.90,154700,815.90
2011-10-17,841.00,847.70,824.00,825.00,89400,825.00
2011-10-14,843.65,854.70,836.00,843.00,91300,843.00
2011-10-13,848.10,850.75,827.30,840.30,114000,840.30
2011-10-12,841.70,900.00,839.25,843.00,116800,843.00
2011-10-11,837.80,850.00,829.05,835.00,192400,835.00
2011-10-10,836.85,849.90,825.10,831.00,162200,831.00
2011-10-07,835.00,856.70,835.00,838.50,194900,838.50
2011-10-05,826.50,837.80,816.65,826.00,100300,826.00
2011-10-04,820.05,838.90,815.25,833.00,127800,833.00
2011-10-03,827.65,833.95,813.00,828.10,170600,828.10
2011-09-30,854.00,855.70,823.95,838.00,307300,838.00
2011-09-29,837.70,865.00,820.00,860.00,163900,860.00
2011-09-28,867.00,867.00,812.40,826.00,182000,826.00
2011-09-27,847.00,860.00,847.00,855.15,74700,855.15
2011-09-26,855.35,858.00,833.00,845.25,124200,845.25
2011-09-23,856.00,862.40,842.10,854.00,206700,854.00
2011-09-22,873.35,883.00,846.00,851.00,158300,851.00
2011-09-21,876.20,900.00,871.30,894.00,110600,894.00
2011-09-20,855.50,879.80,852.20,878.70,72400,878.70
2011-09-19,860.00,861.60,852.00,858.00,73000,858.00
2011-09-16,848.00,871.90,848.00,864.05,326800,864.05
2011-09-15,855.50,860.00,845.00,851.00,104400,851.00
