/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,339.05,351.20,339.05,349.95,125800,348.85
2012-07-20,339.10,351.45,339.05,348.85,125900,348.85
2012-07-19,342.80,344.75,336.25,342.90,125400,342.90
2012-07-18,331.25,340.00,331.25,338.00,46100,338.00
2012-07-17,330.15,336.00,329.00,332.50,70700,332.50
2012-07-16,338.60,342.65,326.90,330.30,60700,330.30
2012-07-13,338.80,344.50,337.30,339.00,180800,339.00
2012-07-12,334.00,339.25,330.50,335.00,265900,335.00
2012-07-11,331.70,337.00,330.00,336.35,71300,336.35
2012-07-10,334.70,334.75,328.30,332.80,206300,332.80
2012-07-09,331.90,335.00,325.50,326.95,166700,326.95
2012-07-06,341.30,343.95,332.00,334.10,135300,334.10
2012-07-05,355.00,355.45,339.75,341.10,258200,341.10
2012-07-04,346.05,355.45,343.00,351.00,292200,351.00
2012-07-03,337.10,346.20,337.10,341.55,187500,341.55
2012-07-02,341.85,344.65,335.00,335.50,68700,335.50
2012-06-29,338.90,342.85,336.50,341.40,135700,341.40
2012-06-28,354.85,354.95,332.00,334.05,381200,334.05
2012-06-27,346.45,353.00,340.00,351.90,211800,351.90
2012-06-26,337.10,346.95,337.10,346.25,186900,346.25
2012-06-25,330.95,340.00,328.00,338.00,196700,338.00
2012-06-22,316.40,334.40,315.30,324.45,302500,324.45
2012-06-21,317.85,320.95,314.15,316.25,71000,316.25
2012-06-20,311.55,323.50,311.55,320.00,98700,320.00
2012-06-19,310.20,317.00,310.20,315.30,84900,315.30
2012-06-18,309.80,318.70,302.00,313.00,183400,313.00
2012-06-15,306.90,311.00,303.60,308.25,60600,308.25
2012-06-14,306.05,313.00,301.15,304.00,115600,304.00
2012-06-13,308.40,310.90,302.00,302.35,102000,302.35
2012-06-12,308.75,315.00,304.30,306.85,135100,306.85
2012-06-11,323.95,328.05,312.10,313.00,138700,313.00
2012-06-08,312.50,327.85,312.50,321.05,78500,321.05
2012-06-07,316.40,319.45,310.05,318.25,180400,318.25
2012-06-06,301.10,322.90,300.25,314.40,335400,314.40
2012-06-05,293.00,304.00,293.00,298.00,39500,298.00
2012-06-01,304.00,305.00,288.05,292.00,53700,292.00
2012-05-31,299.00,303.15,293.50,301.00,153500,301.00
2012-05-30,302.00,302.50,297.55,300.90,55400,300.90
2012-05-29,294.40,307.65,291.05,301.20,109600,301.20
2012-05-28,290.05,294.55,284.20,291.00,122200,291.00
2012-05-25,298.00,305.00,282.50,290.00,333500,290.00
2012-05-24,300.30,302.05,290.20,292.00,329300,292.00
2012-05-23,312.80,312.80,297.80,298.80,340100,298.80
2012-05-22,314.10,321.10,309.00,309.50,128100,309.50
2012-05-21,317.30,320.25,312.25,315.45,157100,315.45
