/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,616.00,636.90,608.50,615.65,579000,615.65
2014-01-28,600.00,618.15,597.00,608.20,199200,608.20
2014-01-27,615.00,615.00,600.05,603.45,168500,603.45
2014-01-24,613.00,623.95,605.50,619.20,205200,619.20
2014-01-23,624.35,629.95,614.05,617.75,116500,617.75
2014-01-22,615.00,627.00,612.60,624.35,84300,624.35
2014-01-21,602.00,622.70,602.00,617.20,113900,617.20
2014-01-20,600.00,613.50,595.00,610.45,88400,610.45
2014-01-17,603.40,608.55,594.15,599.65,251300,599.65
2014-01-16,621.00,631.00,602.00,605.15,321400,605.15
2014-01-15,603.10,628.00,603.10,620.05,275000,620.05
2014-01-14,601.00,615.00,599.70,605.65,686800,605.65
2014-01-13,609.95,617.80,598.30,608.75,198000,608.75
2014-01-10,609.50,619.90,601.00,604.75,276300,604.75
2014-01-09,627.00,627.00,602.70,609.50,709000,609.50
2014-01-08,626.00,643.00,620.35,627.70,498800,627.70
2014-01-07,663.00,663.00,626.15,634.65,314600,634.65
2014-01-06,675.25,678.85,654.25,657.55,217700,657.55
2014-01-03,658.00,680.00,653.65,674.45,162500,674.45
2014-01-02,672.20,677.75,653.00,658.75,102100,658.75
2014-01-01,677.00,677.50,669.00,672.20,51100,672.20
2013-12-31,677.00,678.90,663.30,672.60,183700,672.60
2013-12-30,676.00,681.00,666.00,676.50,105200,676.50
2013-12-27,669.55,680.00,656.00,675.25,125100,675.25
2013-12-26,670.00,679.70,655.20,662.20,245900,662.20
2013-12-25,667.75,667.75,667.75,667.75,000,667.75
2013-12-24,646.40,673.55,640.40,667.75,255100,667.75
2013-12-23,656.00,666.95,644.45,647.65,272000,647.65
2013-12-20,640.10,663.90,640.10,659.95,454000,659.95
2013-12-19,632.50,647.95,627.10,639.65,543100,639.65
2013-12-18,620.95,636.00,610.35,631.80,436700,631.80
2013-12-17,621.60,627.40,613.75,620.20,496300,620.20
2013-12-16,596.20,623.00,591.75,616.70,428700,616.70
2013-12-13,607.50,608.00,595.00,597.10,232100,597.10
2013-12-12,608.90,616.90,604.00,607.50,278900,607.50
2013-12-11,595.00,609.40,586.75,605.05,370400,605.05
2013-12-10,601.00,604.95,593.00,599.70,840800,599.70
2013-12-09,596.00,611.45,595.00,600.20,501600,600.20
2013-12-06,586.30,600.00,586.30,589.65,296900,589.65
2013-12-05,603.00,603.00,585.45,591.05,266600,591.05
2013-12-04,585.50,602.65,581.70,586.50,302000,586.50
2013-12-03,601.50,609.35,594.50,596.55,457500,596.55
2013-12-02,591.25,604.90,585.00,601.05,215400,601.05
