Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,105.00,106.20,103.50,105.10,2688900,104.95
2012-07-20,105.00,106.25,103.50,104.95,2688900,104.95
2012-07-19,104.45,106.30,104.45,105.70,3925100,105.70
2012-07-18,101.60,103.95,100.85,103.45,5233300,103.45
2012-07-17,102.25,103.00,100.10,100.70,6586100,100.70
2012-07-16,103.10,103.95,101.10,101.50,4282800,101.50
2012-07-13,104.80,105.70,102.60,103.60,5588200,103.60
2012-07-12,105.15,105.75,103.55,104.70,5745000,104.70
2012-07-11,107.20,108.90,105.75,105.95,5252300,105.95
2012-07-10,106.00,108.75,105.25,107.95,7917900,107.95
2012-07-09,106.10,107.25,105.20,105.35,4793000,105.35
2012-07-06,109.55,109.70,106.65,107.65,5013300,107.65
2012-07-05,111.00,112.35,109.05,109.25,5722300,109.25
2012-07-04,105.90,112.40,105.90,111.20,13668700,111.20
2012-07-03,104.80,107.25,103.35,105.60,6377400,105.60
2012-07-02,103.60,105.00,102.25,104.35,5397500,104.35
2012-06-29,99.20,103.00,99.20,102.70,6602600,102.70
2012-06-28,101.20,101.20,97.15,97.70,7002000,97.70
2012-06-27,98.90,100.10,98.00,99.75,7302000,99.75
2012-06-26,98.80,99.50,97.30,98.10,5157600,98.10
2012-06-25,99.45,101.95,98.25,98.50,10378200,98.50
2012-06-22,97.25,101.00,96.50,99.50,6219300,99.50
2012-06-21,96.80,99.80,96.00,99.75,7800600,99.75
2012-06-20,95.60,98.00,94.05,97.30,21635500,97.30
2012-06-19,95.70,97.45,91.80,94.20,24619100,94.20
2012-06-18,101.45,102.60,94.80,95.95,16313700,95.95
2012-06-15,102.95,102.95,98.60,99.90,15243600,99.90
2012-06-14,102.00,103.90,100.35,102.20,7688500,102.20
2012-06-13,104.60,104.85,100.80,101.35,7973200,101.35
2012-06-12,100.00,105.00,100.00,103.90,9347200,103.90
2012-06-11,103.30,105.55,100.35,100.65,8863900,100.65
2012-06-08,96.50,101.25,96.00,100.80,11756200,100.80
2012-06-07,95.45,97.80,94.80,96.80,7955100,96.80
2012-06-06,90.60,93.95,90.60,93.80,5895500,93.80
2012-06-05,89.65,91.15,88.85,90.00,8142900,90.00
2012-06-01,93.00,95.00,90.60,90.95,3215000,90.95
2012-05-31,93.90,94.85,92.75,94.50,11105600,94.50
2012-05-30,96.50,97.20,95.00,95.10,4389000,95.10
2012-05-29,98.70,99.45,96.80,96.80,4287700,96.80
2012-05-28,96.50,98.90,96.30,98.70,2908800,98.70
2012-05-25,94.75,97.80,94.60,96.50,5892200,96.50
2012-05-24,95.00,96.25,93.80,95.65,4747400,95.65
2012-05-23,95.00,96.60,93.40,94.35,6266500,94.35
2012-05-22,101.00,101.65,95.20,95.80,5377500,95.80
2012-05-21,100.85,103.25,99.30,99.50,5025600,99.50
2012-05-18,96.50,101.85,94.75,100.40,5896500,100.40
2012-05-17,98.10,100.60,96.85,98.60,6640400,98.60
2012-05-16,94.35,99.90,94.10,98.05,7339200,98.05
2012-05-14,95.50,97.00,93.20,93.70,4395200,93.70
2012-05-11,94.05,96.45,93.35,95.75,3720700,95.75
2012-05-10,96.15,98.05,94.00,95.10,4601700,95.10
2012-05-09,98.00,98.50,95.75,96.30,5391700,96.30
2012-05-08,103.35,103.65,98.00,99.10,4867700,99.10
2012-05-07,99.30,103.40,97.85,103.30,4943100,103.30
2012-05-04,103.50,104.00,100.55,101.00,5826300,101.00
2012-05-03,104.40,106.35,104.05,104.60,2255100,104.60
2012-05-02,106.50,107.50,104.50,105.00,3458400,105.00
2012-04-30,105.90,107.50,104.55,106.50,4748200,106.50
2012-04-27,106.10,107.50,103.10,104.15,4275000,104.15
2012-04-26,109.65,109.80,104.70,105.25,4557200,105.25
2012-04-25,106.10,108.65,105.65,108.35,4085100,108.35
2012-04-24,105.15,106.50,103.65,106.35,2830100,106.35
2012-04-23,108.40,109.50,104.60,105.15,3925600,105.15
2012-04-20,108.75,111.55,108.15,109.05,4182100,109.05
2012-04-19,109.50,110.90,107.80,110.10,3520800,110.10
2012-04-18,109.55,110.95,108.90,109.25,2856000,109.25
2012-04-17,106.40,108.90,106.30,108.50,6134200,108.50
2012-04-16,105.50,106.85,104.50,106.65,3595800,106.65
2012-04-13,107.25,109.65,106.10,106.60,7580200,106.60
2012-04-12,103.65,106.65,103.05,106.15,9738900,106.15
2012-04-11,102.90,103.50,100.65,102.55,8456900,102.55
