Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,621.50,626.80,621.50,624.95,000,626.80
2012-07-20,623.00,627.60,621.45,626.80,454900,626.80
2012-07-19,630.00,632.00,624.10,626.90,781500,626.90
2012-07-18,632.70,632.70,625.00,625.05,1055400,625.05
2012-07-17,625.00,637.00,625.00,628.95,673200,628.95
2012-07-16,615.00,628.95,615.00,620.75,446700,620.75
2012-07-13,618.50,621.55,614.00,616.50,473200,616.50
2012-07-12,620.00,627.15,618.65,619.15,541700,619.15
2012-07-11,621.50,627.65,617.50,625.00,745400,625.00
2012-07-10,626.00,629.90,622.60,626.30,1324300,626.30
2012-07-09,630.05,634.50,623.25,626.00,696200,626.00
2012-07-06,630.25,636.00,630.25,633.20,239200,633.20
2012-07-05,633.50,639.90,629.60,636.75,247100,636.75
2012-07-04,631.60,635.40,623.00,633.95,529200,633.95
2012-07-03,632.30,640.00,626.15,629.50,750400,629.50
2012-07-02,636.00,639.65,630.35,634.20,829100,634.20
2012-06-29,618.25,644.80,618.25,633.15,1177600,633.15
2012-06-28,622.00,625.00,612.65,615.40,886900,615.40
2012-06-27,618.35,626.90,616.30,622.15,712000,622.15
2012-06-26,606.00,618.95,606.00,618.50,271400,618.50
2012-06-25,610.00,617.50,608.00,611.50,526700,611.50
2012-06-22,610.05,614.20,606.05,608.00,551400,608.00
2012-06-21,601.50,619.05,601.50,616.50,682200,616.50
2012-06-20,602.95,606.95,599.00,606.00,706700,606.00
2012-06-19,586.85,601.90,586.85,600.00,509600,600.00
2012-06-18,596.25,599.90,588.10,592.90,293700,592.90
2012-06-15,583.70,596.50,583.70,594.00,443300,594.00
2012-06-14,583.00,593.40,579.60,584.40,379900,584.40
2012-06-13,580.00,595.00,579.00,594.00,768400,594.00
2012-06-12,580.90,584.25,575.15,579.30,552000,579.30
2012-06-11,585.00,587.40,575.30,578.45,507800,578.45
2012-06-08,573.55,587.20,570.90,585.20,519800,585.20
2012-06-07,576.20,580.90,572.30,577.50,493300,577.50
2012-06-06,555.20,577.85,555.20,574.05,825500,574.05
2012-06-05,562.40,569.25,553.00,555.10,443500,555.10
2012-06-01,561.35,571.65,561.35,569.00,685200,569.00
2012-05-31,572.25,581.95,563.20,565.80,1777200,565.80
2012-05-30,574.95,581.40,568.40,575.00,1570300,575.00
2012-05-29,572.10,577.00,563.50,564.50,671600,564.50
2012-05-28,571.05,575.00,562.10,568.00,343100,568.00
2012-05-25,575.05,578.85,567.75,571.00,556700,571.00
2012-05-24,578.00,578.00,561.10,571.80,741000,571.80
2012-05-23,574.00,574.00,559.25,570.10,977700,570.10
2012-05-22,596.45,597.00,572.00,573.20,877700,573.20
2012-05-21,577.05,597.00,576.25,593.00,519400,593.00
2012-05-18,570.55,589.05,569.80,582.85,506200,582.85
2012-05-17,584.10,589.70,572.65,580.10,953500,580.10
2012-05-16,591.55,597.95,577.50,581.05,777500,581.05
2012-05-14,568.35,581.00,562.00,578.00,441300,578.00
2012-05-11,591.15,594.70,566.40,571.15,893800,571.15
2012-05-10,602.00,603.00,590.30,595.00,491300,595.00
2012-05-09,591.00,602.90,585.35,602.10,436500,602.10
2012-05-08,603.95,610.75,587.10,587.55,565700,587.55
2012-05-07,596.50,604.95,595.15,598.50,420700,598.50
2012-05-04,596.50,607.60,596.50,603.00,848700,603.00
2012-05-03,595.00,604.00,591.50,600.00,312500,600.00
2012-05-02,602.25,608.95,594.25,595.95,705400,595.95
2012-04-30,595.60,608.80,589.00,606.05,685100,606.05
2012-04-27,595.10,602.00,587.00,599.60,541000,599.60
2012-04-26,596.80,599.70,587.35,599.00,629100,599.00
2012-04-25,594.20,601.00,586.55,589.05,650800,589.05
2012-04-24,595.00,604.95,591.50,594.00,998200,594.00
2012-04-23,592.35,599.30,585.10,596.00,287100,596.00
2012-04-20,599.60,605.00,585.00,595.00,759200,595.00
2012-04-19,605.05,607.00,594.45,600.00,433300,600.00
2012-04-18,588.05,601.50,588.00,598.00,500800,598.00
2012-04-17,581.50,591.70,573.75,587.90,530100,587.90
2012-04-16,588.85,588.95,576.00,577.55,315700,577.55
2012-04-13,572.00,592.00,572.00,585.00,1071300,585.00
2012-04-12,575.50,579.50,564.35,575.00,721200,575.00
2012-04-11,557.55,580.00,557.55,578.20,488800,578.20
2012-04-10,564.00,570.00,558.30,565.55,376200,565.55
2012-04-09,560.00,564.95,554.50,560.00,280700,560.00
2012-04-04,569.95,569.95,560.20,563.50,313800,563.50
2012-04-03,576.30,577.05,567.15,569.00,425500,569.00
2012-04-02,565.10,577.15,561.20,573.45,608900,573.45
2012-03-30,576.40,584.80,563.30,568.00,1148500,568.00
2012-03-29,560.05,579.90,558.25,575.00,1092500,575.00
2012-03-28,579.70,586.00,560.25,569.00,464100,569.00
2012-03-27,575.00,582.00,569.20,574.80,868300,574.80
2012-03-26,584.00,584.00,572.10,575.00,1273200,575.00
2012-03-23,573.25,584.90,559.20,580.00,968500,580.00
2012-03-21,570.00,575.75,564.15,567.00,992000,567.00
2012-03-20,561.90,574.85,558.00,570.00,1249100,570.00
2012-03-19,543.00,557.05,542.55,555.05,2092800,555.05
2012-03-16,582.50,593.10,535.90,540.55,3984400,540.55
2012-03-15,588.35,590.90,583.10,587.00,726000,587.00
2012-03-14,589.40,594.00,580.10,583.00,707300,583.00
2012-03-13,574.00,590.00,574.00,584.00,841400,584.00
2012-03-12,577.75,579.50,571.00,575.80,491100,575.80
2012-03-09,567.50,576.00,562.20,570.00,834100,570.00
2012-03-07,560.00,563.00,554.95,558.95,340800,558.95
2012-03-06,558.20,568.00,554.45,559.15,577100,559.15
2012-03-05,565.65,572.45,556.00,557.95,491000,557.95
2012-03-02,554.90,571.50,550.10,567.10,1206900,567.10
2012-03-01,553.95,564.00,548.70,548.70,670000,548.70
2012-02-29,546.10,565.80,546.10,550.00,798200,550.00
2012-02-28,545.00,552.85,543.15,544.40,435000,544.40
2012-02-27,550.00,554.80,544.75,547.30,690400,547.30
2012-02-24,549.80,551.90,538.15,544.00,594900,544.00
2012-02-23,552.90,557.15,536.65,541.10,956800,541.10
2012-02-22,548.00,553.55,544.10,549.00,747000,549.00
2012-02-21,544.90,549.80,539.40,540.05,1558100,540.05
2012-02-17,545.00,547.95,537.30,542.50,1333600,542.50
2012-02-16,539.50,547.80,535.00,541.05,1236300,541.05
2012-02-15,557.25,564.95,553.25,553.25,496000,553.25
2012-02-14,554.75,557.90,550.25,555.00,856100,555.00
2012-02-13,547.00,559.65,547.00,552.05,2010400,552.05
2012-02-10,544.00,545.15,538.00,542.30,955100,542.30
2012-02-09,551.40,556.20,539.85,540.15,1099900,540.15
2012-02-08,545.25,554.90,537.10,552.85,998500,552.85
2012-02-07,555.70,555.70,532.75,545.05,1257900,545.05
2012-02-06,561.00,565.00,539.65,545.00,897800,545.00
2012-02-03,540.00,558.00,540.00,556.55,1055600,556.55
2012-02-02,551.15,554.45,535.15,542.60,1469500,542.60
2012-02-01,553.95,556.70,543.50,547.05,710100,547.05
2012-01-31,538.80,552.00,535.10,549.15,1006300,549.15
2012-01-30,524.50,543.75,524.50,536.60,1530700,536.60
2012-01-27,529.90,533.25,521.25,528.75,1153100,528.75
2012-01-25,519.80,521.20,514.30,517.40,592400,517.40
2012-01-24,524.80,527.45,511.20,518.00,462000,518.00
2012-01-23,530.00,534.90,520.30,520.65,351800,520.65
2012-01-20,531.20,535.80,521.00,529.00,894000,529.00
2012-01-19,520.35,532.00,515.25,531.00,751700,531.00
2012-01-18,519.90,520.80,510.80,516.45,654900,516.45
2012-01-17,506.00,519.05,504.50,518.50,922800,518.50
2012-01-16,514.00,514.00,500.00,505.00,356500,505.00
2012-01-13,520.15,522.90,509.00,511.05,486600,511.05
2012-01-12,517.35,525.75,515.65,521.00,373200,521.00
2012-01-11,519.25,524.40,510.25,520.45,485500,520.45
2012-01-10,507.10,520.00,506.95,517.00,844900,517.00
2012-01-06,498.85,505.00,495.50,498.05,1538900,498.05
2012-01-05,502.95,511.00,497.40,499.30,1804200,499.30
2012-01-04,500.10,506.75,493.50,501.95,1076200,501.95
2012-01-03,499.00,501.00,495.30,500.00,591800,500.00
2012-01-02,500.00,500.35,488.00,496.35,765600,496.35
2011-12-30,492.30,500.00,491.95,496.20,417000,496.20
2011-12-29,500.60,500.70,492.20,497.45,614600,497.45
2011-12-28,502.95,502.95,495.00,499.10,494200,499.10
2011-12-27,504.45,509.70,496.80,497.55,700100,497.55
2011-12-26,489.00,503.80,489.00,501.00,390700,501.00
2011-12-23,501.90,501.90,495.00,499.00,579600,499.00
2011-12-22,500.00,500.00,494.45,498.20,1058900,498.20
2011-12-21,506.55,507.10,492.30,499.00,1239100,499.00
2011-12-20,513.70,513.70,497.80,501.05,1215600,501.05
2011-12-19,512.35,515.40,499.00,504.35,636900,504.35
2011-12-16,518.10,526.05,504.00,514.90,750000,514.90
2011-12-15,515.20,525.00,515.20,523.00,1063500,523.00
2011-12-14,509.50,529.00,509.50,520.25,1588700,520.25
2011-12-13,505.00,515.00,501.00,512.00,472700,512.00
2011-12-12,516.05,520.65,502.10,505.80,588300,505.80
2011-12-09,512.20,518.90,507.20,512.00,578000,512.00
2011-12-08,510.00,523.00,505.00,521.00,1197900,521.00
2011-12-07,522.30,529.95,508.05,510.20,1270400,510.20
2011-12-05,534.55,539.95,522.10,525.00,605900,525.00
2011-12-02,524.30,538.00,518.80,533.05,721600,533.05
2011-12-01,531.00,534.95,518.15,519.00,809800,519.00
2011-11-30,508.10,529.50,508.10,523.00,1319700,523.00
2011-11-29,517.40,517.40,506.20,509.00,547200,509.00
2011-11-28,495.50,518.00,490.00,517.75,750500,517.75
2011-11-25,499.00,504.00,488.05,492.00,648000,492.00
2011-11-24,503.00,505.95,486.10,500.60,1029300,500.60
2011-11-23,503.05,507.75,494.20,497.00,928200,497.00
2011-11-22,494.00,506.90,494.00,502.10,1131100,502.10
2011-11-21,495.15,501.75,494.00,500.00,794400,500.00
2011-11-18,492.00,502.70,491.50,496.75,891400,496.75
2011-11-17,493.00,501.00,486.25,493.00,1165200,493.00
2011-11-16,501.20,503.90,487.00,492.20,677900,492.20
2011-11-15,506.25,515.80,502.60,503.25,472300,503.25
2011-11-14,511.20,524.95,508.60,511.40,975700,511.40
2011-11-11,490.25,505.80,490.00,504.15,1308200,504.15
2011-11-09,497.00,499.50,488.30,491.00,592600,491.00
2011-11-08,511.00,514.95,495.00,498.75,437700,498.75
2011-11-04,510.00,514.45,504.60,514.00,964300,514.00
2011-11-03,509.00,510.05,499.00,505.20,608600,505.20
2011-11-02,505.00,513.10,504.55,509.00,612200,509.00
2011-11-01,500.00,515.90,500.00,504.55,1119100,504.55
2011-10-31,509.00,509.00,498.25,505.75,717400,505.75
2011-10-28,512.00,603.00,503.10,509.10,1293800,509.10
2011-10-26,499.50,505.90,496.70,501.75,157000,501.75
2011-10-25,487.00,503.90,480.90,499.70,874700,499.70
2011-10-24,495.00,501.00,478.20,478.60,1026500,478.60
2011-10-21,493.40,497.00,484.00,488.00,703900,488.00
2011-10-20,479.90,489.95,478.10,487.50,878900,487.50
2011-10-19,468.00,485.45,468.00,484.75,777800,484.75
2011-10-18,466.10,475.90,464.75,466.50,557800,466.50
2011-10-17,479.50,480.35,465.55,472.95,558900,472.95
2011-10-14,471.35,486.95,471.35,479.50,851600,479.50
2011-10-13,482.65,486.55,474.20,475.00,794600,475.00
2011-10-12,481.10,486.05,479.00,483.90,623900,483.90
2011-10-11,468.00,483.40,463.50,481.00,1339900,481.00
2011-10-10,465.55,472.40,462.00,463.50,734400,463.50
2011-10-07,472.60,477.75,460.25,470.00,993700,470.00
2011-10-05,450.00,466.00,450.00,463.50,1051600,463.50
2011-10-04,463.00,463.15,448.50,452.00,1200800,452.00
2011-10-03,455.25,468.00,453.00,466.10,958500,466.10
2011-09-30,466.50,466.50,456.35,462.00,2163600,462.00
2011-09-29,466.50,471.85,464.20,466.00,1738000,466.00
2011-09-28,472.85,473.00,460.50,473.00,1263500,473.00
2011-09-27,472.40,475.20,465.10,467.25,1161200,467.25
2011-09-26,472.75,475.00,455.25,474.00,1314400,474.00
2011-09-23,462.55,474.00,456.25,472.00,880800,472.00
2011-09-22,479.80,479.80,464.60,468.30,843200,468.30
2011-09-21,489.90,490.00,481.15,483.00,2122100,483.00
2011-09-20,477.00,487.00,475.35,486.00,1005800,486.00
2011-09-19,497.00,497.00,470.55,473.00,802900,473.00
2011-09-16,483.05,496.70,479.00,490.50,1684800,490.50
2011-09-15,494.90,494.90,481.75,487.50,802500,487.50
2011-09-14,486.70,493.95,478.00,490.00,1866600,490.00
2011-09-13,491.00,495.90,480.00,481.20,729700,481.20
2011-09-12,480.00,493.70,471.20,491.45,810500,491.45
2011-09-09,493.00,495.45,477.10,483.55,691000,483.55
2011-09-08,493.10,505.40,488.55,491.15,1007200,491.15
2011-09-07,495.70,497.40,486.40,493.00,704400,493.00
2011-09-06,503.20,504.75,486.40,492.00,780600,492.00
2011-09-05,502.00,509.10,498.25,504.00,2724500,504.00
2011-09-02,502.70,510.80,498.55,506.00,2299200,506.00
2011-08-30,468.35,496.00,467.30,489.40,1318400,489.40
2011-08-29,465.00,473.95,461.00,467.10,590600,467.10
2011-08-26,468.65,477.90,456.90,468.00,716400,468.00
2011-08-25,472.70,480.50,465.00,472.00,1479900,472.00
2011-08-24,470.25,474.25,462.60,464.30,511300,464.30
2011-08-23,470.45,474.30,465.60,472.50,520300,472.50
2011-08-22,465.00,473.90,451.35,470.00,1128200,470.00
2011-08-19,474.00,486.00,463.30,466.00,747200,466.00
2011-08-18,484.50,488.40,475.10,479.70,321800,479.70
2011-08-17,471.00,491.00,471.00,483.50,904500,483.50
2011-08-16,477.50,484.20,472.65,473.90,221600,473.90
2011-08-12,482.05,484.90,474.00,477.50,787600,477.50
2011-08-11,476.00,490.50,476.00,480.30,934800,480.30
2011-08-10,492.00,492.00,476.05,479.05,1274200,479.05
2011-08-09,478.50,490.00,476.10,480.00,1928800,480.00
2011-08-08,490.00,503.80,483.60,498.00,1516100,498.00
2011-08-05,485.10,504.00,485.10,500.00,2375100,500.00
2011-08-04,514.55,518.00,498.00,499.20,556200,499.20
2011-08-03,520.50,524.75,514.10,515.00,528400,515.00
2011-08-02,520.00,531.50,519.00,524.90,1539000,524.90
2011-08-01,518.50,527.20,518.25,523.00,629600,523.00
2011-07-29,522.00,524.40,513.15,518.45,722100,518.45
2011-07-28,512.00,524.75,508.00,518.50,2102200,518.50
2011-07-27,515.00,527.90,513.00,517.00,791800,517.00
2011-07-26,529.90,540.00,510.30,515.70,801100,515.70
2011-07-25,508.25,528.85,508.00,528.70,915700,528.70
2011-07-22,509.00,516.00,506.40,512.15,466100,512.15
2011-07-21,497.00,507.00,497.00,507.00,291500,507.00
2011-07-20,511.15,513.50,501.45,502.65,248600,502.65
2011-07-19,504.00,510.00,501.15,510.00,535800,510.00
2011-07-18,503.30,509.95,500.05,500.05,442200,500.05
2011-07-15,512.50,514.95,503.55,506.95,552200,506.95
2011-07-14,505.00,518.90,500.00,510.40,721600,510.40
2011-07-13,501.50,508.50,500.60,507.95,303500,507.95
2011-07-12,502.10,510.75,495.05,499.80,344500,499.80
2011-07-11,499.35,509.50,499.30,505.60,334200,505.60
2011-07-08,507.00,512.50,500.90,502.00,321600,502.00
2011-07-07,497.80,507.95,497.25,504.30,918500,504.30
2011-07-06,498.50,502.60,494.50,497.00,744800,497.00
2011-07-05,500.00,500.70,493.05,498.45,793200,498.45
2011-07-04,503.95,503.95,497.30,499.00,642000,499.00
2011-07-01,500.00,504.00,492.70,499.00,877800,499.00
2011-06-30,498.00,506.25,489.60,500.00,1692200,500.00
2011-06-29,492.50,502.00,491.70,497.50,898700,497.50
2011-06-28,496.00,496.50,486.45,493.00,555600,493.00
2011-06-27,483.25,499.95,483.25,491.90,645800,491.90
2011-06-24,489.00,491.00,480.00,490.25,1395100,490.25
2011-06-23,490.10,494.00,484.25,488.00,566000,488.00
2011-06-22,491.60,503.50,489.00,492.30,1872100,492.30
2011-06-21,477.45,490.00,477.25,487.00,789800,487.00
2011-06-20,484.10,492.70,471.85,474.00,1207200,474.00
2011-06-17,486.00,496.45,472.85,480.00,704200,480.00
2011-06-16,482.05,499.20,482.05,494.50,939200,494.50
2011-06-15,488.50,494.90,486.70,489.00,817700,489.00
2011-06-14,478.05,489.90,478.05,487.70,653700,487.70
2011-06-13,467.50,482.00,466.30,481.30,291500,481.30
2011-06-10,476.25,482.50,468.10,473.45,569700,473.45
2011-06-09,479.00,479.80,470.25,475.40,390000,475.40
2011-06-08,491.00,492.50,477.20,478.55,848300,478.55
2011-06-07,473.60,492.00,473.60,489.50,1129800,489.50
2011-06-06,469.70,479.90,468.50,477.00,609700,477.00
2011-06-03,475.10,485.10,464.70,471.70,491000,471.70
2011-06-02,467.80,480.90,465.15,479.95,770000,479.95
2011-06-01,473.70,481.00,466.75,470.00,531900,470.00
2011-05-31,465.00,481.00,465.00,475.80,1199200,475.80
2011-05-30,448.90,467.05,448.00,466.45,2612900,466.45
2011-05-27,440.00,449.60,438.00,445.30,1786700,445.30
2011-05-26,437.50,446.25,435.25,441.60,1726000,441.60
2011-05-25,431.95,442.45,431.00,439.00,702600,439.00
2011-05-24,424.30,433.45,424.00,433.45,344500,433.45
2011-05-23,435.25,437.70,422.65,428.00,529900,428.00
2011-05-20,430.10,440.90,427.25,440.55,443800,440.55
2011-05-19,436.85,436.85,424.45,428.00,433700,428.00
2011-05-18,440.30,444.70,428.00,432.20,1243900,432.20
2011-05-17,437.60,449.80,437.60,441.65,1379600,441.65
2011-05-16,428.50,443.25,428.45,440.55,1244700,440.55
2011-05-13,427.25,437.95,424.20,430.00,1399000,430.00
2011-05-12,422.00,434.35,422.00,430.35,639000,430.35
2011-05-11,425.00,434.00,423.75,431.20,2014300,431.20
2011-05-10,440.90,440.90,425.65,431.10,557300,431.10
2011-05-09,441.40,443.75,435.00,440.90,548700,440.90
2011-05-06,440.00,442.00,434.20,441.45,1852800,441.45
2011-05-05,439.55,444.25,432.50,437.00,654800,437.00
2011-05-04,449.00,450.40,435.00,443.00,988500,443.00
2011-05-03,462.50,468.95,444.10,446.55,780200,446.55
2011-05-02,467.40,477.90,463.30,464.25,1159000,464.25
2011-04-29,449.55,469.50,449.55,464.90,1409200,464.90
2011-04-28,442.60,452.15,440.75,450.55,858400,450.55
2011-04-27,447.95,448.25,440.00,441.30,329100,441.30
2011-04-26,447.00,448.70,437.95,445.15,465000,445.15
2011-04-25,447.95,450.00,443.00,444.10,394300,444.10
2011-04-21,445.25,449.00,443.50,446.00,522800,446.00
2011-04-20,445.15,447.00,439.00,445.80,514500,445.80
2011-04-19,432.55,443.00,427.40,442.50,267500,442.50
2011-04-18,440.00,446.50,430.15,436.00,719300,436.00
2011-04-15,444.50,449.75,438.50,438.75,408900,438.75
2011-04-13,452.90,452.90,443.25,446.45,1072800,446.45
2011-04-11,452.50,454.90,445.10,450.80,1513000,450.80
2011-04-08,440.00,446.70,440.00,441.00,509200,441.00
2011-04-07,444.60,444.60,438.20,441.80,503300,441.80
2011-04-06,448.50,449.15,440.50,444.75,520100,444.75
2011-04-05,452.00,455.90,444.45,447.25,542100,447.25
2011-04-04,446.00,453.90,445.05,449.00,1145400,449.00
