Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,298.90,298.90,287.35,288.45,340200,289.00
2012-07-20,298.90,298.90,287.10,289.00,340800,289.00
2012-07-19,293.90,298.10,291.50,296.00,378400,296.00
2012-07-18,299.55,299.55,291.15,294.35,243900,294.35
2012-07-17,301.00,303.00,297.60,299.00,609400,299.00
2012-07-16,297.10,303.10,295.05,300.90,666300,300.90
2012-07-13,302.25,304.95,295.30,296.00,664800,296.00
2012-07-12,297.85,303.00,292.05,301.90,305700,301.90
2012-07-11,303.00,304.70,296.50,297.05,573900,297.05
2012-07-10,306.40,308.90,301.25,303.00,719900,303.00
2012-07-09,313.75,313.75,305.30,305.70,488600,305.70
2012-07-06,319.55,319.55,309.10,313.40,670200,313.40
2012-07-05,314.85,324.00,314.00,317.10,1081900,317.10
2012-07-04,325.80,326.15,311.00,314.00,963700,314.00
2012-07-03,305.20,326.15,305.20,326.10,2515500,326.10
2012-07-02,302.40,310.85,300.00,303.65,2455800,303.65
2012-06-29,302.95,303.90,296.00,301.05,1053200,301.05
2012-06-28,325.00,325.00,295.90,297.25,2305400,297.25
2012-06-27,302.10,305.05,298.60,304.60,798300,304.60
2012-06-26,295.10,304.85,295.10,301.00,2388900,301.00
2012-06-25,281.95,301.00,280.20,293.00,2421400,293.00
2012-06-22,277.95,284.80,273.85,280.20,1069600,280.20
2012-06-21,278.80,282.80,276.10,278.40,1147000,278.40
2012-06-20,270.40,280.80,267.85,278.00,942500,278.00
2012-06-19,227.95,276.40,227.95,269.00,2521000,269.00
2012-06-18,266.85,268.85,263.65,265.10,692700,265.10
2012-06-15,264.05,267.00,258.00,264.00,1480100,264.00
2012-06-14,255.30,267.95,255.25,261.90,1813600,261.90
2012-06-13,255.05,257.35,253.10,254.15,669200,254.15
2012-06-12,246.60,257.35,244.40,256.00,1221000,256.00
2012-06-11,260.00,262.05,245.15,248.10,1396600,248.10
2012-06-08,237.95,261.80,234.55,257.70,2801300,257.70
2012-06-07,237.00,239.90,234.35,236.70,609200,236.70
2012-06-06,234.50,236.60,228.15,236.05,1067800,236.05
2012-06-05,229.65,233.00,226.20,226.30,1106400,226.30
2012-06-01,238.05,239.90,225.00,225.50,1347100,225.50
2012-05-31,243.95,245.60,237.70,239.00,1473400,239.00
2012-05-30,248.60,250.50,243.35,243.80,731400,243.80
2012-05-29,245.00,250.10,245.00,247.25,765400,247.25
2012-05-28,245.00,256.40,245.00,247.10,1203200,247.10
2012-05-25,248.95,254.00,244.65,249.00,768000,249.00
2012-05-24,253.80,254.00,248.75,249.65,662800,249.65
2012-05-23,253.00,258.70,250.05,250.25,630900,250.25
2012-05-22,261.00,262.00,253.00,253.25,783200,253.25
2012-05-21,271.30,271.30,256.60,256.70,972600,256.70
2012-05-18,262.00,268.90,256.00,268.80,746000,268.80
2012-05-17,275.10,278.70,261.30,264.20,695400,264.20
2012-05-16,283.50,284.70,270.10,272.70,555900,272.70
2012-05-14,296.05,301.35,284.15,288.00,333300,288.00
2012-05-11,293.50,298.45,290.00,296.75,130200,296.75
2012-05-10,294.25,299.00,291.95,293.80,167100,293.80
2012-05-09,292.40,297.15,287.20,292.00,119400,292.00
2012-05-08,300.25,305.00,292.15,296.10,366100,296.10
2012-05-07,285.35,299.90,282.50,299.90,192300,299.90
2012-05-04,293.50,293.50,286.30,289.55,435400,289.55
2012-05-03,302.40,305.90,291.80,292.00,476800,292.00
2012-05-02,290.00,304.40,287.10,303.00,1217500,303.00
2012-04-30,283.00,289.00,281.20,287.00,184000,287.00
2012-04-27,278.00,288.95,278.00,282.10,525000,282.10
2012-04-26,280.00,285.40,275.50,278.45,510700,278.45
2012-04-25,283.20,288.95,274.00,278.70,374000,278.70
2012-04-24,293.50,293.60,282.55,284.10,183800,284.10
2012-04-23,301.80,302.35,287.00,287.55,325600,287.55
2012-04-20,303.20,306.60,300.00,300.00,317500,300.00
2012-04-19,304.00,309.80,298.50,304.00,458500,304.00
2012-04-18,280.30,308.30,280.30,302.80,1426700,302.80
2012-04-17,285.95,288.90,280.15,283.25,201000,283.25
2012-04-16,286.90,289.70,282.35,285.00,107100,285.00
2012-04-13,294.60,294.85,286.35,286.95,1216200,286.95
2012-04-12,297.95,297.95,290.50,291.50,160000,291.50
2012-04-11,288.00,295.00,281.65,293.90,1167500,293.90
2012-04-10,299.40,299.90,287.00,288.50,550800,288.50
2012-04-09,298.45,303.50,295.90,296.75,247100,296.75
2012-04-04,305.00,305.90,300.45,304.00,162000,304.00
2012-04-03,306.00,310.00,303.60,304.50,478000,304.50
2012-04-02,306.00,309.80,303.15,305.50,272200,305.50
2012-03-30,304.75,307.55,301.90,303.55,304800,303.55
2012-03-29,301.00,308.10,296.85,303.95,227900,303.95
2012-03-28,307.05,309.00,300.35,301.55,139700,301.55
2012-03-27,310.00,312.00,302.35,310.30,384200,310.30
2012-03-26,314.00,319.45,303.80,305.00,257300,305.00
2012-03-23,318.00,318.00,312.50,314.00,219200,314.00
2012-03-21,314.00,328.00,314.00,321.45,1247400,321.45
2012-03-20,315.75,317.50,312.10,315.00,178000,315.00
2012-03-19,316.75,320.50,312.25,315.70,235800,315.70
2012-03-16,324.90,324.90,313.95,314.80,226000,314.80
2012-03-15,325.25,329.50,304.00,315.65,711300,315.65
2012-03-14,318.00,329.50,314.50,324.90,736300,324.90
2012-03-13,314.00,319.10,313.15,315.50,226100,315.50
2012-03-12,322.00,322.95,310.50,311.10,219500,311.10
2012-03-09,316.45,320.10,313.20,314.85,295900,314.85
2012-03-07,303.05,315.90,303.05,312.00,611000,312.00
2012-03-06,313.25,318.50,306.00,308.10,327200,308.10
2012-03-05,320.40,320.40,312.10,317.00,454400,317.00
2012-03-02,313.60,323.95,304.55,322.00,732200,322.00
2012-03-01,311.00,313.90,303.60,309.70,297500,309.70
2012-02-29,311.70,317.70,309.00,310.00,181600,310.00
2012-02-28,307.75,314.00,304.35,309.00,252400,309.00
2012-02-27,315.85,321.70,302.00,303.50,387400,303.50
2012-02-24,315.00,324.00,314.00,317.80,323800,317.80
2012-02-23,331.50,331.50,308.65,316.05,988500,316.05
2012-02-22,323.50,336.65,323.00,331.35,1494400,331.35
2012-02-21,324.70,329.45,320.50,320.50,752500,320.50
2012-02-17,325.60,332.50,320.80,322.10,740800,322.10
2012-02-16,322.00,326.00,317.95,321.10,534200,321.10
2012-02-15,318.05,329.70,318.00,322.20,1551400,322.20
2012-02-14,319.00,324.85,315.00,316.70,785700,316.70
2012-02-13,329.90,336.65,317.50,319.35,1063100,319.35
2012-02-10,327.90,343.90,323.65,339.00,1699600,339.00
2012-02-09,310.00,332.90,306.10,329.70,1298400,329.70
2012-02-08,318.00,323.95,308.00,316.00,1432600,316.00
2012-02-07,324.05,334.45,317.60,321.20,1490800,321.20
2012-02-06,311.90,326.35,311.80,320.50,1925200,320.50
2012-02-03,302.80,311.75,301.85,308.00,1329200,308.00
2012-02-02,322.95,326.55,295.10,303.00,2018600,303.00
2012-02-01,312.00,326.10,300.05,322.00,5016700,322.00
2012-01-31,294.35,307.40,290.60,306.30,2243100,306.30
2012-01-30,292.00,298.50,288.15,290.35,1083000,290.35
2012-01-27,284.30,299.75,283.50,295.05,2877900,295.05
2012-01-25,289.70,289.70,280.05,282.20,653900,282.20
2012-01-24,279.70,292.05,277.50,284.20,655300,284.20
2012-01-23,280.00,284.95,274.30,277.35,655000,277.35
2012-01-20,299.20,299.55,275.10,278.15,1070300,278.15
2012-01-19,288.05,301.00,284.95,295.55,2221200,295.55
2012-01-18,292.05,295.85,281.20,281.55,758500,281.55
2012-01-17,291.60,297.00,288.70,290.70,436900,290.70
2012-01-16,286.75,291.50,285.65,287.20,337300,287.20
2012-01-13,299.90,305.00,285.80,286.55,847100,286.55
2012-01-12,281.00,302.45,279.05,297.40,1540300,297.40
2012-01-11,282.50,282.95,277.10,279.75,230400,279.75
2012-01-10,276.00,282.50,276.00,279.00,548700,279.00
2012-01-06,283.00,284.50,274.55,277.20,359400,277.20
2012-01-05,282.00,293.00,280.45,282.00,526500,282.00
2012-01-04,282.10,287.95,278.00,279.15,199200,279.15
2012-01-03,283.50,290.90,283.50,285.50,359400,285.50
2012-01-02,278.00,283.90,275.50,283.40,178600,283.40
2011-12-30,265.50,275.55,264.75,274.00,394400,274.00
2011-12-29,276.20,278.00,251.00,267.40,737700,267.40
2011-12-28,285.00,287.75,277.20,281.50,155700,281.50
2011-12-27,292.00,292.70,284.30,287.50,194600,287.50
2011-12-26,292.50,297.15,290.55,292.40,305900,292.40
2011-12-23,277.05,295.80,275.55,290.05,708900,290.05
2011-12-22,260.10,277.60,258.00,277.50,387600,277.50
2011-12-21,264.90,268.00,255.00,263.95,374600,263.95
2011-12-20,267.05,271.70,255.30,257.55,247600,257.55
2011-12-19,267.00,270.15,264.50,267.00,333200,267.00
2011-12-16,277.75,280.00,265.00,265.00,262100,265.00
2011-12-15,274.50,278.70,269.00,277.00,508300,277.00
2011-12-14,265.00,279.00,257.10,276.00,1047900,276.00
2011-12-13,263.00,265.65,257.15,263.00,589100,263.00
2011-12-12,284.90,288.70,260.50,266.00,544400,266.00
2011-12-09,279.00,285.65,265.40,281.50,659000,281.50
2011-12-08,291.95,293.80,276.60,279.90,750100,279.90
2011-12-07,295.00,298.30,289.00,289.00,1668800,289.00
2011-12-05,281.00,299.75,278.65,292.80,3629100,292.80
2011-12-02,264.10,283.50,263.00,280.45,790500,280.45
2011-12-01,269.95,275.00,263.60,264.25,474200,264.25
2011-11-30,272.60,274.35,262.05,264.00,588200,264.00
2011-11-29,273.60,284.50,268.50,268.60,1539600,268.60
2011-11-28,279.00,285.00,265.05,266.70,1597900,266.70
2011-11-25,273.00,285.00,270.00,273.00,1284400,273.00
2011-11-24,248.60,278.00,248.60,276.00,870300,276.00
2011-11-23,244.55,261.80,239.10,249.50,1128100,249.50
2011-11-22,247.90,256.00,235.00,245.55,396500,245.55
2011-11-21,260.05,268.00,245.25,245.30,385100,245.30
2011-11-18,267.35,269.45,259.15,266.50,341700,266.50
2011-11-17,271.50,282.00,262.30,265.05,574400,265.05
2011-11-16,272.00,276.00,265.00,270.05,295500,270.05
2011-11-15,285.10,293.00,269.00,272.50,402000,272.50
2011-11-14,279.65,293.45,276.00,286.90,883500,286.90
2011-11-11,280.00,280.25,271.40,277.25,298500,277.25
2011-11-09,290.05,292.00,279.20,281.85,239200,281.85
2011-11-08,289.00,294.90,282.55,289.25,885600,289.25
2011-11-04,276.00,292.25,276.00,289.00,1993600,289.00
2011-11-03,261.00,276.75,257.10,275.00,2567100,275.00
2011-11-02,253.60,264.65,253.20,258.90,477400,258.90
2011-11-01,258.60,259.00,254.65,255.30,185300,255.30
2011-10-31,255.05,261.80,252.10,259.00,448200,259.00
2011-10-28,257.85,258.65,250.00,256.20,1249000,256.20
2011-10-26,256.90,257.10,250.00,252.00,86100,252.00
2011-10-25,260.00,261.65,246.10,250.65,950600,250.65
2011-10-24,268.00,272.90,255.20,257.75,1505700,257.75
2011-10-21,268.00,272.00,262.60,267.30,303600,267.30
2011-10-20,269.20,274.10,264.00,268.40,290600,268.40
2011-10-19,271.95,281.95,263.65,269.15,812100,269.15
2011-10-18,275.25,277.30,269.15,270.95,309000,270.95
2011-10-17,274.00,284.90,274.00,277.50,475300,277.50
2011-10-14,271.10,283.85,267.00,276.25,716500,276.25
2011-10-13,276.00,279.55,271.10,272.50,787600,272.50
2011-10-12,281.95,284.20,273.10,273.10,1662200,273.10
2011-10-11,272.00,292.40,270.35,280.15,4860800,280.15
2011-10-10,254.40,305.25,221.20,288.00,8822400,288.00
2011-10-07,238.35,265.00,236.20,262.55,2945400,262.55
2011-10-05,219.00,233.50,219.00,232.80,997000,232.80
2011-10-04,224.00,224.00,214.10,221.00,960700,221.00
2011-10-03,230.00,230.00,222.10,223.50,672700,223.50
2011-09-30,241.90,249.00,230.10,230.80,792800,230.80
2011-09-29,262.50,262.50,238.55,246.15,1901500,246.15
2011-09-28,285.00,285.00,254.40,261.95,1273600,261.95
2011-09-27,280.00,285.00,272.90,275.20,890800,275.20
2011-09-26,291.35,293.00,281.00,282.50,202100,282.50
2011-09-23,290.10,294.40,287.00,291.00,232700,291.00
2011-09-22,298.00,302.50,290.25,292.70,244600,292.70
2011-09-21,303.00,303.05,297.95,299.10,386200,299.10
2011-09-20,301.00,304.50,298.15,299.10,431300,299.10
2011-09-19,293.00,305.25,293.00,301.65,579100,301.65
2011-09-16,282.05,300.00,282.05,293.30,663100,293.30
2011-09-15,283.50,289.70,264.05,279.00,2040000,279.00
2011-09-14,293.55,296.70,285.00,292.40,315000,292.40
2011-09-13,290.00,296.90,289.05,292.95,194100,292.95
2011-09-12,297.95,304.85,284.00,290.00,421700,290.00
2011-09-09,296.35,305.25,295.00,298.00,345400,298.00
2011-09-08,300.10,301.95,295.00,295.45,219900,295.45
2011-09-07,302.15,303.35,296.80,302.50,220600,302.50
2011-09-06,303.00,305.00,299.00,299.50,153500,299.50
2011-09-05,303.50,305.25,300.25,303.00,380400,303.00
2011-09-02,309.90,322.90,300.00,305.30,2796900,305.30
2011-08-30,301.05,305.00,298.40,303.05,163600,303.05
2011-08-29,296.00,304.00,296.00,302.20,152100,302.20
2011-08-26,305.15,305.25,295.00,295.00,139000,295.00
2011-08-25,301.90,305.25,295.00,303.25,633600,303.25
2011-08-24,300.00,304.60,299.90,299.90,184100,299.90
2011-08-23,300.35,305.05,300.00,300.40,154400,300.40
2011-08-22,300.20,305.05,297.50,303.80,161000,303.80
2011-08-19,298.20,303.75,285.75,303.05,646000,303.05
2011-08-18,305.00,308.80,302.05,304.25,1298500,304.25
2011-08-17,300.50,305.25,297.65,305.05,462600,305.05
2011-08-16,297.75,302.40,294.05,300.30,390300,300.30
2011-08-12,298.90,300.45,293.50,295.20,270600,295.20
2011-08-11,297.30,303.90,295.00,295.60,268700,295.60
2011-08-10,302.90,307.05,297.50,299.00,349300,299.00
2011-08-09,297.80,303.60,291.30,302.20,490200,302.20
2011-08-08,291.15,305.00,291.15,302.00,616200,302.00
2011-08-05,301.00,307.50,290.00,302.55,774700,302.55
2011-08-04,307.95,309.50,305.00,306.65,868900,306.65
2011-08-03,302.55,307.95,297.35,306.55,929600,306.55
2011-08-02,307.90,319.80,302.05,302.35,1934500,302.35
2011-08-01,320.00,329.95,305.20,306.75,2210100,306.75
2011-07-29,339.00,339.00,320.30,320.65,678900,320.65
2011-07-28,330.00,345.95,315.05,334.80,2100900,334.80
2011-07-27,317.00,325.00,317.00,318.35,493700,318.35
