Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,101.45,101.55,100.00,100.20,256000,100.15
2012-07-20,101.45,101.60,100.00,100.15,256000,100.15
2012-07-19,102.65,103.50,101.25,101.40,286900,101.40
2012-07-18,103.10,103.10,100.75,101.70,300400,101.70
2012-07-17,103.95,104.00,102.15,102.25,204200,102.25
2012-07-16,104.10,104.85,102.70,102.80,384100,102.80
2012-07-13,104.25,105.50,103.50,104.00,355700,104.00
2012-07-12,104.85,105.65,103.50,103.80,342400,103.80
2012-07-11,107.40,107.60,105.40,105.95,581300,105.95
2012-07-10,108.50,110.50,108.35,110.30,388800,110.30
2012-07-09,109.50,109.50,107.50,108.15,375700,108.15
2012-07-06,110.30,111.00,108.85,109.05,495300,109.05
2012-07-05,109.10,110.80,107.75,110.05,570100,110.05
2012-07-04,107.60,108.70,107.15,108.70,305100,108.70
2012-07-03,107.00,107.90,106.60,107.30,265700,107.30
2012-07-02,108.00,108.00,104.35,106.30,528300,106.30
2012-06-29,105.90,107.40,105.85,107.00,467000,107.00
2012-06-28,105.15,105.90,104.15,104.50,371900,104.50
2012-06-27,104.70,105.95,104.00,105.15,325500,105.15
2012-06-26,102.60,104.50,102.05,103.75,247000,103.75
2012-06-25,103.50,106.70,102.15,102.90,551500,102.90
2012-06-22,101.75,103.90,101.15,103.30,330500,103.30
2012-06-21,100.05,103.35,99.40,102.90,381900,102.90
2012-06-20,101.45,101.50,99.50,100.70,368600,100.70
2012-06-19,99.05,100.50,97.20,100.45,388900,100.45
2012-06-18,104.85,105.50,98.75,99.25,685600,99.25
2012-06-15,101.45,104.00,101.40,103.50,493700,103.50
2012-06-14,100.50,102.70,99.40,100.75,565200,100.75
2012-06-13,103.00,103.85,102.00,102.55,501700,102.55
2012-06-12,100.20,102.70,98.75,102.55,778800,102.55
2012-06-11,98.20,101.20,98.20,100.40,1344600,100.40
2012-06-08,96.05,97.65,93.90,97.50,708300,97.50
2012-06-07,96.90,97.45,95.60,96.05,528000,96.05
2012-06-06,94.15,96.15,93.15,95.65,779600,95.65
2012-06-05,93.10,94.00,91.55,92.70,576100,92.70
2012-06-01,93.70,94.65,88.15,88.50,659800,88.50
2012-05-31,87.75,93.80,87.40,92.85,994000,92.85
2012-05-30,91.90,91.90,87.40,88.85,530700,88.85
2012-05-29,93.80,94.30,91.50,91.65,336000,91.65
2012-05-28,89.90,93.25,89.55,93.10,358200,93.10
2012-05-25,88.45,89.80,87.20,89.55,347700,89.55
2012-05-24,85.70,88.45,85.20,88.20,299800,88.20
2012-05-23,85.90,86.40,84.10,85.85,458900,85.85
2012-05-22,90.05,90.35,85.55,86.45,387200,86.45
2012-05-21,88.30,90.50,88.20,88.40,640900,88.40
