Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,325.00,325.00,316.10,318.00,260800,318.60
2012-07-20,325.00,325.00,316.10,318.60,260800,318.60
2012-07-19,325.00,325.00,317.20,318.00,370700,318.00
2012-07-18,320.05,320.05,315.15,318.35,307500,318.35
2012-07-17,319.90,321.80,317.90,319.50,428500,319.50
2012-07-16,320.80,323.85,318.15,318.90,169600,318.90
2012-07-13,323.90,323.90,318.95,320.45,114200,320.45
2012-07-12,319.75,322.40,318.25,320.75,211600,320.75
2012-07-11,320.90,323.00,320.00,320.20,98000,320.20
2012-07-10,318.65,322.30,318.65,321.45,449700,321.45
2012-07-09,323.00,323.00,315.20,318.30,189300,318.30
2012-07-06,324.00,325.50,320.60,321.50,169200,321.50
2012-07-05,315.05,328.35,313.05,324.00,927900,324.00
2012-07-04,319.95,321.25,315.35,316.55,157600,316.55
2012-07-03,316.00,318.80,315.50,317.00,291500,317.00
2012-07-02,315.85,317.80,312.00,314.00,303700,314.00
2012-06-29,308.40,312.50,307.70,311.70,245100,311.70
2012-06-28,308.60,308.65,303.50,306.00,281900,306.00
2012-06-27,305.30,308.65,305.15,306.00,133100,306.00
2012-06-26,304.00,307.00,303.10,304.45,219200,304.45
2012-06-25,306.90,309.90,304.50,304.80,228500,304.80
2012-06-22,307.00,308.00,303.00,305.25,1049400,305.25
2012-06-21,311.30,311.30,306.20,307.70,140600,307.70
2012-06-20,303.00,309.50,302.50,309.50,101400,309.50
2012-06-19,305.95,308.05,299.25,301.90,294600,301.90
2012-06-18,320.00,320.00,304.40,307.00,224600,307.00
2012-06-15,315.00,315.25,308.05,309.50,214500,309.50
2012-06-14,322.00,322.00,311.50,312.00,204000,312.00
2012-06-13,317.00,318.25,312.50,313.05,404800,313.05
2012-06-12,315.90,318.95,314.40,317.00,136900,317.00
2012-06-11,314.75,322.00,313.10,317.30,272500,317.30
2012-06-08,312.00,314.80,308.40,313.50,288300,313.50
2012-06-07,312.90,314.50,310.10,312.00,236600,312.00
2012-06-06,305.05,309.80,305.05,309.25,276600,309.25
2012-06-05,299.00,308.25,299.00,305.80,299800,305.80
2012-06-01,307.00,310.50,306.00,307.95,149700,307.95
2012-05-31,315.00,315.00,304.15,306.00,390000,306.00
2012-05-30,316.95,323.65,314.20,316.00,160700,316.00
2012-05-29,325.00,326.20,318.05,318.75,72100,318.75
2012-05-28,312.00,325.00,311.00,323.15,165700,323.15
2012-05-25,310.00,312.00,309.35,311.50,129300,311.50
2012-05-24,310.85,313.45,308.80,310.00,229900,310.00
2012-05-23,312.05,313.50,308.00,308.05,79300,308.05
2012-05-22,317.85,318.90,312.05,314.15,119500,314.15
2012-05-21,316.15,322.85,311.10,314.90,326100,314.90
2012-05-18,325.00,325.00,318.50,320.60,85600,320.60
2012-05-17,326.15,329.95,324.90,325.40,135800,325.40
2012-05-16,324.05,327.50,322.00,325.00,88900,325.00
2012-05-14,333.00,338.40,328.20,329.00,71700,329.00
2012-05-11,340.50,345.00,330.55,331.00,198400,331.00
2012-05-10,337.15,344.50,336.50,341.10,241200,341.10
2012-05-09,336.05,339.00,335.10,336.15,62900,336.15
2012-05-08,342.00,342.00,335.25,336.30,93900,336.30
2012-05-07,328.10,339.85,322.60,337.00,176700,337.00
2012-05-04,332.90,334.85,325.00,332.00,157200,332.00
2012-05-03,338.95,338.95,330.50,331.90,122800,331.90
2012-05-02,337.00,340.95,334.00,337.50,128900,337.50
2012-04-30,336.00,338.00,332.80,338.00,143000,338.00
2012-04-27,330.45,333.00,327.30,333.00,206300,333.00
2012-04-26,337.15,339.70,325.00,328.20,455600,328.20
2012-04-25,343.00,343.90,336.00,336.50,79300,336.50
2012-04-24,352.00,352.00,340.00,341.00,62400,341.00
2012-04-23,340.70,348.00,340.70,343.15,82600,343.15
2012-04-20,348.55,353.40,340.70,343.90,136700,343.90
2012-04-19,351.05,354.70,333.00,352.90,173400,352.90
2012-04-18,352.15,353.90,349.30,350.50,305400,350.50
2012-04-17,353.40,354.70,348.10,348.20,317100,348.20
2012-04-16,344.80,350.90,338.15,349.50,126600,349.50
2012-04-13,340.00,346.00,338.00,341.00,158000,341.00
2012-04-12,336.05,341.50,336.05,341.50,216300,341.50
2012-04-11,335.80,339.30,329.10,336.90,102900,336.90
2012-04-10,338.00,343.95,333.25,335.00,232600,335.00
2012-04-09,345.00,350.80,339.05,339.70,190400,339.70
2012-04-04,344.00,353.50,344.00,351.20,117800,351.20
2012-04-03,347.60,348.70,344.10,346.00,432600,346.00
2012-04-02,348.00,349.45,342.25,345.00,118800,345.00
2012-03-30,338.00,349.00,338.00,345.60,344700,345.60
2012-03-29,337.70,345.90,335.10,342.00,199300,342.00
2012-03-28,341.50,344.75,336.00,337.85,276600,337.85
2012-03-27,344.20,347.00,339.20,342.15,272100,342.15
2012-03-26,347.00,347.00,336.00,341.20,316700,341.20
2012-03-23,351.95,353.15,345.25,347.90,139300,347.90
2012-03-21,352.20,358.95,352.15,356.20,131500,356.20
2012-03-20,352.30,356.85,350.75,352.50,196400,352.50
2012-03-19,360.05,360.05,351.20,354.60,125600,354.60
2012-03-16,362.95,363.00,353.20,355.00,254400,355.00
2012-03-15,357.00,362.75,354.65,360.05,188500,360.05
2012-03-14,362.05,367.00,355.60,356.30,209600,356.30
2012-03-13,359.85,364.90,354.00,364.00,241600,364.00
2012-03-12,352.70,356.10,350.10,355.65,147300,355.65
2012-03-09,352.10,352.10,347.50,350.50,200700,350.50
2012-03-07,354.95,354.95,345.00,346.00,182700,346.00
2012-03-06,352.30,360.60,351.45,352.00,267600,352.00
2012-03-05,355.30,358.70,352.20,355.70,163900,355.70
2012-03-02,362.90,362.90,354.20,355.60,126000,355.60
2012-03-01,364.05,366.35,355.25,357.50,256000,357.50
2012-02-29,351.90,366.00,351.90,363.40,360500,363.40
2012-02-28,350.45,351.00,338.60,351.00,149900,351.00
2012-02-27,359.60,360.00,336.75,341.00,155600,341.00
2012-02-24,355.05,364.00,351.00,353.40,224200,353.40
2012-02-23,354.00,366.00,347.00,356.00,639800,356.00
2012-02-22,370.50,371.65,349.55,354.00,248800,354.00
2012-02-21,370.00,374.60,364.50,369.00,248100,369.00
2012-02-17,372.85,374.70,368.20,371.50,304800,371.50
2012-02-16,367.00,371.90,365.70,369.00,363900,369.00
2012-02-15,363.40,369.45,361.85,368.15,543500,368.15
2012-02-14,365.05,367.70,358.30,361.00,284400,361.00
2012-02-13,360.55,367.45,357.40,362.90,689400,362.90
2012-02-10,351.10,362.00,343.35,358.00,1054400,358.00
2012-02-09,347.30,354.95,345.25,351.00,322200,351.00
2012-02-08,347.95,349.10,343.50,347.45,254900,347.45
2012-02-07,353.95,353.95,342.05,346.60,249600,346.60
2012-02-06,350.00,352.00,346.00,347.10,349900,347.10
2012-02-03,352.80,352.80,340.05,343.05,270700,343.05
2012-02-02,349.90,351.95,346.00,346.05,406000,346.05
2012-02-01,348.95,348.95,333.95,347.80,245500,347.80
2012-01-31,338.95,344.70,333.15,343.00,387300,343.00
2012-01-30,336.15,337.05,330.10,336.00,289400,336.00
2012-01-27,325.15,338.70,325.15,336.25,335300,336.25
2012-01-25,332.45,332.45,325.20,327.00,206400,327.00
2012-01-24,326.65,333.40,326.65,329.00,260200,329.00
2012-01-23,324.00,328.00,322.10,326.00,169600,326.00
2012-01-20,325.90,328.85,321.00,324.50,459600,324.50
2012-01-19,321.00,328.00,321.00,323.50,333600,323.50
2012-01-18,327.95,330.50,320.50,321.30,375900,321.30
2012-01-17,315.80,327.20,314.20,325.70,540800,325.70
2012-01-16,313.35,317.90,313.00,313.50,146500,313.50
2012-01-13,318.15,318.20,313.50,315.00,295900,315.00
2012-01-12,313.80,319.30,312.00,315.20,422200,315.20
2012-01-11,324.70,324.70,312.15,312.15,337700,312.15
2012-01-10,320.00,322.00,319.35,322.00,315900,322.00
2012-01-06,312.60,312.60,308.25,312.00,166900,312.00
2012-01-05,314.05,317.00,310.50,311.45,181900,311.45
2012-01-04,316.70,320.00,313.00,313.30,431400,313.30
2012-01-03,309.85,317.90,309.10,315.50,176400,315.50
2012-01-02,313.00,313.05,307.35,308.00,51500,308.00
2011-12-30,308.10,315.15,304.75,314.00,135000,314.00
2011-12-29,306.95,314.00,304.50,310.00,180700,310.00
2011-12-28,311.00,314.15,301.50,308.00,237200,308.00
2011-12-27,318.15,318.25,311.00,312.00,87300,312.00
