/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,249.90,263.75,249.90,260.20,2217400,260.50
2012-07-20,249.90,263.90,249.90,260.50,2217400,260.50
2012-07-19,254.00,254.60,245.30,245.45,269500,245.45
2012-07-18,238.50,258.25,232.25,253.80,561700,253.80
2012-07-17,238.65,244.70,238.00,239.00,70100,239.00
2012-07-16,243.80,243.90,237.60,238.05,137500,238.05
2012-07-13,245.95,247.90,227.20,243.60,131600,243.60
2012-07-12,245.05,246.75,242.10,244.75,105800,244.75
2012-07-11,248.30,249.00,244.35,244.50,120900,244.50
2012-07-10,243.60,249.30,241.75,247.25,204000,247.25
2012-07-09,243.00,249.00,241.40,244.00,395300,244.00
2012-07-06,239.05,245.75,236.10,242.20,439500,242.20
2012-07-05,242.05,243.75,237.20,239.50,315300,239.50
2012-07-04,237.50,243.85,236.45,242.90,316000,242.90
2012-07-03,236.05,238.25,235.55,237.55,303400,237.55
2012-07-02,234.50,239.80,232.15,235.70,417800,235.70
2012-06-29,229.80,234.95,229.15,233.15,201300,233.15
2012-06-28,225.85,230.35,223.75,229.15,1431500,229.15
2012-06-27,228.55,228.90,221.05,224.50,201800,224.50
2012-06-26,223.90,229.90,223.00,227.30,331900,227.30
2012-06-25,223.00,227.90,220.00,224.90,340000,224.90
2012-06-22,214.35,220.75,210.15,220.00,183700,220.00
2012-06-21,209.90,215.10,209.10,214.10,99600,214.10
2012-06-20,203.50,210.90,202.25,210.10,157500,210.10
2012-06-19,207.15,210.50,201.00,201.50,263700,201.50
2012-06-18,214.30,216.90,207.10,208.55,213300,208.55
2012-06-15,219.75,219.80,211.20,212.85,317800,212.85
2012-06-14,223.80,223.80,215.30,215.55,139500,215.55
2012-06-13,222.00,224.85,218.55,221.65,90500,221.65
2012-06-12,218.50,223.30,216.15,221.55,76700,221.55
2012-06-11,221.30,224.70,218.55,218.55,126400,218.55
2012-06-08,220.00,223.00,218.60,221.30,90100,221.30
2012-06-07,226.30,228.80,219.90,220.40,184500,220.40
2012-06-06,223.95,228.00,218.05,226.60,133200,226.60
2012-06-05,224.50,224.90,219.50,221.75,118000,221.75
2012-06-01,218.00,220.75,213.65,217.00,94200,217.00
2012-05-31,216.15,219.90,213.30,219.70,127900,219.70
2012-05-30,223.45,223.45,215.60,217.20,86100,217.20
2012-05-29,220.70,225.35,217.60,222.60,117300,222.60
2012-05-28,214.05,221.70,214.05,220.50,138300,220.50
2012-05-25,209.55,216.70,207.60,214.50,286900,214.50
2012-05-24,205.45,209.45,203.00,209.25,138900,209.25
2012-05-23,201.00,205.95,197.45,203.55,161900,203.55
2012-05-22,206.95,208.25,198.65,202.00,333000,202.00
2012-05-21,211.85,215.40,201.15,201.50,355600,201.50
2012-05-18,210.50,211.50,206.15,211.00,56300,211.00
2012-05-17,210.30,214.90,207.75,212.00,152100,212.00
2012-05-16,217.50,217.50,208.00,209.00,107500,209.00
2012-05-14,224.00,224.00,213.15,214.00,75500,214.00
2012-05-11,215.20,218.95,213.05,217.80,67100,217.80
2012-05-10,217.50,221.50,215.25,215.25,126400,215.25
2012-05-09,218.85,223.50,216.55,217.10,86100,217.10
2012-05-08,228.45,232.85,220.10,220.10,83300,220.10
2012-05-07,224.95,230.05,220.10,229.75,89700,229.75
2012-05-04,232.45,232.45,224.15,224.95,76000,224.95
2012-05-03,234.80,238.00,231.20,231.50,142000,231.50
2012-05-02,242.55,242.55,233.25,235.00,208400,235.00
2012-04-30,236.60,239.40,215.15,238.85,110200,238.85
2012-04-27,237.00,239.95,231.15,231.75,275200,231.75
2012-04-26,227.90,237.70,226.50,235.10,686900,235.10
2012-04-25,228.10,232.00,222.55,224.40,183500,224.40
2012-04-24,230.15,232.90,224.50,227.10,234300,227.10
2012-04-23,238.85,238.85,227.70,228.00,179000,228.00
2012-04-20,235.95,239.20,232.50,235.45,258500,235.45
2012-04-19,236.55,242.30,232.20,236.10,443600,236.10
2012-04-18,230.15,237.15,227.15,234.80,418800,234.80
2012-04-17,226.50,230.45,225.10,227.80,92500,227.80
2012-04-16,226.80,228.80,224.10,226.95,39700,226.95
2012-04-13,230.00,233.80,225.10,225.60,319200,225.60
2012-04-12,228.15,229.60,223.10,228.00,165200,228.00
2012-04-11,224.75,227.50,220.00,225.00,237000,225.00
2012-04-10,225.00,227.30,222.25,224.85,107200,224.85
2012-04-09,218.60,227.00,218.60,223.20,50600,223.20
2012-04-04,226.40,227.95,224.05,227.00,66900,227.00
2012-04-03,227.30,231.05,223.00,226.60,127100,226.60
2012-04-02,224.90,227.80,223.35,226.15,75700,226.15
2012-03-30,221.00,227.40,220.05,223.30,227000,223.30
2012-03-29,218.95,221.40,210.10,220.60,1038300,220.60
2012-03-28,221.70,224.05,216.15,217.00,99600,217.00
2012-03-27,220.05,225.50,218.10,223.45,175700,223.45
2012-03-26,227.00,227.00,217.30,219.40,136300,219.40
2012-03-23,226.85,228.05,220.10,223.55,242700,223.55
2012-03-21,230.80,232.00,227.05,231.00,108200,231.00
2012-03-20,223.00,236.50,222.25,230.45,450700,230.45
2012-03-19,224.90,227.85,220.95,223.90,52100,223.90
2012-03-16,224.75,229.85,223.15,225.70,108100,225.70
2012-03-15,233.30,233.95,223.15,225.15,120700,225.15
2012-03-14,238.05,239.90,231.10,232.00,129300,232.00
2012-03-13,236.25,240.00,235.50,237.05,71500,237.05
2012-03-12,238.25,240.50,234.60,236.30,122800,236.30
2012-03-09,232.95,238.20,232.95,235.60,176000,235.60
2012-03-07,224.95,232.10,223.15,232.10,154000,232.10
2012-03-06,237.05,241.45,225.50,226.00,177200,226.00
2012-03-05,241.55,241.95,234.00,234.00,110100,234.00
2012-03-02,238.20,244.90,234.30,242.90,414600,242.90
2012-03-01,235.00,245.30,233.15,234.00,703700,234.00
2012-02-29,234.50,236.70,232.00,233.60,202300,233.60
2012-02-28,224.15,233.90,224.10,233.00,186900,233.00
2012-02-27,235.00,236.00,223.50,226.45,263100,226.45
2012-02-24,250.00,251.10,234.10,234.95,719400,234.95
2012-02-23,258.40,260.95,242.30,248.25,2389700,248.25
2012-02-22,243.00,263.35,236.50,254.50,3674200,254.50
2012-02-21,238.05,241.20,235.25,237.05,254200,237.05
2012-02-17,235.95,245.00,232.05,237.00,666400,237.00
2012-02-16,241.10,243.85,234.05,234.70,161900,234.70
2012-02-15,238.80,245.65,232.10,239.05,598100,239.05
2012-02-14,222.20,242.70,222.20,237.35,740000,237.35
2012-02-13,223.90,224.50,221.05,221.05,81300,221.05
2012-02-10,222.10,225.95,220.25,224.70,169500,224.70
2012-02-09,224.00,226.90,222.10,224.00,86300,224.00
2012-02-08,222.15,227.00,220.60,222.50,70600,222.50
2012-02-07,227.30,230.90,221.05,221.80,121900,221.80
2012-02-06,234.85,234.85,225.15,227.10,182500,227.10
2012-02-03,232.05,238.00,228.05,228.65,189400,228.65
2012-02-02,226.90,235.25,223.60,232.20,347200,232.20
2012-02-01,221.10,228.80,221.10,225.00,124800,225.00
2012-01-31,213.10,230.00,213.10,225.35,207800,225.35
2012-01-30,224.20,230.90,221.25,222.10,137000,222.10
2012-01-27,230.15,237.00,227.00,231.35,337300,231.35
2012-01-25,229.25,238.95,226.70,234.15,637900,234.15
2012-01-24,227.65,229.20,223.00,226.20,281700,226.20
2012-01-23,219.00,227.75,217.55,225.45,231500,225.45
2012-01-20,221.00,222.85,216.00,218.15,124400,218.15
2012-01-19,216.35,221.80,211.00,221.00,167200,221.00
2012-01-18,220.45,223.85,205.40,205.40,138100,205.40
2012-01-17,222.05,225.40,220.05,220.95,139000,220.95
2012-01-16,222.00,227.65,220.10,220.60,165200,220.60
2012-01-13,220.00,227.50,218.55,223.00,132500,223.00
2012-01-12,216.65,225.50,216.20,223.20,207800,223.20
2012-01-11,217.50,217.90,215.20,216.05,73100,216.05
2012-01-10,216.00,219.70,215.50,217.95,89500,217.95
2012-01-06,211.85,216.65,211.85,215.00,71900,215.00
2012-01-05,218.75,219.20,214.25,216.00,73800,216.00
