Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,412.10,417.90,412.10,415.95,2338100,415.80
2012-07-20,411.50,417.90,411.50,415.80,2338100,415.80
2012-07-19,416.00,416.90,412.75,415.10,2692600,415.10
2012-07-18,405.00,413.75,404.30,411.30,3357600,411.30
2012-07-17,411.00,413.65,404.85,405.30,3394300,405.30
2012-07-16,417.50,418.70,406.20,406.90,4011700,406.90
2012-07-13,430.00,433.00,424.10,425.85,3317100,425.85
2012-07-12,434.80,436.50,427.05,427.30,3517000,427.30
2012-07-11,437.05,443.35,435.10,435.55,3046500,435.55
2012-07-10,437.00,441.80,432.55,439.65,3775900,439.65
2012-07-09,445.00,445.00,435.20,437.00,2083600,437.00
2012-07-06,451.00,451.20,443.55,448.00,1897600,448.00
2012-07-05,451.40,453.80,448.50,451.80,2089500,451.80
2012-07-04,448.00,455.60,447.10,450.25,3127700,450.25
2012-07-03,448.00,450.75,442.00,446.00,2438800,446.00
2012-07-02,444.00,454.50,441.65,444.40,4049100,444.40
2012-06-29,434.45,444.00,432.50,443.10,4369600,443.10
2012-06-28,421.10,430.95,420.15,426.95,4935400,426.95
2012-06-27,412.10,422.00,412.10,420.90,3272500,420.90
2012-06-26,412.00,412.50,405.50,411.35,4218300,411.35
2012-06-25,420.00,424.70,411.55,412.35,2514600,412.35
2012-06-22,424.90,426.90,416.50,418.80,3931200,418.80
2012-06-21,424.35,431.95,422.80,430.95,2905500,430.95
2012-06-20,423.90,429.40,421.10,426.15,3875900,426.15
2012-06-19,421.00,425.00,415.30,419.90,3774800,419.90
2012-06-18,419.00,425.20,413.60,419.50,5415800,419.50
2012-06-15,408.10,415.90,407.20,413.90,2534400,413.90
2012-06-14,412.00,416.75,406.00,406.00,2886100,406.00
2012-06-13,414.70,416.50,410.35,411.95,2928200,411.95
2012-06-12,406.95,414.40,405.30,412.85,3009600,412.85
2012-06-11,416.00,419.00,406.75,407.40,2771200,407.40
2012-06-08,411.90,416.25,405.50,411.00,3449700,411.00
2012-06-07,415.00,419.85,410.00,410.00,3836700,410.00
2012-06-06,402.00,411.50,402.00,410.70,2952300,410.70
2012-06-05,406.00,408.90,396.25,398.10,2389600,398.10
2012-06-01,404.00,407.40,395.10,398.60,3071800,398.60
2012-05-31,405.60,407.80,399.10,407.70,4218000,407.70
2012-05-30,412.00,414.60,407.55,412.00,2420600,412.00
2012-05-29,413.10,419.00,410.50,415.25,3229000,415.25
2012-05-28,409.00,415.50,408.00,410.95,3182500,410.95
2012-05-25,397.65,410.50,396.00,409.25,4000500,409.25
2012-05-24,398.70,402.50,391.40,398.00,3618100,398.00
2012-05-23,397.00,401.40,394.35,394.40,3445700,394.40
2012-05-22,407.35,409.90,396.90,400.00,4157100,400.00
2012-05-21,394.10,406.35,388.70,402.60,9588600,402.60
2012-05-18,397.10,402.00,390.00,400.00,6198100,400.00
2012-05-17,403.40,409.80,402.00,406.90,3911800,406.90
2012-05-16,411.00,411.35,398.55,399.75,5110400,399.75
2012-05-14,410.50,417.40,402.00,409.00,3250900,409.00
2012-05-11,412.00,419.90,409.00,410.45,3506000,410.45
2012-05-10,418.00,425.00,413.30,415.65,3855400,415.65
2012-05-09,421.60,432.40,414.25,416.30,4163500,416.30
2012-05-08,444.50,444.70,424.00,425.00,3329900,425.00
2012-05-07,422.20,443.90,421.10,442.30,3997700,442.30
2012-05-04,444.10,445.95,428.70,432.40,4205200,432.40
2012-05-03,459.00,459.80,446.00,448.55,3162900,448.55
2012-05-02,464.95,469.40,460.10,460.65,1654700,460.65
2012-04-30,462.50,469.30,460.20,463.60,2697300,463.60
2012-04-27,466.70,468.70,454.35,461.05,2567000,461.05
2012-04-26,466.00,474.45,463.50,464.95,3916400,464.95
2012-04-25,472.00,475.25,459.30,465.40,3057300,465.40
2012-04-24,464.00,473.35,460.10,473.00,2345500,473.00
2012-04-23,470.00,479.30,459.65,459.65,4785500,459.65
2012-04-20,465.60,474.50,464.05,470.55,3850400,470.55
2012-04-19,466.65,469.65,461.55,468.50,2781900,468.50
2012-04-18,464.45,471.50,462.80,465.75,4028900,465.75
2012-04-17,464.90,464.90,451.40,462.25,2884300,462.25
2012-04-16,447.30,456.90,445.00,456.60,2604000,456.60
2012-04-13,458.00,462.50,447.05,447.70,3106000,447.70
2012-04-12,450.65,456.40,448.10,452.10,3096400,452.10
2012-04-11,448.30,454.80,443.60,446.85,4201700,446.85
2012-04-10,459.45,459.95,449.40,453.05,4369000,453.05
2012-04-09,472.40,472.40,455.75,456.80,2679400,456.80
2012-04-04,474.40,479.20,471.25,476.45,3122700,476.45
2012-04-03,475.55,482.25,474.15,477.70,4199200,477.70
2012-04-02,470.85,477.30,467.10,470.90,3277900,470.90
2012-03-30,453.70,474.65,453.20,469.00,4957000,469.00
2012-03-29,450.10,455.00,445.40,452.00,4082400,452.00
2012-03-28,444.90,457.90,441.40,456.00,5106300,456.00
2012-03-27,449.90,450.65,438.60,447.40,4883700,447.40
2012-03-26,448.10,451.60,438.00,440.00,4441800,440.00
2012-03-23,449.15,455.40,442.75,449.40,4716600,449.40
2012-03-21,452.85,474.15,448.05,473.60,4988100,473.60
2012-03-20,449.00,457.00,445.15,454.80,4406800,454.80
2012-03-19,455.00,463.50,446.20,447.75,3355100,447.75
2012-03-16,463.00,473.85,449.85,451.50,5610600,451.50
2012-03-15,461.50,466.90,455.00,462.05,4959700,462.05
2012-03-14,475.00,475.80,458.65,461.50,5732600,461.50
2012-03-13,459.55,469.80,459.55,469.20,4056200,469.20
2012-03-12,460.10,463.30,449.35,454.70,4644700,454.70
2012-03-09,432.00,457.45,432.00,455.60,6535000,455.60
2012-03-07,422.10,429.80,415.95,423.00,7545500,423.00
2012-03-06,448.90,457.00,422.50,423.30,7319500,423.30
2012-03-05,465.00,465.00,448.60,450.00,3487300,450.00
2012-03-02,465.90,472.50,460.25,467.00,3770600,467.00
2012-03-01,471.85,471.85,456.60,461.00,5010700,461.00
2012-02-29,465.00,475.20,459.30,473.85,5538600,473.85
2012-02-28,446.70,462.00,446.40,459.80,5189900,459.80
2012-02-27,477.95,477.95,438.60,443.00,6643600,443.00
2012-02-24,473.15,480.90,466.35,475.95,5976500,475.95
2012-02-23,470.00,478.90,460.40,469.70,6701700,469.70
2012-02-22,492.60,496.80,468.00,471.70,4506500,471.70
2012-02-21,480.20,500.95,480.20,489.75,7654900,489.75
2012-02-17,484.00,489.00,470.50,478.20,5733300,478.20
2012-02-16,491.65,493.20,474.65,476.50,5391800,476.50
2012-02-15,491.00,496.75,487.00,495.35,6471200,495.35
2012-02-14,483.00,491.80,481.35,487.10,6195300,487.10
2012-02-13,476.00,488.85,466.50,485.30,6517500,485.30
2012-02-10,434.00,478.40,432.60,475.30,20927900,475.30
2012-02-09,447.90,454.35,440.00,453.55,9325900,453.55
2012-02-08,454.00,461.80,442.35,451.40,9581100,451.40
2012-02-07,470.00,472.00,449.25,449.70,7493500,449.70
2012-02-06,474.70,478.00,463.05,465.70,5221700,465.70
2012-02-03,474.00,474.00,460.20,464.60,5885800,464.60
2012-02-02,476.00,480.80,464.30,474.80,7992700,474.80
2012-02-01,452.00,474.00,450.85,473.90,8208400,473.90
2012-01-31,444.80,453.45,432.10,452.65,6603500,452.65
2012-01-30,456.00,456.40,437.00,438.50,4650400,438.50
2012-01-27,450.00,462.60,447.50,458.00,5780800,458.00
2012-01-25,435.00,446.90,434.00,442.95,7374300,442.95
2012-01-24,428.00,440.00,421.70,430.55,5801100,430.55
2012-01-23,435.00,437.95,423.10,426.95,4509900,426.95
2012-01-20,438.00,444.50,430.50,437.55,5911500,437.55
2012-01-19,430.00,441.90,430.00,434.60,6538300,434.60
2012-01-18,443.60,445.05,421.35,422.75,7276400,422.75
2012-01-17,423.50,448.40,423.05,442.75,8204400,442.75
2012-01-16,412.50,429.40,408.20,421.00,7948800,421.00
2012-01-13,392.00,424.90,391.90,415.95,12172100,415.95
2012-01-12,383.00,392.50,380.80,392.00,4843700,392.00
2012-01-11,373.65,384.40,371.30,384.05,5621700,384.05
2012-01-10,361.20,373.40,361.20,372.85,5218700,372.85
2012-01-06,359.00,367.80,350.20,364.70,4553100,364.70
2012-01-05,365.00,371.50,359.40,361.85,4174300,361.85
2012-01-04,364.00,367.50,356.30,364.00,5451200,364.00
2012-01-03,345.00,363.80,344.20,360.65,5823100,360.65
2012-01-02,337.90,346.00,332.10,342.45,3845800,342.45
2011-12-30,344.55,346.90,334.00,334.25,4128700,334.25
2011-12-29,344.90,348.75,341.10,341.40,4850500,341.40
2011-12-28,347.65,350.70,343.00,346.15,3236300,346.15
2011-12-27,358.00,359.35,347.15,349.60,3106300,349.60
2011-12-26,349.50,359.70,348.10,357.75,4553500,357.75
2011-12-23,355.90,358.60,345.00,347.45,6554300,347.45
2011-12-22,347.00,356.95,341.65,352.30,7167500,352.30
2011-12-21,352.00,353.40,341.25,350.75,8415200,350.75
2011-12-20,365.30,366.55,340.60,342.80,6536800,342.80
2011-12-19,364.00,364.95,354.00,363.00,4154000,363.00
2011-12-16,378.00,381.80,362.45,364.10,5053200,364.10
2011-12-15,370.05,379.90,367.40,375.90,5837400,375.90
2011-12-14,391.95,392.50,374.50,375.10,5505800,375.10
2011-12-13,380.95,395.00,373.20,395.00,6545600,395.00
2011-12-12,402.80,405.50,383.95,384.00,3701800,384.00
2011-12-09,395.00,404.40,391.05,398.05,4673800,398.05
2011-12-08,413.90,416.85,402.00,402.00,3765100,402.00
2011-12-07,412.75,421.00,409.00,415.60,4710900,415.60
2011-12-05,416.80,417.40,409.00,409.95,4595200,409.95
2011-12-02,400.00,422.85,397.10,419.10,6993800,419.10
2011-12-01,401.40,410.20,398.00,401.10,7266200,401.10
2011-11-30,384.00,388.50,381.50,382.75,3483200,382.75
2011-11-29,389.00,398.00,384.10,386.10,5443000,386.10
2011-11-28,378.80,389.10,378.00,388.45,4715100,388.45
2011-11-25,379.70,381.00,372.15,373.00,4847000,373.00
2011-11-24,381.00,389.00,367.00,384.60,7136300,384.60
2011-11-23,387.90,388.40,377.65,383.00,5008900,383.00
2011-11-22,382.50,399.45,380.65,393.00,6250200,393.00
2011-11-21,388.90,391.30,376.85,379.50,4898200,379.50
2011-11-18,398.30,398.30,385.05,391.25,6077700,391.25
2011-11-17,406.90,415.50,398.00,399.15,5515500,399.15
2011-11-16,400.10,417.40,393.65,411.45,7857300,411.45
2011-11-15,413.50,415.00,396.10,399.85,8112500,399.85
2011-11-14,435.00,437.95,409.55,413.50,5102500,413.50
2011-11-11,429.90,433.85,423.15,430.55,6098500,430.55
2011-11-09,470.80,475.30,444.10,446.85,5927100,446.85
2011-11-08,470.35,472.00,464.00,466.30,2152100,466.30
2011-11-04,467.60,476.25,465.10,467.00,4318500,467.00
2011-11-03,465.30,469.75,455.30,462.80,3872400,462.80
2011-11-02,463.55,472.50,459.10,466.00,3715500,466.00
2011-11-01,477.00,480.50,465.65,472.00,3003300,472.00
2011-10-31,479.95,488.65,475.05,480.00,4924500,480.00
2011-10-28,468.00,491.65,467.10,481.10,5438100,481.10
2011-10-26,454.00,455.00,449.00,450.05,649000,450.05
2011-10-25,439.80,455.90,437.00,451.20,4935800,451.20
2011-10-24,439.10,443.95,434.80,435.80,2478400,435.80
2011-10-21,443.60,445.00,431.05,433.10,3329200,433.10
2011-10-20,429.40,443.90,423.50,440.35,5657500,440.35
2011-10-19,431.70,437.40,429.50,433.95,2370300,433.95
2011-10-18,430.30,434.80,423.05,427.50,3376500,427.50
2011-10-17,441.00,443.40,433.40,440.05,2791000,440.05
2011-10-14,450.00,451.00,434.20,437.20,4378800,437.20
2011-10-13,445.60,457.40,441.60,452.15,4733600,452.15
2011-10-12,435.00,445.00,433.70,444.50,3202400,444.50
2011-10-11,439.80,443.30,430.70,433.00,4898100,433.00
2011-10-10,419.70,436.40,416.65,435.00,5301000,435.00
2011-10-07,413.50,421.40,410.65,420.70,4394100,420.70
2011-10-05,400.80,406.80,398.00,401.75,4220100,401.75
2011-10-04,393.85,405.40,390.30,397.60,4738700,397.60
2011-10-03,408.75,408.75,392.85,395.05,5050500,395.05
2011-09-30,430.60,432.80,414.15,415.15,5203500,415.15
2011-09-29,424.00,438.00,417.00,437.40,5436400,437.40
2011-09-28,442.00,444.00,425.60,425.80,3487200,425.80
2011-09-27,441.60,445.40,435.50,439.35,3941800,439.35
2011-09-26,432.00,439.70,420.20,434.70,3852100,434.70
2011-09-23,437.55,438.25,425.10,433.30,5374800,433.30
2011-09-22,451.00,451.00,440.00,440.40,4434600,440.40
2011-09-21,462.40,462.40,455.15,457.45,2302600,457.45
2011-09-20,453.75,462.60,452.20,462.60,3418500,462.60
2011-09-19,458.85,458.85,451.60,453.75,2527600,453.75
2011-09-16,470.40,474.50,457.10,460.00,7348500,460.00
2011-09-15,475.00,477.00,460.10,464.80,5577300,464.80
2011-09-14,460.00,473.60,454.10,473.00,3455700,473.00
2011-09-13,460.40,467.80,450.80,458.50,4230900,458.50
2011-09-12,469.25,470.00,452.15,454.20,6087100,454.20
2011-09-09,490.00,490.80,475.10,475.35,4584600,475.35
2011-09-08,499.75,502.05,489.00,491.00,3352400,491.00
2011-09-07,495.00,503.50,494.90,496.00,3219800,496.00
2011-09-06,490.00,497.60,478.10,496.80,4795900,496.80
2011-09-05,486.00,495.95,480.20,494.65,6126200,494.65
2011-09-02,470.00,492.70,461.00,492.50,7465800,492.50
2011-08-30,455.00,472.90,455.00,468.00,7560500,468.00
2011-08-29,428.85,450.00,426.70,449.65,5191400,449.65
2011-08-26,441.90,444.80,418.30,421.00,4940600,421.00
2011-08-25,456.70,460.95,441.05,442.00,9748300,442.00
2011-08-24,474.00,479.90,452.15,453.55,5489600,453.55
2011-08-23,473.00,478.25,464.10,476.50,2680700,476.50
2011-08-22,461.35,472.40,456.10,470.00,2634300,470.00
2011-08-19,454.00,467.95,450.00,459.00,4263500,459.00
2011-08-18,472.65,472.65,458.60,460.20,3031200,460.20
2011-08-17,470.25,474.70,460.55,471.60,3977800,471.60
2011-08-16,480.00,481.90,466.25,469.90,4218300,469.90
2011-08-12,489.90,489.90,471.00,471.00,6886000,471.00
2011-08-11,481.50,490.00,480.10,483.70,3241700,483.70
2011-08-10,503.05,505.00,480.65,483.80,5973600,483.80
2011-08-09,495.00,504.85,477.75,486.00,8847300,486.00
2011-08-08,519.90,519.90,503.00,508.45,5526300,508.45
2011-08-05,546.50,546.50,527.00,532.50,4924300,532.50
2011-08-04,566.00,568.00,554.20,558.50,2455900,558.50
2011-08-03,559.90,565.50,556.00,565.25,2350700,565.25
2011-08-02,571.00,573.40,561.55,566.00,2040200,566.00
2011-08-01,570.75,575.95,562.80,575.50,2403500,575.50
2011-07-29,570.00,572.00,562.40,563.15,2254700,563.15
2011-07-28,575.00,578.90,566.20,570.75,2664300,570.75
2011-07-27,583.00,590.75,576.50,579.90,2528500,579.90
2011-07-26,592.70,595.70,580.60,583.00,2153100,583.00
2011-07-25,580.00,595.00,579.00,594.50,2555100,594.50
2011-07-22,580.00,586.40,575.65,583.55,2309600,583.55
2011-07-21,575.45,578.25,571.80,573.45,1194300,573.45
2011-07-20,579.00,581.70,574.05,574.95,2421800,574.95
2011-07-19,572.00,578.25,568.80,577.00,2557100,577.00
2011-07-18,573.55,577.00,570.25,571.20,1903200,571.20
2011-07-15,578.00,581.30,569.05,573.20,2160300,573.20
2011-07-14,573.75,583.60,571.00,575.30,2529400,575.30
2011-07-13,577.00,579.35,570.15,575.50,4031900,575.50
2011-07-12,580.65,585.00,570.00,570.80,4431900,570.80
2011-07-11,595.50,595.85,586.05,587.55,1815900,587.55
2011-07-08,606.00,606.00,592.10,594.55,4050700,594.55
2011-07-07,599.00,608.00,598.50,606.10,2919400,606.10
2011-07-06,597.50,602.90,593.90,599.00,2082500,599.00
2011-07-05,599.90,606.90,594.20,596.80,2963800,596.80
2011-07-04,597.75,598.80,590.10,597.50,1873200,597.50
2011-07-01,616.70,616.70,595.65,600.80,2487700,588.80
2011-06-30,605.00,612.45,603.00,612.00,3701100,599.78
2011-06-29,589.70,602.75,589.00,601.95,2835000,589.93
2011-06-28,590.95,592.50,583.00,586.80,2320800,575.08
2011-06-27,576.40,593.45,574.80,589.40,4078900,577.63
2011-06-24,560.90,580.25,559.25,579.00,3039900,567.44
2011-06-23,559.70,561.90,553.30,557.00,2046800,545.87
2011-06-22,561.25,565.00,556.25,557.00,2375100,545.87
2011-06-21,565.90,568.50,556.75,557.10,2687600,545.97
2011-06-20,574.60,574.95,548.50,560.15,3432300,548.96
2011-06-17,564.00,575.30,563.00,571.25,4274000,559.84
2011-06-16,558.70,562.10,551.40,554.00,4047700,542.93
2011-06-15,562.00,566.35,560.25,561.00,2875900,549.79
2011-06-14,566.00,566.95,558.45,562.75,3238700,551.51
2011-06-13,568.00,568.00,560.55,562.90,4827100,551.66
2011-06-10,577.50,578.80,566.20,568.60,3511600,557.24
2011-06-09,577.00,581.70,574.40,577.05,2345600,565.52
2011-06-08,575.10,581.30,574.50,577.55,2500800,566.01
2011-06-07,567.00,580.00,566.00,579.55,2098500,567.97
2011-06-06,573.00,573.00,564.30,568.20,2756300,556.85
2011-06-03,577.30,583.30,571.00,572.50,2429900,561.07
2011-06-02,577.00,577.00,571.50,574.75,2134200,563.27
2011-06-01,592.00,597.45,580.10,582.25,4662500,570.62
2011-05-31,585.45,590.00,579.30,590.00,2664900,578.22
2011-05-30,586.90,586.90,577.10,578.80,2396200,567.24
2011-05-27,578.00,588.40,565.70,584.30,4853800,572.63
2011-05-26,575.00,579.90,566.00,575.40,6208400,563.91
2011-05-25,567.70,570.25,558.25,561.10,4416200,549.89
2011-05-24,557.25,568.90,553.55,565.45,4884200,554.16
2011-05-23,574.55,574.55,557.55,558.30,2338700,547.15
2011-05-20,564.70,583.70,563.00,580.00,3184100,568.42
2011-05-19,569.05,574.85,560.65,563.20,2980100,551.95
2011-05-18,576.00,578.90,566.25,571.25,2530800,559.84
2011-05-17,580.20,585.00,566.70,576.00,3323700,564.50
2011-05-16,593.00,593.00,576.40,577.80,2748200,566.26
2011-05-13,586.10,602.00,584.80,594.90,2509600,583.02
2011-05-12,592.00,592.95,583.10,584.45,2498400,572.78
2011-05-11,590.00,597.40,588.50,593.55,2008700,581.69
2011-05-10,594.00,596.70,583.00,589.00,2785300,577.24
2011-05-09,598.00,600.80,590.10,592.75,1943300,580.91
2011-05-06,584.70,596.50,583.00,593.95,2472300,582.09
2011-05-05,590.00,594.35,581.00,581.35,2414300,569.74
2011-05-04,601.15,603.95,588.20,589.25,3839000,577.48
2011-05-03,612.60,614.80,600.00,600.80,2407500,588.80
2011-05-02,616.00,619.00,607.05,611.95,2062700,599.73
