Indx_cd,OPEN_INDEX,High_Index,Low_index,close_index,wk52_index_high,wk52_index_Low,Full Mcap (Rs. Cr.),Full Mcap % to Total Mcap,Turnover (Rs. Cr.),% to Total Turnover
GREENX ,1399.25,1401.38,1376.17,1382.74,1537.99,1376.17,1112444.16,18.56,385.97,14.68
BSE30  ,17066.84,17121.37,16776.72,16831.08,19131.7,15135.86,2826039.04,47.14,578.12,21.99
MIDCAP ,6231.89,6231.89,6082.21,6100.8,7115.91,5073.25,867938.48,14.48,623.3,23.71
SMLCAP ,6708.38,6727.75,6572.1,6588.26,8536.87,5460.31,300668.36,5.02,270.99,10.31
BSE100 ,8941.38,8961.02,8787.45,8810.24,9985.82,7786.92,4285860.5,71.49,1554.77,59.14
BSE200 ,2104.15,2107.88,2066.77,2071.71,2361.08,1819.8,5045563.08,84.17,1959.91,74.55
BSE500 ,6599.27,6609.64,6481.95,6496.99,7417,5683.02,5645813.33,94.18,2293.07,87.22
SHA50  ,1123.75,1127.42,1111.21,1113.54,1190.97,1021.38,1777490.79,29.65,352.15,13.4
BSEIPO ,1505.38,1505.38,1477.17,1478.62,1832.7,1281.44,286194.63,4.77,63,2.4
DOL30  ,2755.05,2762.33,2707.5,2715.86,3543.08,0,,,,
DOL100 ,1817.97,1821.96,1786.67,1791.31,2330.31,0,,,,
DOL200 ,688.52,689.74,676.29,677.9,886.76,0,,,,
AUTO   ,10152.26,10153.16,9949.74,10024.41,10829.1,7894.04,286243.82,4.77,104.03,3.96
BANKEX ,11599.44,11599.44,11242.69,11284.03,13465.21,8947.37,575629.3,9.6,279.61,10.64
BSECD  ,6737.67,6748.96,6541.05,6610.41,7096.91,5062.96,46444.73,0.77,63.16,2.4
BSECG  ,9199.75,9215.03,8850.1,8908.74,14108.28,7806.9,221591.48,3.7,144.96,5.51
BSEFMCG,4751.94,4798.52,4706.47,4714.3,4844.98,3561.51,426820.65,7.12,134.22,5.11
BSEHC  ,6788.39,6846.03,6779.14,6802.75,6878.53,5757.37,269231.65,4.49,44.71,1.7
BSEIT  ,5785.53,5825.99,5702.67,5733.26,6361.42,4638.8,575591.91,9.6,579.97,22.06
METAL  ,10775.36,10789.37,10518.89,10562.22,15683.89,9191.03,550867.8,9.19,99.37,3.78
OILGAS ,7813.41,7882.29,7721.99,7737.81,9918.96,7495.24,701040.13,11.69,66.18,2.52
POWER  ,1954.42,1956.51,1907.68,1912.15,2655.6,1725.21,421815.87,7.04,108.07,4.11
BSEPSU ,7089.34,7094.8,6920.01,6927.37,8933.52,6204.05,1518867.85,25.34,302.31,11.5
REALTY ,1657.59,1659.5,1615.35,1627.99,2265.25,1347.79,71408.03,1.19,47.29,1.8
TECK   ,3364.9,3384.37,3324.88,3336.16,3798.85,2982.32,793671.43,13.24,614.19,23.36
