/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,1201.70,1228.00,1201.70,1223.05,1689100,1223.00
2012-07-20,1201.00,1228.00,1200.30,1223.00,1689100,1223.00
2012-07-19,1203.00,1210.00,1195.25,1203.00,667600,1203.00
2012-07-18,1195.00,1204.40,1178.50,1195.10,1487600,1195.10
2012-07-17,1218.00,1224.00,1175.20,1186.60,3191900,1186.60
2012-07-16,1249.00,1259.25,1202.90,1203.30,1810300,1203.30
2012-07-13,1273.80,1284.00,1243.00,1249.15,3608500,1249.15
2012-07-12,1225.00,1250.00,1219.30,1233.15,3929500,1233.15
2012-07-11,1253.25,1274.50,1253.25,1258.60,1017200,1258.60
2012-07-10,1265.00,1270.25,1249.55,1262.10,1258700,1262.10
2012-07-09,1245.00,1264.55,1243.35,1261.30,956300,1261.30
2012-07-06,1240.00,1252.80,1227.00,1252.15,964900,1252.15
2012-07-05,1247.85,1247.85,1235.20,1241.60,760400,1241.60
2012-07-04,1243.50,1249.50,1231.55,1248.00,650900,1248.00
2012-07-03,1265.00,1269.80,1230.30,1240.60,1113600,1240.60
2012-07-02,1279.00,1279.00,1256.45,1259.55,1055500,1259.55
2012-06-29,1263.35,1287.00,1262.90,1278.05,995000,1278.05
2012-06-28,1246.95,1263.90,1236.25,1252.75,947100,1252.75
2012-06-27,1236.25,1258.80,1236.25,1242.00,1152900,1242.00
2012-06-26,1217.50,1237.00,1217.05,1236.40,554800,1236.40
2012-06-25,1237.00,1238.50,1211.00,1217.50,794300,1217.50
2012-06-22,1214.25,1239.90,1214.25,1233.40,959700,1233.40
2012-06-21,1245.05,1252.00,1209.00,1224.20,2077900,1224.20
2012-06-20,1274.00,1274.00,1243.30,1252.00,876800,1252.00
2012-06-19,1256.90,1279.25,1255.10,1275.00,884500,1275.00
2012-06-18,1276.00,1286.35,1250.00,1256.25,747600,1256.25
2012-06-15,1254.05,1280.00,1249.00,1273.55,993000,1273.55
2012-06-14,1249.00,1261.50,1245.00,1253.80,735500,1253.80
2012-06-13,1249.00,1260.00,1242.60,1255.00,725400,1255.00
2012-06-12,1221.10,1253.00,1221.10,1248.30,546000,1248.30
2012-06-11,1233.00,1246.05,1227.10,1234.00,772500,1234.00
2012-06-08,1231.20,1242.60,1224.15,1230.00,1200100,1230.00
2012-06-07,1247.00,1249.90,1231.55,1240.00,1074800,1240.00
2012-06-06,1230.00,1263.75,1229.10,1249.05,1645900,1249.05
2012-06-05,1214.00,1230.90,1214.00,1227.00,1031600,1227.00
2012-06-01,1240.00,1245.00,1218.50,1223.70,739700,1223.70
2012-05-31,1221.00,1255.90,1221.00,1244.05,2205800,1244.05
2012-05-30,1231.25,1257.00,1231.25,1239.80,790700,1239.80
2012-05-29,1228.00,1248.00,1218.40,1240.20,787500,1240.20
2012-05-28,1224.00,1230.00,1215.05,1228.90,395000,1228.90
2012-05-25,1212.10,1225.00,1209.10,1223.15,457500,1223.15
2012-05-24,1225.00,1228.95,1207.10,1223.00,602800,1223.00
2012-05-23,1233.00,1235.55,1214.10,1220.90,1081400,1220.90
2012-05-22,1221.00,1240.00,1213.00,1239.00,1180400,1239.00
2012-05-21,1211.00,1225.00,1204.05,1208.25,1113500,1208.25
2012-05-18,1204.80,1224.90,1202.65,1219.00,1328300,1219.00
2012-05-17,1222.00,1235.00,1199.05,1228.30,2068700,1228.30
2012-05-16,1220.00,1241.90,1206.75,1215.00,2283900,1215.00
2012-05-14,1227.30,1234.00,1220.00,1225.00,1286800,1225.00
2012-05-11,1224.00,1236.90,1221.20,1229.15,1372500,1229.15
2012-05-10,1225.55,1241.80,1225.00,1234.70,1496300,1234.70
2012-05-09,1195.00,1234.60,1194.10,1223.95,4635700,1223.95
2012-05-08,1225.00,1234.70,1195.65,1200.00,4815700,1200.00
2012-05-07,1260.00,1278.50,1248.40,1278.50,1313800,1278.50
2012-05-04,1280.00,1295.25,1263.05,1279.30,1785800,1279.30
2012-05-03,1262.70,1284.10,1258.55,1277.00,1679400,1277.00
2012-05-02,1242.10,1274.40,1242.10,1264.70,1990700,1264.70
2012-04-30,1204.00,1250.00,1204.00,1250.00,2302400,1250.00
2012-04-27,1190.00,1212.00,1190.00,1200.10,1855500,1200.10
2012-04-26,1170.00,1201.90,1164.50,1198.30,2738100,1198.30
2012-04-25,1189.00,1190.00,1167.50,1170.05,2708900,1170.05
2012-04-24,1122.00,1205.00,1117.30,1198.95,9056800,1198.95
2012-04-23,1093.95,1102.40,1047.65,1065.90,1421900,1065.90
2012-04-20,1093.25,1107.95,1077.40,1093.55,1225000,1093.55
2012-04-19,1100.90,1106.80,1091.10,1103.05,883700,1103.05
2012-04-18,1100.00,1114.70,1093.85,1095.00,1441100,1095.00
2012-04-17,1085.00,1094.95,1073.80,1094.40,1236800,1094.40
2012-04-16,1065.25,1074.30,1053.30,1070.00,2508000,1070.00
2012-04-13,1091.35,1104.70,1061.25,1065.00,4497300,1065.00
2012-04-12,1140.25,1148.00,1129.10,1132.50,1057300,1132.50
2012-04-11,1149.70,1155.00,1135.20,1139.70,890700,1139.70
2012-04-10,1166.30,1175.65,1152.25,1155.95,766400,1155.95
2012-04-09,1170.00,1188.00,1158.25,1165.35,788300,1165.35
2012-04-04,1169.00,1189.80,1167.00,1179.75,1082500,1179.75
2012-04-03,1200.20,1207.35,1175.30,1175.75,1134500,1175.75
2012-04-02,1170.00,1199.00,1170.00,1198.00,1163400,1198.00
2012-03-30,1145.50,1175.75,1145.50,1165.00,1271600,1165.00
2012-03-29,1151.00,1164.00,1132.40,1148.95,1340600,1148.95
2012-03-28,1174.00,1174.65,1154.45,1165.00,1025500,1165.00
2012-03-27,1173.00,1179.65,1151.95,1176.00,794100,1176.00
2012-03-26,1177.00,1185.00,1154.00,1158.00,1526600,1158.00
2012-03-23,1175.00,1191.90,1164.80,1185.00,1579200,1185.00
2012-03-21,1136.95,1179.80,1136.55,1173.95,2276600,1173.95
2012-03-20,1129.00,1145.00,1120.00,1133.70,1841600,1133.70
2012-03-19,1169.55,1169.55,1111.80,1124.75,2566400,1124.75
2012-03-16,1169.95,1180.00,1158.00,1163.60,1027300,1163.60
2012-03-15,1159.00,1170.95,1145.00,1164.80,2142100,1164.80
2012-03-14,1210.10,1214.00,1151.00,1152.00,4032600,1152.00
2012-03-13,1190.00,1214.95,1190.00,1198.80,1246200,1198.80
2012-03-12,1215.90,1218.85,1183.20,1185.60,1120100,1185.60
2012-03-09,1227.00,1227.00,1202.95,1207.10,1112800,1207.10
2012-03-07,1195.00,1206.00,1186.55,1195.90,972800,1195.90
2012-03-06,1203.00,1221.30,1189.00,1190.00,858800,1190.00
2012-03-05,1214.00,1222.45,1201.00,1208.10,770400,1208.10
2012-03-02,1226.00,1227.00,1207.00,1219.00,1154600,1219.00
2012-03-01,1223.00,1226.95,1210.05,1219.00,784200,1219.00
2012-02-29,1240.00,1240.00,1212.25,1220.90,1530100,1220.90
2012-02-28,1255.25,1260.40,1219.10,1227.60,1986700,1227.60
2012-02-27,1279.00,1279.95,1245.60,1250.00,930600,1250.00
2012-02-24,1259.00,1280.85,1257.25,1268.00,1173200,1268.00
2012-02-23,1249.05,1274.90,1244.00,1254.30,2043400,1254.30
2012-02-22,1235.00,1266.85,1229.00,1246.20,1570900,1246.20
2012-02-21,1223.55,1240.00,1204.75,1235.95,1244700,1235.95
2012-02-17,1234.85,1254.00,1221.00,1225.35,2048200,1225.35
2012-02-16,1238.00,1242.00,1218.00,1222.30,943300,1222.30
2012-02-15,1227.15,1248.80,1219.50,1238.20,1083500,1238.20
2012-02-14,1225.00,1229.55,1215.00,1221.00,913300,1221.00
2012-02-13,1222.20,1237.95,1214.00,1228.00,815800,1228.00
2012-02-10,1228.00,1238.00,1212.00,1228.00,1162100,1228.00
2012-02-09,1211.10,1232.00,1188.00,1229.95,1519000,1229.95
2012-02-08,1216.40,1226.85,1211.00,1220.00,1813500,1220.00
2012-02-07,1209.70,1209.70,1191.90,1201.00,1703800,1201.00
2012-02-06,1183.70,1200.05,1173.35,1197.60,1713500,1197.60
2012-02-03,1145.00,1176.00,1141.00,1169.70,1388700,1169.70
2012-02-02,1136.00,1152.65,1130.30,1150.00,1693000,1150.00
2012-02-01,1129.40,1135.00,1108.25,1131.00,1144400,1131.00
2012-01-31,1113.00,1135.90,1113.00,1131.00,1769000,1131.00
2012-01-30,1102.50,1118.95,1100.75,1112.25,1297700,1112.25
2012-01-27,1105.00,1120.55,1100.10,1108.70,2604800,1108.70
2012-01-25,1094.90,1109.95,1091.05,1095.20,2922600,1095.20
2012-01-24,1088.00,1095.00,1078.00,1085.55,1320600,1085.55
2012-01-23,1086.00,1091.45,1074.15,1076.25,1065200,1076.25
2012-01-20,1079.95,1090.95,1073.00,1076.55,1286300,1076.55
2012-01-19,1087.00,1088.90,1065.40,1075.00,2081600,1075.00
2012-01-18,1080.00,1096.30,1045.30,1073.00,5832700,1073.00
2012-01-17,1119.90,1124.70,1094.00,1105.25,1852100,1105.25
2012-01-16,1084.00,1114.00,1078.90,1108.80,1523600,1108.80
2012-01-13,1097.15,1103.35,1073.00,1085.45,2009900,1085.45
2012-01-12,1101.00,1115.00,1068.65,1096.35,4764300,1096.35
2012-01-11,1171.40,1175.00,1133.15,1135.55,2837600,1135.55
2012-01-10,1175.00,1185.50,1158.50,1168.00,1795800,1168.00
2012-01-06,1166.00,1188.35,1156.80,1170.95,1059800,1170.95
2012-01-05,1172.80,1185.00,1167.35,1171.20,1273600,1171.20
2012-01-04,1204.90,1205.00,1169.30,1170.75,1193300,1170.75
2012-01-03,1183.25,1209.90,1180.00,1197.00,1354400,1197.00
2012-01-02,1161.00,1185.95,1153.00,1177.90,1124200,1177.90
2011-12-30,1178.00,1182.50,1156.50,1156.95,772700,1156.95
2011-12-29,1163.50,1178.10,1159.50,1165.00,792800,1165.00
2011-12-28,1178.70,1183.55,1165.90,1169.00,598900,1169.00
2011-12-27,1185.40,1190.00,1170.00,1178.00,491900,1178.00
