/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,716.85,722.00,710.00,714.55,11400,711.15
2012-07-20,720.10,725.00,707.60,711.15,91400,711.15
2012-07-19,712.65,722.00,710.30,721.00,52100,721.00
2012-07-18,708.85,712.65,697.30,711.00,70100,711.00
2012-07-17,708.95,710.90,690.20,707.50,110300,707.50
2012-07-16,713.00,722.45,702.10,703.00,71800,703.00
2012-07-13,711.90,717.95,707.25,713.00,40000,713.00
2012-07-12,702.00,719.00,702.00,710.00,104700,710.00
2012-07-11,718.95,731.80,714.00,718.00,107000,718.00
2012-07-10,716.20,731.00,716.20,721.45,59500,721.45
2012-07-09,722.00,726.90,708.60,722.00,151400,722.00
2012-07-06,735.70,738.90,717.15,720.00,137800,720.00
2012-07-05,732.75,741.10,725.70,735.80,132100,735.80
2012-07-04,730.00,744.45,727.60,729.60,279900,729.60
2012-07-03,736.05,740.30,721.45,730.00,113500,730.00
2012-07-02,710.00,748.50,704.00,733.05,289700,733.05
2012-06-29,700.05,712.90,700.05,709.00,108700,709.00
2012-06-28,696.30,707.00,688.10,701.05,181700,701.05
2012-06-27,690.00,699.70,685.00,694.15,233800,694.15
2012-06-26,776.00,776.00,681.00,687.30,55500,687.30
2012-06-25,690.00,695.00,686.00,691.00,60500,691.00
2012-06-22,681.85,692.90,675.25,689.95,52500,689.95
2012-06-21,688.25,693.00,680.00,686.95,52800,686.95
2012-06-20,685.00,695.00,683.05,684.30,49000,684.30
2012-06-19,685.00,691.80,680.55,686.35,50200,686.35
2012-06-18,798.00,798.00,681.15,682.15,194600,682.15
2012-06-15,675.10,704.00,672.30,702.65,429800,702.65
2012-06-14,669.80,680.90,663.00,676.40,148600,676.40
2012-06-13,672.30,676.90,665.00,666.10,81000,666.10
2012-06-12,660.55,681.00,660.55,674.50,68500,674.50
2012-06-11,678.25,688.00,664.00,665.30,85300,665.30
2012-06-08,674.80,688.00,668.25,677.05,187400,677.05
2012-06-07,680.00,682.45,663.00,673.10,92100,673.10
2012-06-06,668.00,681.75,668.00,672.50,85400,672.50
2012-06-05,666.95,674.80,660.00,667.05,104100,667.05
2012-06-01,670.90,670.90,655.00,655.05,95000,655.05
2012-05-31,682.00,688.85,666.35,667.95,232700,667.95
2012-05-30,664.10,698.00,657.20,689.85,537200,689.85
2012-05-29,652.05,674.00,650.65,662.65,105800,662.65
2012-05-28,666.90,684.40,662.30,665.05,131400,665.05
2012-05-25,666.00,673.40,657.70,664.80,379600,664.80
2012-05-24,629.85,678.90,613.10,663.25,1637300,663.25
2012-05-23,620.75,624.50,605.40,610.80,165800,610.80
2012-05-22,612.30,628.40,608.00,619.30,142900,619.30
2012-05-21,614.50,617.50,607.50,611.05,81600,611.05
2012-05-18,614.70,639.70,600.00,611.80,444200,611.80
2012-05-17,639.35,645.95,605.35,608.00,122000,608.00
2012-05-16,625.10,653.00,625.10,634.25,77100,634.25
2012-05-14,635.00,635.75,621.20,624.00,46800,624.00
2012-05-11,661.10,664.20,620.10,641.15,118000,641.15
2012-05-10,662.00,664.80,645.95,661.85,87300,661.85
2012-05-09,667.00,673.50,651.10,653.00,44800,653.00
2012-05-08,687.95,687.95,664.50,666.00,58300,666.00
2012-05-07,675.35,687.00,666.90,684.15,78100,684.15
2012-05-04,694.00,694.00,670.00,687.00,67500,687.00
2012-05-03,692.00,697.00,683.00,691.95,120700,691.95
2012-05-02,712.00,712.00,688.05,692.95,78700,692.95
2012-04-30,693.95,704.80,692.50,704.80,57000,704.80
2012-04-27,699.90,704.00,687.50,693.00,88700,693.00
2012-04-26,689.00,721.90,686.00,705.00,240500,705.00
2012-04-25,695.00,702.95,683.00,691.00,48100,691.00
2012-04-24,701.05,708.15,693.20,698.00,52600,698.00
2012-04-23,716.95,716.95,693.75,695.00,46000,695.00
2012-04-20,706.20,725.65,706.20,709.30,98900,709.30
2012-04-19,713.40,716.20,706.15,709.70,32600,709.70
2012-04-18,719.80,722.80,708.55,708.55,107300,708.55
