INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,30-Aug-2012,0,XX,10511,10513.9,10288,10435.3,10435.3,128377,333569,2036675,-29175,31-JUL-2012,
FUTIDX,BANKNIFTY,27-Sep-2012,0,XX,10530,10530,10312.35,10456.6,10456.6,3195,8316.71,61400,9450,31-JUL-2012,
FUTIDX,BANKNIFTY,25-Oct-2012,0,XX,10458.75,10475,10325.25,10460.1,10460.1,106,275.89,2725,825,31-JUL-2012,
FUTIDX,CNXINFRA,30-Aug-2012,0,XX,0,0,0,2240.45,2366.8,0,0,0,0,31-JUL-2012,
FUTIDX,CNXINFRA,27-Sep-2012,0,XX,0,0,0,2355,2384.3,0,0,0,0,31-JUL-2012,
FUTIDX,CNXINFRA,25-Oct-2012,0,XX,0,0,0,2331.45,2401.3,0,0,0,0,31-JUL-2012,
FUTIDX,CNXIT,30-Aug-2012,0,XX,5651,5722,5640.5,5708.55,5708.55,185,525.88,9100,-550,31-JUL-2012,
FUTIDX,CNXIT,27-Sep-2012,0,XX,0,0,0,5700.1,5779.5,0,0,50,0,31-JUL-2012,
FUTIDX,CNXIT,25-Oct-2012,0,XX,0,0,0,5617.15,5820.6,0,0,0,0,31-JUL-2012,
FUTIDX,CNXPSE,30-Aug-2012,0,XX,0,0,0,2725.35,2922.1,0,0,0,0,31-JUL-2012,
FUTIDX,CNXPSE,27-Sep-2012,0,XX,0,0,0,2915.1,2943.8,0,0,0,0,31-JUL-2012,
FUTIDX,CNXPSE,25-Oct-2012,0,XX,0,0,0,2877.95,2964.7,0,0,0,0,31-JUL-2012,
FUTIDX,DJIA,17-Aug-2012,0,XX,13035,13060,13020,13047.5,13047.5,501,1633.16,71325,4275,31-JUL-2012,
FUTIDX,DJIA,21-Sep-2012,0,XX,12960,12960,12960,12960,13247.5,1,3.24,75,0,31-JUL-2012,
FUTIDX,DJIA,19-Oct-2012,0,XX,0,0,0,13242.5,13342.5,0,0,0,0,31-JUL-2012,
FUTIDX,DJIA,21-Dec-2012,0,XX,0,0,0,13090,13555,0,0,0,0,31-JUL-2012,
FUTIDX,DJIA,15-Mar-2013,0,XX,0,0,0,12900,13847.5,0,0,0,0,31-JUL-2012,
FUTIDX,DJIA,21-Jun-2013,0,XX,0,0,0,13947.5,14195,0,0,0,0,31-JUL-2012,
FUTIDX,FTSE100,17-Aug-2012,0,XX,5670,5675,5650,5655,5655,666,1885.58,224650,3750,31-JUL-2012,
FUTIDX,FTSE100,21-Sep-2012,0,XX,0,0,0,5591,5761,0,0,178100,0,31-JUL-2012,
FUTIDX,FTSE100,19-Oct-2012,0,XX,0,0,0,5836,5802,0,0,0,0,31-JUL-2012,
FUTIDX,FTSE100,21-Dec-2012,0,XX,0,0,0,6156,5896,0,0,0,0,31-JUL-2012,
FUTIDX,FTSE100,15-Mar-2013,0,XX,0,0,0,6295,6022,0,0,0,0,31-JUL-2012,
FUTIDX,FTSE100,21-Jun-2013,0,XX,0,0,0,6003,6174,0,0,0,0,31-JUL-2012,
FUTIDX,MINIFTY,30-Aug-2012,0,XX,5235.2,5247,5166.2,5240.8,5240.8,42075,43862.67,731820,4280,31-JUL-2012,
FUTIDX,MINIFTY,27-Sep-2012,0,XX,5251,5272,5190.1,5266.95,5266.95,4346,4552.96,145340,7040,31-JUL-2012,
FUTIDX,MINIFTY,25-Oct-2012,0,XX,5275,5295,5213,5289.9,5289.9,670,705.51,25240,5300,31-JUL-2012,
FUTIDX,NFTYMCAP50,30-Aug-2012,0,XX,0,0,0,2031,2074.15,0,0,600,0,31-JUL-2012,
FUTIDX,NFTYMCAP50,27-Sep-2012,0,XX,0,0,0,2136.8,2089.55,0,0,0,0,31-JUL-2012,
FUTIDX,NFTYMCAP50,25-Oct-2012,0,XX,0,0,0,2061.55,2104.4,0,0,0,0,31-JUL-2012,
FUTIDX,NIFTY,30-Aug-2012,0,XX,5242.65,5247,5168,5240.55,5240.55,327140,852850.28,22193100,148750,31-JUL-2012,
FUTIDX,NIFTY,27-Sep-2012,0,XX,5266.95,5271.7,5195,5266.8,5266.8,7870,20618.37,1299550,-11850,31-JUL-2012,
FUTIDX,NIFTY,25-Oct-2012,0,XX,5274,5297,5200,5292.75,5292.75,1821,4795.03,171650,42500,31-JUL-2012,
FUTIDX,S&P500,17-Aug-2012,0,XX,1383.25,1386,1380,1385,1385,333,1151.84,196750,32250,31-JUL-2012,
FUTIDX,S&P500,21-Sep-2012,0,XX,1378,1381,1378,1381,1403.75,3,10.35,750,500,31-JUL-2012,
FUTIDX,S&P500,19-Oct-2012,0,XX,0,0,0,1408.25,1413.75,0,0,0,0,31-JUL-2012,
FUTIDX,S&P500,21-Dec-2012,0,XX,0,0,0,1340.75,1436.5,0,0,0,0,31-JUL-2012,
FUTIDX,S&P500,15-Mar-2013,0,XX,0,0,0,1569,1467.25,0,0,0,0,31-JUL-2012,
FUTIDX,S&P500,21-Jun-2013,0,XX,0,0,0,1465,1504.25,0,0,0,0,31-JUL-2012,
FUTSTK,ABAN,30-Aug-2012,0,XX,379.7,387.85,367.65,383.65,383.65,1574,2978.39,1609000,-88500,31-JUL-2012,
FUTSTK,ABAN,27-Sep-2012,0,XX,368.15,382,365,381,381,28,52.35,62500,2500,31-JUL-2012,
FUTSTK,ABB,30-Aug-2012,0,XX,791,800.05,783,797.65,797.65,120,237.03,184500,-2500,31-JUL-2012,
FUTSTK,ABB,27-Sep-2012,0,XX,0,0,0,810.95,807.75,0,0,0,0,31-JUL-2012,
FUTSTK,ABB,25-Oct-2012,0,XX,0,0,0,764,813.5,0,0,0,0,31-JUL-2012,
FUTSTK,ABIRLANUVO,30-Aug-2012,0,XX,780,789,770.35,785.9,785.9,381,743.73,550750,-14250,31-JUL-2012,
FUTSTK,ABIRLANUVO,27-Sep-2012,0,XX,0,0,0,803.65,797.05,0,0,0,0,31-JUL-2012,
FUTSTK,ABIRLANUVO,25-Oct-2012,0,XX,0,0,0,788.05,802.7,0,0,0,0,31-JUL-2012,
FUTSTK,ACC,30-Aug-2012,0,XX,1295.1,1324.85,1290.65,1319.7,1319.7,2838,9295.53,923750,19250,31-JUL-2012,
FUTSTK,ACC,27-Sep-2012,0,XX,1297.85,1324.9,1295.45,1320.6,1320.6,38,124.67,38250,1750,31-JUL-2012,
FUTSTK,ACC,25-Oct-2012,0,XX,0,0,0,1290.15,1353.35,0,0,0,0,31-JUL-2012,
FUTSTK,ADANIENT,30-Aug-2012,0,XX,178.65,182.7,176.5,181.15,181.15,3205,5785.35,10476000,-225000,31-JUL-2012,
FUTSTK,ADANIENT,27-Sep-2012,0,XX,180.55,182.95,179.35,182.65,182.65,18,32.58,82000,0,31-JUL-2012,
FUTSTK,ADANIENT,25-Oct-2012,0,XX,0,0,0,184.95,184.9,0,0,0,0,31-JUL-2012,
FUTSTK,ADANIPORTS,30-Aug-2012,0,XX,118,121,117.4,120.6,120.6,252,602.09,5798000,-12000,31-JUL-2012,
FUTSTK,ADANIPORTS,27-Sep-2012,0,XX,0,0,0,122.3,122.25,0,0,0,0,31-JUL-2012,
FUTSTK,ADANIPORTS,25-Oct-2012,0,XX,0,0,0,120.6,123.1,0,0,0,0,31-JUL-2012,
FUTSTK,ADANIPOWER,30-Aug-2012,0,XX,43.55,44.2,42.5,43.95,43.95,540,940.28,13972000,-220000,31-JUL-2012,
FUTSTK,ADANIPOWER,27-Sep-2012,0,XX,43.3,44.3,43,44.3,44.3,6,10.42,60000,4000,31-JUL-2012,
FUTSTK,ADANIPOWER,25-Oct-2012,0,XX,0,0,0,43.3,44.7,0,0,0,0,31-JUL-2012,
FUTSTK,AIL,30-Aug-2012,0,XX,366.1,367.9,362.8,366.65,366.65,97,354,380000,-11000,31-JUL-2012,
FUTSTK,AIL,27-Sep-2012,0,XX,0,0,0,384.15,369.65,0,0,1000,0,31-JUL-2012,
FUTSTK,ALBK,30-Aug-2012,0,XX,137.75,138.65,132.15,134.9,134.9,2159,5807.7,6316000,380000,31-JUL-2012,
FUTSTK,ALBK,27-Sep-2012,0,XX,138.6,138.6,133.5,135.45,135.8,19,51.35,36000,10000,31-JUL-2012,
FUTSTK,ALBK,25-Oct-2012,0,XX,0,0,0,135.6,136.75,0,0,0,0,31-JUL-2012,
FUTSTK,ALOKTEXT,30-Aug-2012,0,XX,15.95,16.15,15.55,15.65,15.65,564,886.7,93930000,4160000,31-JUL-2012,
FUTSTK,ALOKTEXT,27-Sep-2012,0,XX,15.8,16.1,15.7,15.8,15.8,91,144.96,870000,870000,31-JUL-2012,
FUTSTK,ALOKTEXT,25-Oct-2012,0,XX,0,0,0,16.25,16.1,0,0,0,0,31-JUL-2012,
FUTSTK,AMBUJACEM,30-Aug-2012,0,XX,179.85,182.5,178.6,181.6,181.6,1478,5335.36,7924000,78000,31-JUL-2012,
FUTSTK,AMBUJACEM,27-Sep-2012,0,XX,179.85,182.2,179.4,181.95,181.95,45,162.62,276000,-22000,31-JUL-2012,
FUTSTK,AMBUJACEM,25-Oct-2012,0,XX,0,0,0,183.9,184.45,0,0,0,0,31-JUL-2012,
FUTSTK,ANDHRABANK,30-Aug-2012,0,XX,102.3,102.95,100,102.3,102.3,405,824.11,1170000,-22000,31-JUL-2012,
FUTSTK,ANDHRABANK,27-Sep-2012,0,XX,102.9,103.15,101,103.15,103.15,5,10.22,10000,2000,31-JUL-2012,
FUTSTK,ANDHRABANK,25-Oct-2012,0,XX,0,0,0,107.3,103.9,0,0,0,0,31-JUL-2012,
FUTSTK,APOLLOTYRE,30-Aug-2012,0,XX,80.5,80.9,77.9,78.35,78.35,976,3086.79,7164000,604000,31-JUL-2012,
FUTSTK,APOLLOTYRE,27-Sep-2012,0,XX,79.5,79.5,78.75,78.9,78.9,4,12.66,40000,0,31-JUL-2012,
FUTSTK,APOLLOTYRE,25-Oct-2012,0,XX,0,0,0,82.1,79.5,0,0,0,0,31-JUL-2012,
FUTSTK,ARVIND,30-Aug-2012,0,XX,71.6,72.75,70.45,72.25,72.25,361,1037.62,3048000,-88000,31-JUL-2012,
FUTSTK,ARVIND,27-Sep-2012,0,XX,0,0,0,71.55,72.85,0,0,28000,0,31-JUL-2012,
FUTSTK,ARVIND,25-Oct-2012,0,XX,0,0,0,71.6,73.35,0,0,0,0,31-JUL-2012,
FUTSTK,ASHOKLEY,30-Aug-2012,0,XX,22.4,22.55,22,22.45,22.45,415,738.98,19016000,-104000,31-JUL-2012,
FUTSTK,ASHOKLEY,27-Sep-2012,0,XX,22.5,22.65,22.3,22.65,22.65,22,39.65,456000,120000,31-JUL-2012,
FUTSTK,ASHOKLEY,25-Oct-2012,0,XX,0,0,0,21.7,22.8,0,0,0,0,31-JUL-2012,
FUTSTK,ASIANPAINT,30-Aug-2012,0,XX,3600.55,3685,3583.95,3659.25,3659.25,913,4145.5,281500,-9125,31-JUL-2012,
FUTSTK,ASIANPAINT,27-Sep-2012,0,XX,3627.15,3705,3627.15,3696.15,3696.15,8,36.74,3125,250,31-JUL-2012,
FUTSTK,ASIANPAINT,25-Oct-2012,0,XX,0,0,0,3549.7,3722.5,0,0,0,0,31-JUL-2012,
FUTSTK,AUROPHARMA,30-Aug-2012,0,XX,105.35,109.8,104.95,109.45,109.45,723,1557.13,3062000,-272000,31-JUL-2012,
FUTSTK,AUROPHARMA,27-Sep-2012,0,XX,106.5,106.5,106.5,106.5,110.65,1,2.13,12000,0,31-JUL-2012,
FUTSTK,AUROPHARMA,25-Oct-2012,0,XX,0,0,0,106.05,111.4,0,0,0,0,31-JUL-2012,
FUTSTK,AXISBANK,30-Aug-2012,0,XX,1050.15,1060.8,1026,1047.6,1047.6,19850,51798.6,5576500,-43750,31-JUL-2012,
FUTSTK,AXISBANK,27-Sep-2012,0,XX,1048.2,1062,1028.9,1050,1050,290,757.43,69500,3000,31-JUL-2012,
FUTSTK,AXISBANK,25-Oct-2012,0,XX,1044.15,1049.7,1030.1,1049.45,1049.45,13,33.89,40250,-250,31-JUL-2012,
FUTSTK,BAJAJ-AUTO,30-Aug-2012,0,XX,1609.25,1624.75,1591.85,1610.6,1610.6,2773,5574.03,946250,-14625,31-JUL-2012,
FUTSTK,BAJAJ-AUTO,27-Sep-2012,0,XX,1615.85,1633.75,1603.5,1619.7,1619.7,45,91.13,9250,625,31-JUL-2012,
FUTSTK,BAJAJ-AUTO,25-Oct-2012,0,XX,1625.95,1638.1,1625.95,1630,1630,4,8.15,375,250,31-JUL-2012,
FUTSTK,BAJAJHIND,30-Aug-2012,0,XX,31.35,31.7,30.3,30.65,30.65,607,1501.85,18568000,-824000,31-JUL-2012,
FUTSTK,BAJAJHIND,27-Sep-2012,0,XX,31.5,31.5,31.1,31.25,31.25,4,10.01,264000,8000,31-JUL-2012,
