Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,13.95,14.05,13.80,13.95,1116600,13.90
2012-07-20,13.90,14.05,13.80,13.90,1118700,13.90
2012-07-19,13.90,14.20,13.85,13.85,571300,13.85
2012-07-18,13.70,13.95,13.50,13.85,1055800,13.85
2012-07-17,13.85,14.00,13.55,13.65,1443100,13.65
2012-07-16,13.85,14.15,13.60,13.65,871600,13.65
2012-07-13,13.95,14.20,13.80,13.85,940200,13.85
2012-07-12,14.00,14.20,13.90,13.90,769900,13.90
2012-07-11,14.35,14.55,14.15,14.20,478200,14.20
2012-07-10,14.10,14.55,14.05,14.50,763800,14.50
2012-07-09,14.40,14.45,14.10,14.10,680100,14.10
2012-07-06,14.55,14.60,14.15,14.35,794500,14.35
2012-07-05,14.50,14.85,14.45,14.55,1316900,14.55
2012-07-04,14.20,14.70,13.90,14.70,2343300,14.70
2012-07-03,14.15,14.65,14.05,14.20,2380500,14.20
2012-07-02,14.30,14.35,13.90,14.15,728100,14.15
2012-06-29,14.00,14.30,14.00,14.15,1408100,14.15
2012-06-28,14.15,14.35,13.75,13.90,3139700,13.90
2012-06-27,13.40,14.80,13.35,14.10,3638600,14.10
2012-06-26,13.30,13.45,13.25,13.35,572200,13.35
2012-06-25,13.35,13.60,13.20,13.25,372300,13.25
2012-06-22,13.40,13.60,13.30,13.35,595400,13.35
2012-06-21,13.50,14.15,13.30,13.55,927300,13.55
2012-06-20,13.10,13.50,13.05,13.35,844000,13.35
2012-06-19,13.00,13.30,13.00,13.20,783200,13.20
2012-06-18,13.70,13.80,12.80,13.15,1830300,13.15
2012-06-15,13.75,13.90,13.50,13.55,575600,13.55
2012-06-14,13.80,14.10,13.70,13.75,483300,13.75
2012-06-13,13.80,14.65,13.70,14.10,3401500,14.10
2012-06-12,13.60,13.80,13.45,13.70,914600,13.70
2012-06-11,13.80,13.90,13.55,13.60,572900,13.60
2012-06-08,13.70,13.80,13.10,13.70,912300,13.70
2012-06-07,13.45,14.00,13.45,13.70,2288700,13.70
2012-06-06,12.90,13.75,12.90,13.55,922400,13.55
2012-06-05,13.00,13.20,12.75,12.85,300900,12.85
2012-06-01,13.00,13.30,12.80,12.85,592200,12.85
2012-05-31,11.95,13.25,11.95,13.25,928700,13.25
2012-05-30,12.65,12.70,12.35,12.35,647100,12.35
2012-05-29,13.00,13.00,12.65,12.75,361000,12.75
2012-05-28,12.40,12.85,12.40,12.80,623400,12.80
2012-05-25,12.55,12.65,12.40,12.60,1117200,12.60
