/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,39.65,40.50,39.05,40.05,229300,40.05
2012-07-20,39.80,40.50,38.95,40.05,1455100,40.05
2012-07-19,40.65,40.70,38.70,39.80,2392600,39.80
2012-07-18,38.70,40.50,38.25,40.10,2316900,40.10
2012-07-17,40.80,41.00,38.55,39.20,2619300,39.20
2012-07-16,41.10,42.25,39.70,40.20,2428400,40.20
2012-07-13,41.00,41.90,40.45,41.45,3307200,41.45
2012-07-12,41.00,41.10,39.70,40.55,3752600,40.55
2012-07-11,39.70,41.60,39.55,41.00,7288700,41.00
2012-07-10,39.10,40.45,38.70,40.25,6128900,40.25
2012-07-09,37.10,39.80,36.90,39.50,12515500,39.50
2012-07-06,36.95,37.40,36.30,36.70,1435900,36.70
2012-07-05,35.05,37.35,35.05,37.00,5953400,37.00
2012-07-04,35.15,36.00,35.10,35.40,2063900,35.40
2012-07-03,35.80,36.10,34.75,35.00,1992900,35.00
2012-07-02,35.95,36.70,35.10,35.65,2708200,35.65
2012-06-29,34.20,36.60,34.20,36.50,3762100,36.50
2012-06-28,33.95,34.30,33.70,33.85,1855900,33.85
2012-06-27,34.20,34.55,33.35,34.00,1038600,34.00
2012-06-26,34.25,34.50,33.75,34.25,1221500,34.25
2012-06-25,34.40,34.90,33.90,34.00,1847900,34.00
2012-06-22,33.40,34.50,33.30,33.85,2422700,33.85
2012-06-21,33.00,34.00,32.80,33.95,1333600,33.95
2012-06-20,32.25,33.50,32.25,33.15,1395000,33.15
2012-06-19,32.80,32.95,32.30,32.55,1297000,32.55
2012-06-18,33.65,33.80,32.45,32.75,1668600,32.75
2012-06-15,33.50,33.50,33.05,33.35,1347700,33.35
2012-06-14,33.60,33.65,32.80,32.90,1043600,32.90
2012-06-13,33.55,33.95,33.25,33.55,1313800,33.55
2012-06-12,34.40,36.90,32.10,33.25,1002600,33.25
2012-06-11,33.00,33.90,32.85,33.20,2431100,33.20
2012-06-08,33.20,33.60,32.35,32.80,2122500,32.80
2012-06-07,33.80,34.35,32.85,33.25,3025000,33.25
2012-06-06,33.00,33.55,32.75,33.25,1443800,33.25
2012-06-05,32.50,33.10,32.25,32.60,1063200,32.60
2012-06-01,33.00,34.50,33.00,33.20,2807400,33.20
2012-05-31,33.60,34.50,33.35,33.95,1671500,33.95
2012-05-30,35.00,35.15,33.90,34.30,1515900,34.30
2012-05-29,35.50,36.15,34.90,35.05,3299500,35.05
2012-05-28,34.50,35.80,34.10,35.45,4474700,35.45
2012-05-25,34.00,34.75,33.40,33.90,4966600,33.90
2012-05-24,33.00,33.70,32.55,33.35,1732500,33.35
2012-05-23,33.60,33.90,32.75,32.95,1098800,32.95
2012-05-22,34.35,34.45,33.30,33.85,1315800,33.85
2012-05-21,33.45,34.35,32.50,33.65,1758800,33.65
2012-05-18,33.00,33.40,32.05,32.80,1151600,32.80
2012-05-17,33.70,34.40,32.80,33.00,1942600,33.00
2012-05-16,34.50,34.50,33.50,33.70,1264500,33.70
2012-05-14,35.50,35.90,34.05,34.40,1155300,34.40
2012-05-11,36.00,36.40,35.10,35.40,1561300,35.40
2012-05-10,37.10,37.75,35.40,36.05,1485900,36.05
2012-05-09,38.75,38.75,36.80,37.20,1034400,37.20
2012-05-08,39.65,39.85,37.60,37.80,1324100,37.80
2012-05-07,38.30,39.75,37.30,39.65,1297300,39.65
2012-05-04,39.10,39.40,38.05,39.00,1209200,39.00
2012-05-03,41.50,41.50,38.95,39.25,1861000,39.25
2012-05-02,41.00,41.75,41.00,41.50,3981100,41.50
2012-04-30,44.00,44.00,38.80,41.15,4208700,41.15
2012-04-27,39.25,39.85,38.10,38.55,1158300,38.55
2012-04-26,42.90,42.90,39.00,39.15,2251400,39.15
2012-04-25,39.55,40.25,38.60,40.00,4831300,40.00
2012-04-24,39.70,39.80,38.30,38.85,1087100,38.85
2012-04-23,40.95,41.20,38.85,38.85,1317100,38.85
2012-04-20,41.20,41.85,40.50,40.55,1317700,40.55
2012-04-19,44.00,44.00,40.10,41.35,1758800,41.35
2012-04-18,42.25,42.25,40.60,41.10,1832100,41.10
2012-04-17,41.50,42.00,40.65,41.25,1940800,41.25
2012-04-16,40.90,41.80,40.10,41.50,1079700,41.50
2012-04-13,42.90,42.90,40.10,40.45,1351400,40.45
2012-04-12,38.75,41.95,38.75,41.80,1908700,41.80
2012-04-11,40.50,40.85,39.95,40.40,1510500,40.40
2012-04-10,41.50,41.60,40.30,40.85,1294400,40.85
2012-04-09,42.25,42.80,41.00,41.10,2370800,41.10
2012-04-04,42.20,43.25,40.60,43.00,4441800,43.00
2012-04-03,43.90,43.90,42.00,42.20,3238100,42.20
2012-04-02,41.50,43.40,41.20,43.20,5609500,43.20
2012-03-30,38.00,41.30,37.50,40.70,5702900,40.70
2012-03-29,41.00,41.00,36.80,37.30,2648800,37.30
2012-03-28,38.50,38.90,37.60,37.75,2066000,37.75
2012-03-27,40.05,40.60,38.50,38.75,2269200,38.75
2012-03-26,41.00,42.00,39.25,39.45,2137700,39.45
2012-03-23,42.00,42.25,41.20,41.75,1405200,41.75
2012-03-21,42.45,42.70,41.40,42.60,1949400,42.60
2012-03-20,42.60,42.70,41.50,41.75,1376000,41.75
2012-03-19,43.65,44.20,42.30,42.75,1902700,42.75
2012-03-16,43.65,44.70,43.25,43.55,2239200,43.55
2012-03-15,44.75,45.10,43.30,43.60,1548900,43.60
2012-03-14,45.40,45.90,44.70,45.00,1409600,45.00
2012-03-13,44.90,45.25,44.55,44.95,869600,44.95
2012-03-12,45.55,46.00,44.15,44.20,2342800,44.20
2012-03-09,43.50,44.90,43.50,44.75,1381700,44.75
2012-03-07,43.55,44.50,42.80,43.25,1864300,43.25
2012-03-06,44.20,45.65,42.60,43.55,2025300,43.55
2012-03-05,50.30,50.30,41.50,44.25,2092100,44.25
2012-03-02,47.05,47.50,45.85,46.00,3024100,46.00
2012-03-01,47.50,48.25,47.00,47.30,2051500,47.30
2012-02-29,48.90,49.40,46.75,47.40,6657200,47.40
2012-02-28,48.40,48.40,47.10,48.00,1655500,48.00
2012-02-27,49.70,49.80,46.50,46.80,2435600,46.80
2012-02-24,51.20,51.40,48.50,49.05,2047000,49.05
2012-02-23,50.80,51.20,49.45,50.80,2449000,50.80
2012-02-22,53.50,54.10,50.40,50.55,2459500,50.55
2012-02-21,53.85,54.60,52.65,53.35,3200300,53.35
2012-02-17,54.45,55.70,52.70,53.25,5458600,53.25
2012-02-16,52.80,54.50,52.55,53.75,3768000,53.75
2012-02-15,52.40,54.30,52.40,53.50,5797800,53.50
2012-02-14,51.00,52.30,50.15,52.00,3684900,52.00
2012-02-13,50.60,51.20,49.40,50.45,2605800,50.45
2012-02-10,52.90,52.90,49.90,50.50,2797500,50.50
2012-02-09,50.70,52.40,49.05,52.10,4121800,52.10
2012-02-08,49.60,50.35,49.10,49.85,1920400,49.85
2012-02-07,52.00,52.00,49.20,49.55,2095800,49.55
2012-02-06,52.50,52.85,50.85,50.90,1896300,50.90
2012-02-03,52.40,52.40,51.15,51.50,1656900,51.50
2012-02-02,53.35,53.75,51.55,51.70,1746700,51.70
2012-02-01,52.00,53.70,51.40,52.60,2638500,52.60
2012-01-31,50.00,52.75,49.65,52.10,5254000,52.10
2012-01-30,53.45,54.05,50.20,50.70,1276100,50.70
2012-01-27,53.90,55.20,53.20,53.60,2862900,53.60
2012-01-25,52.20,53.75,51.20,53.65,4264500,53.65
2012-01-24,51.50,52.40,50.00,51.35,1821400,51.35
2012-01-23,51.80,52.40,50.65,50.95,2208700,50.95
2012-01-20,50.80,52.45,50.00,51.30,3398700,51.30
2012-01-19,49.90,50.55,49.40,50.10,1607200,50.10
2012-01-18,49.85,49.85,48.40,49.20,1156300,49.20
2012-01-17,48.15,50.20,48.15,49.15,1298500,49.15
2012-01-16,49.30,49.40,48.45,48.80,697800,48.80
2012-01-13,48.10,50.50,47.75,49.30,2946700,49.30
2012-01-12,48.65,49.25,47.85,48.05,1265300,48.05
2012-01-11,48.75,49.50,48.60,48.85,1782300,48.85
2012-01-10,47.50,48.55,47.25,48.15,1514100,48.15
2012-01-06,48.80,48.80,46.00,46.55,1814100,46.55
2012-01-05,48.60,48.90,47.65,48.00,1110900,48.00
2012-01-04,49.00,49.30,47.15,48.20,1993700,48.20
2012-01-03,48.90,49.40,47.55,48.55,2542700,48.55
2012-01-02,52.30,52.95,46.30,48.00,3183400,48.00
2011-12-30,52.80,53.45,51.10,52.30,751800,52.30
2011-12-29,50.60,52.50,50.25,52.00,1005000,52.00
2011-12-28,51.75,52.85,50.15,50.90,678500,50.90
2011-12-27,54.45,54.45,51.65,52.00,474700,52.00
2011-12-26,53.20,54.75,52.80,53.75,594300,53.75
2011-12-23,51.45,54.10,51.05,53.40,1338100,53.40
2011-12-22,50.05,51.90,49.15,51.70,1032900,51.70
2011-12-21,50.00,51.10,49.00,51.10,679900,51.10
2011-12-20,50.00,50.90,48.15,48.40,1311200,48.40
2011-12-19,49.55,51.95,46.20,50.75,3707000,50.75
2011-12-16,53.10,54.50,50.20,51.40,1288300,51.40
2011-12-15,52.00,53.55,51.25,52.60,630700,52.60
2011-12-14,53.60,54.20,52.15,52.70,747800,52.70
2011-12-13,52.20,54.15,51.20,54.15,845600,54.15
2011-12-12,56.20,56.70,52.20,52.40,1403100,52.40
2011-12-09,55.30,56.60,53.45,55.60,807900,55.60
