/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2014-01-27,74.00,74.30,69.40,69.70,831900,69.70
2014-01-24,77.65,78.35,75.30,75.95,1421000,75.95
2014-01-23,75.85,78.05,75.30,77.50,459500,77.50
2014-01-22,75.90,76.60,75.20,76.15,266700,76.15
2014-01-21,76.00,76.75,75.25,75.60,266500,75.60
2014-01-20,74.45,75.85,73.95,75.20,285700,75.20
2014-01-17,77.90,77.90,75.30,75.50,245100,75.50
2014-01-16,79.00,79.20,77.15,77.35,412800,77.35
2014-01-15,76.70,78.80,76.15,78.30,536600,78.30
2014-01-14,76.00,77.65,75.55,76.05,308600,76.05
2014-01-13,75.10,76.85,74.60,76.20,437100,76.20
2014-01-10,75.90,76.95,74.00,74.45,664100,74.45
2014-01-09,78.00,79.10,75.15,75.35,635600,75.35
2014-01-08,76.60,78.70,75.00,77.85,1050800,77.85
2014-01-07,76.95,77.20,74.60,76.40,580900,76.40
2014-01-06,77.60,77.60,75.65,76.45,367600,76.45
2014-01-03,75.55,78.10,74.50,77.55,969300,77.55
2014-01-02,80.45,81.60,75.40,75.75,1032200,75.75
2014-01-01,76.00,80.50,75.50,80.10,1224700,80.10
2013-12-31,74.90,76.20,74.20,75.50,332400,75.50
2013-12-30,77.20,77.65,75.10,75.40,336400,75.40
2013-12-27,76.40,77.90,76.30,76.90,309100,76.90
2013-12-26,76.05,78.00,75.80,76.25,516100,76.25
2013-12-25,76.45,76.45,76.45,76.45,000,76.45
2013-12-24,77.20,77.45,76.00,76.45,320000,76.45
2013-12-23,75.35,77.75,75.35,76.90,579700,76.90
2013-12-20,74.00,75.65,73.50,75.25,471500,75.25
2013-12-19,77.15,77.45,73.10,73.60,701100,73.60
2013-12-18,72.20,76.95,72.20,76.05,808200,76.05
2013-12-17,75.00,75.50,72.75,73.00,376300,73.00
2013-12-16,74.75,901.65,73.50,73.90,398900,73.90
2013-12-13,76.75,76.75,74.55,74.90,406900,74.90
2013-12-12,78.50,78.75,76.80,77.15,437700,77.15
2013-12-11,80.35,80.35,78.05,78.95,659600,78.95
2013-12-10,80.10,81.30,77.90,79.70,794600,79.70
2013-12-09,82.50,83.00,79.80,80.55,1002800,80.55
2013-12-06,75.40,79.65,74.65,79.20,1739900,79.20
2013-12-05,76.50,76.50,74.80,75.20,492300,75.20
2013-12-04,73.90,74.90,73.00,73.55,506300,73.55
2013-12-03,75.50,76.00,74.55,74.75,433900,74.75
2013-12-02,76.25,77.25,75.85,76.20,544200,76.20
2013-11-29,74.00,76.05,74.00,75.60,724100,75.60
2013-11-28,74.85,75.10,73.35,74.60,975600,74.60
2013-11-27,73.00,74.55,71.40,74.00,883300,74.00
2013-11-26,74.00,75.40,72.05,72.40,635600,72.40
2013-11-25,73.40,75.45,72.65,74.70,740000,74.70
2013-11-22,75.00,75.10,72.15,72.65,595500,72.65
2013-11-21,76.30,76.40,73.60,74.10,746100,74.10
2013-11-20,78.00,79.20,76.40,76.75,925700,76.75
2013-11-19,78.25,80.25,77.30,78.55,1438300,78.55
2013-11-18,75.00,78.00,74.65,77.65,1112000,77.65
2013-11-15,73.65,73.65,73.65,73.65,000,73.65
2013-11-14,73.25,74.95,73.10,73.65,688000,73.65
2013-11-13,72.25,74.25,70.20,71.55,1085800,71.55
2013-11-12,72.80,74.70,72.50,72.80,761400,72.80
2013-11-11,74.40,75.70,71.85,72.80,1453900,72.80
2013-11-08,70.70,78.00,70.40,74.75,3931000,74.75
2013-11-07,73.55,76.00,70.70,71.00,834900,71.00
