/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,1556.30,1579.90,1556.30,1566.60,85000,1569.00
2012-07-20,1569.95,1579.90,1556.30,1569.00,85000,1569.00
2012-07-19,1597.95,1599.90,1565.05,1574.20,117800,1574.20
2012-07-18,1565.00,1572.10,1561.20,1565.90,95800,1565.90
2012-07-17,1560.50,1583.00,1560.50,1563.00,59900,1563.00
2012-07-16,1560.05,1588.90,1560.05,1570.00,51500,1570.00
2012-07-13,1531.25,1584.85,1531.25,1572.00,127700,1572.00
2012-07-12,1562.00,1590.00,1562.00,1565.50,26300,1565.50
2012-07-11,1563.25,1598.90,1552.10,1588.00,95800,1588.00
2012-07-10,1565.05,1570.00,1538.20,1555.00,128200,1555.00
2012-07-09,1534.90,1575.90,1517.20,1555.30,88400,1555.30
2012-07-06,1544.95,1554.00,1532.00,1545.00,49300,1545.00
2012-07-05,1535.95,1552.20,1527.00,1550.70,91900,1550.70
2012-07-04,1541.00,1545.95,1528.00,1543.95,72100,1543.95
2012-07-03,1518.00,1545.00,1515.45,1540.25,132600,1540.25
2012-07-02,1515.00,1534.00,1503.40,1515.50,58900,1515.50
2012-06-29,1520.00,1524.80,1491.40,1513.00,119700,1513.00
2012-06-28,1462.25,1549.00,1462.25,1505.00,216700,1505.00
2012-06-27,1466.15,1486.00,1459.20,1464.10,19100,1464.10
2012-06-26,1475.00,1484.20,1461.15,1480.20,117200,1480.20
2012-06-25,1455.30,1488.00,1455.00,1465.10,97100,1465.10
2012-06-22,1401.00,1479.00,1364.05,1463.80,312400,1463.80
2012-06-21,1424.95,1476.90,1414.00,1472.00,182700,1472.00
2012-06-20,1411.95,1434.45,1397.70,1424.00,369800,1424.00
2012-06-19,1425.25,1456.90,1422.15,1447.90,89000,1447.90
2012-06-18,1460.00,1471.95,1426.00,1444.95,150600,1444.95
2012-06-15,1429.00,1461.75,1429.00,1457.20,146400,1457.20
2012-06-14,1428.95,1435.00,1418.40,1432.00,122200,1432.00
2012-06-13,1415.00,1428.45,1410.00,1421.60,121400,1421.60
2012-06-12,1363.60,1414.80,1363.60,1412.80,209000,1412.80
2012-06-11,1404.95,1412.00,1380.00,1380.00,121500,1380.00
2012-06-08,1383.35,1405.00,1383.35,1403.95,143100,1403.95
2012-06-07,1411.05,1420.00,1381.00,1386.00,65000,1386.00
2012-06-06,1390.20,1408.00,1389.05,1395.60,170100,1395.60
2012-06-05,1398.00,1419.05,1377.25,1381.15,66700,1381.15
2012-06-01,1404.95,1489.85,1400.25,1469.90,608800,1469.90
2012-05-31,1382.35,1473.65,1371.45,1440.00,632900,1440.00
