Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,112.10,112.90,107.70,108.05,2491300,108.05
2014-01-28,110.00,114.00,108.50,110.75,4123900,110.75
2014-01-27,113.85,113.85,110.10,110.60,2909300,110.60
2014-01-24,119.00,119.40,115.50,116.00,2763800,116.00
2014-01-23,122.00,122.65,119.80,120.00,2933700,120.00
2014-01-22,122.05,123.15,121.70,122.00,2281900,122.00
2014-01-21,122.00,124.00,121.40,122.75,1771500,122.75
2014-01-20,120.00,121.95,119.20,121.50,1749000,121.50
2014-01-17,123.20,124.95,121.60,122.05,1839600,119.35
2014-01-16,125.40,126.00,123.35,123.80,1766400,121.06
2014-01-15,122.85,125.50,122.85,125.05,2954400,122.28
2014-01-14,125.00,125.20,122.00,122.25,2419200,119.55
2014-01-13,124.40,126.05,122.25,124.25,2757000,121.50
2014-01-10,126.50,128.30,122.70,123.85,4257300,121.11
2014-01-09,130.00,130.45,125.00,125.75,3496100,122.97
2014-01-08,125.00,130.40,124.50,129.30,5847300,126.44
2014-01-07,127.25,127.35,122.60,123.90,3283900,121.16
2014-01-06,128.50,129.20,125.00,126.00,2062500,123.21
2014-01-03,126.00,128.90,124.10,128.55,3565800,125.71
2014-01-02,131.30,136.00,125.50,126.60,7505700,123.80
2014-01-01,131.10,132.00,129.50,131.10,2212900,128.20
2013-12-31,128.40,130.90,126.55,130.40,3536300,127.52
2013-12-30,130.90,132.25,127.10,127.55,3020600,124.73
2013-12-27,129.40,132.45,129.20,130.10,4012900,127.22
2013-12-26,128.75,133.40,128.15,129.10,5055000,126.24
2013-12-25,128.80,128.80,128.80,128.80,000,125.95
2013-12-24,129.60,129.80,127.15,128.80,2843000,125.95
2013-12-23,122.70,129.90,122.70,128.45,5343700,125.61
2013-12-20,118.40,124.00,118.40,123.15,3739300,120.43
2013-12-19,122.00,122.70,118.00,118.80,3677900,116.17
2013-12-18,114.50,121.80,114.35,120.55,6473600,117.88
2013-12-17,118.60,119.45,114.50,115.05,3129000,112.50
2013-12-16,119.00,120.20,116.70,117.50,3400800,114.90
2013-12-13,121.50,121.90,118.80,119.00,2828400,116.37
2013-12-12,125.00,125.50,122.15,122.60,3951800,119.89
2013-12-11,126.40,127.40,124.05,125.30,3624300,122.53
2013-12-10,132.00,132.00,125.10,127.05,5162500,124.24
2013-12-09,132.20,134.40,130.00,132.15,6400900,129.23
2013-12-06,123.30,128.00,121.65,127.50,8119800,124.68
2013-12-05,121.25,124.00,120.75,122.80,7018300,120.08
2013-12-04,118.70,119.40,117.50,118.25,3787100,115.63
2013-12-03,121.00,121.20,118.65,119.00,2425900,116.37
2013-12-02,120.00,122.60,120.00,120.80,3241200,118.13
2013-11-29,116.00,120.90,115.10,120.25,4617100,117.59
2013-11-28,117.90,117.95,116.50,117.10,3456200,114.51
2013-11-27,118.00,118.25,115.30,116.45,4186300,113.87
2013-11-26,121.30,121.30,116.80,117.25,5471200,114.66
2013-11-25,120.00,122.80,119.10,121.65,4461100,118.96
2013-11-22,122.00,123.50,118.10,119.30,3412400,116.66
2013-11-21,125.95,125.95,120.25,121.05,3789100,118.37
2013-11-20,130.00,131.20,125.70,126.75,4497600,123.95
2013-11-19,130.50,132.50,128.50,130.95,4648000,128.05
2013-11-18,125.25,131.80,125.15,130.00,3962000,127.12
2013-11-15,122.80,122.80,122.80,122.80,000,120.08
2013-11-14,120.15,123.90,120.15,122.80,2745800,120.08
2013-11-13,120.50,124.25,118.15,118.50,5892800,115.88
2013-11-12,123.60,126.50,120.70,121.90,3360600,119.20
