Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,23.50,23.65,23.00,23.30,13128300,23.35
2012-07-20,23.50,23.70,23.00,23.35,13163800,23.35
2012-07-19,23.50,24.15,23.40,23.50,11118700,23.50
2012-07-18,23.00,23.45,22.65,23.30,14761100,23.30
2012-07-17,23.90,24.20,22.95,23.00,17900700,23.00
2012-07-16,24.50,24.75,23.45,23.50,17624500,23.50
2012-07-13,25.25,25.65,24.05,24.40,27946800,24.40
2012-07-12,23.55,25.65,23.40,25.10,37594300,25.10
2012-07-11,23.80,24.70,23.50,24.15,21493300,24.15
2012-07-10,23.20,24.25,23.20,24.00,10796200,24.00
2012-07-09,23.75,23.75,22.80,23.15,11836900,23.15
2012-07-06,24.20,24.50,23.50,23.85,12759800,23.85
2012-07-05,24.00,24.45,23.80,24.15,12527400,24.15
2012-07-04,24.00,24.40,23.65,24.05,21049400,24.05
2012-07-03,23.90,24.10,23.20,23.95,25240400,23.95
2012-07-02,22.05,23.80,22.00,23.35,25037700,23.35
2012-06-29,21.35,22.20,21.30,22.00,18037900,22.00
2012-06-28,21.15,21.25,20.80,21.05,10249600,21.05
2012-06-27,21.35,21.40,20.95,21.00,7471300,21.00
2012-06-26,21.15,21.30,20.95,21.10,10146300,21.10
2012-06-25,21.70,22.10,21.05,21.10,15113500,21.10
2012-06-22,21.90,21.90,20.90,21.50,15247300,21.50
2012-06-21,20.15,21.80,20.15,21.60,16760900,21.60
2012-06-20,20.95,21.00,20.55,20.75,8765700,20.75
2012-06-19,21.00,21.10,20.35,20.80,18734500,20.80
2012-06-18,21.80,22.05,20.45,20.90,23774300,20.90
2012-06-15,21.50,22.10,21.20,21.45,16782200,21.45
2012-06-14,22.75,23.05,21.40,21.40,18290700,21.40
2012-06-13,23.50,23.80,22.60,22.80,15006900,22.80
2012-06-12,22.50,23.65,22.25,23.35,15135600,23.35
2012-06-11,23.05,23.75,22.50,22.55,15735800,22.55
2012-06-08,22.10,22.95,21.85,22.90,18311000,22.90
2012-06-07,22.15,22.70,21.80,22.25,12831500,22.25
2012-06-06,21.05,22.20,20.95,21.90,13199600,21.90
2012-06-05,21.55,21.75,20.70,20.85,12511400,20.85
2012-06-01,21.70,21.95,21.10,21.20,16172000,21.20
2012-05-31,20.50,22.10,20.15,21.85,28471700,21.85
2012-05-30,22.15,22.15,20.50,20.70,11779900,20.70
2012-05-29,21.95,22.60,21.80,22.05,12292700,22.05
2012-05-28,21.50,22.35,21.25,22.10,10124500,22.10
2012-05-25,21.20,21.80,21.10,21.40,9565600,21.40
2012-05-24,21.30,21.85,20.80,21.80,12825000,21.80
2012-05-23,21.05,21.75,20.80,21.20,14296700,21.20
2012-05-22,21.80,22.00,21.10,21.25,10782700,21.25
2012-05-21,21.45,21.90,21.10,21.55,13544600,21.55
2012-05-18,21.00,21.85,20.40,21.60,18516900,21.60
2012-05-17,21.55,21.85,20.75,21.35,29724000,21.35
2012-05-16,19.80,22.70,19.20,21.30,44074300,21.30
2012-05-14,20.65,20.70,19.70,20.25,15243200,20.25
2012-05-11,20.85,21.25,20.25,20.45,21022800,20.45
2012-05-10,20.65,22.40,20.65,21.35,17901300,21.35
2012-05-09,22.25,22.25,21.45,21.85,12711600,21.85
2012-05-08,22.55,23.35,21.90,22.00,23303400,22.00
2012-05-07,24.00,24.35,22.00,22.90,48332500,22.90
2012-05-04,25.35,25.55,24.20,24.55,14423500,24.55
2012-05-03,25.60,26.15,25.00,25.55,11276300,25.55
2012-05-02,27.00,27.10,25.55,25.65,18069800,25.65
2012-04-30,27.10,27.35,25.50,26.55,17074200,26.55
2012-04-27,26.50,26.75,25.25,26.00,15144100,26.00
2012-04-26,27.50,27.60,26.20,26.30,13713800,26.30
2012-04-25,28.15,28.45,27.15,27.15,9226800,27.15
2012-04-24,27.55,28.55,27.45,28.35,7697800,28.35
2012-04-23,28.30,28.40,27.15,27.50,10432100,27.50
2012-04-20,28.50,28.75,27.50,28.10,10417500,28.10
2012-04-19,29.15,29.25,28.45,28.60,9530600,28.60
2012-04-18,29.80,30.15,28.55,29.00,12224600,29.00
2012-04-17,28.50,29.70,28.00,29.60,17996900,29.60
2012-04-16,29.90,29.90,28.20,28.80,8536300,28.80
2012-04-13,29.90,30.30,28.25,28.40,16015000,28.40
2012-04-12,28.70,30.15,28.55,29.50,23648700,29.50
2012-04-11,28.10,28.90,27.80,28.45,8823200,28.45
2012-04-10,28.50,28.70,27.75,28.40,9392200,28.40
2012-04-09,28.60,29.05,28.10,28.15,9281400,28.15
2012-04-04,29.35,29.95,28.70,29.25,10932400,29.25
2012-04-03,29.75,30.40,29.50,30.10,11385100,30.10
2012-04-02,29.00,29.50,28.65,29.35,10047200,29.35
2012-03-30,27.75,29.05,27.65,29.00,11079700,29.00
2012-03-29,27.50,27.55,26.75,27.50,18186400,27.50
2012-03-28,28.50,28.80,27.50,27.80,10909900,27.80
2012-03-27,28.70,29.80,28.40,28.95,22686000,28.95
2012-03-26,29.50,30.10,28.15,28.35,16143200,28.35
2012-03-23,28.75,30.30,28.10,30.25,14402100,30.25
2012-03-21,28.95,30.75,28.50,30.60,14832300,30.60
2012-03-20,28.00,29.35,27.55,29.00,14646500,29.00
2012-03-19,29.50,29.65,27.40,27.80,15351800,27.80
2012-03-16,30.00,30.80,29.05,29.15,15526800,29.15
2012-03-15,30.15,30.85,29.50,29.90,14446700,29.90
2012-03-14,31.55,31.75,30.60,30.95,13731400,30.95
2012-03-13,30.50,31.40,30.50,31.15,12325800,31.15
