Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,171.50,171.50,169.30,170.05,51700,170.25
2012-07-20,171.50,171.50,169.15,170.25,52000,170.25
2012-07-19,172.00,173.20,170.40,171.50,38700,171.50
2012-07-18,171.00,172.30,170.05,171.40,75600,171.40
2012-07-17,170.20,172.45,169.10,171.80,76100,171.80
2012-07-16,173.90,173.90,171.10,171.45,57000,171.45
2012-07-13,175.40,175.80,173.20,173.85,124500,173.85
2012-07-12,173.75,177.25,173.00,173.75,281400,173.75
2012-07-11,172.05,176.50,172.05,174.25,94400,174.25
2012-07-10,172.60,173.90,171.50,173.30,32600,173.30
2012-07-09,173.65,173.80,170.80,171.00,102200,171.00
2012-07-06,177.90,178.25,173.85,173.85,69300,173.85
2012-07-05,178.50,179.35,175.50,175.60,136300,175.60
2012-07-04,173.25,179.45,173.15,177.50,467400,177.50
2012-07-03,171.90,174.95,171.35,172.85,198300,172.85
2012-07-02,171.85,171.90,170.25,170.80,87800,170.80
2012-06-29,171.40,172.30,170.50,170.50,95500,170.50
2012-06-28,170.85,170.85,168.20,170.65,491700,170.65
2012-06-27,173.00,173.00,169.10,169.20,113300,169.20
2012-06-26,170.80,170.90,169.15,169.45,83000,169.45
2012-06-25,171.90,172.65,169.20,170.50,85100,170.50
2012-06-22,170.35,172.00,170.00,170.60,44600,170.60
2012-06-21,169.60,171.85,167.25,171.85,573900,171.85
2012-06-20,171.10,171.95,170.10,170.45,437500,170.45
2012-06-19,171.70,172.00,170.05,170.15,407400,170.15
2012-06-18,174.40,175.05,170.35,171.15,1123400,171.15
2012-06-15,173.90,175.50,173.05,173.50,325800,173.50
2012-06-14,173.25,175.90,172.05,172.75,1149800,172.75
2012-06-13,177.00,177.75,173.30,173.30,118200,173.30
2012-06-12,174.85,178.55,174.00,176.40,448300,176.40
2012-06-11,173.50,183.80,172.75,174.90,3024300,174.90
2012-06-08,169.30,171.60,169.25,169.30,912900,169.30
2012-06-07,171.65,171.90,169.50,169.90,352100,169.90
2012-06-06,169.00,172.00,168.00,170.55,154100,170.55
2012-06-05,170.00,170.00,167.60,168.50,32900,168.50
2012-06-01,168.05,169.70,167.60,168.45,103100,168.45
2012-05-31,167.60,170.00,167.05,168.40,1419700,168.40
2012-05-30,168.40,170.00,168.25,168.25,330800,168.25
2012-05-29,175.00,175.00,169.20,169.55,245300,169.55
2012-05-28,174.55,174.80,170.20,173.30,207800,173.30
2012-05-25,175.10,177.40,173.00,174.55,304200,174.55
2012-05-24,172.00,174.80,171.00,173.85,151000,173.85
2012-05-23,171.20,172.00,169.20,171.45,144700,171.45
2012-05-22,173.70,174.40,170.10,170.95,92500,170.95
2012-05-21,174.85,175.95,172.40,173.60,84500,173.60
2012-05-18,173.00,176.00,173.00,174.10,106500,174.10
2012-05-17,171.10,177.20,170.00,176.80,199900,176.80
2012-05-16,166.00,173.40,165.55,171.50,305200,171.50
2012-05-14,169.00,171.50,168.50,168.80,65100,168.80
2012-05-11,168.15,172.25,168.15,171.00,208900,171.00
2012-05-10,169.30,171.00,168.70,169.05,48000,169.05
2012-05-09,169.00,171.10,168.80,169.50,52700,169.50
2012-05-08,171.70,172.40,169.00,169.00,29500,169.00
2012-05-07,171.00,171.90,165.60,170.75,158300,170.75
2012-05-04,171.00,172.80,170.00,170.50,110700,170.50
2012-05-03,170.45,172.00,169.70,171.35,34500,171.35
2012-05-02,171.55,173.40,170.35,171.00,57100,171.00
2012-04-30,171.85,172.50,170.05,172.50,69200,172.50
2012-04-27,167.00,170.90,166.95,169.60,84300,169.60
2012-04-26,169.65,169.80,166.70,168.25,1008600,168.25
2012-04-25,168.05,170.80,167.55,168.15,57200,168.15
2012-04-24,171.00,171.00,168.15,168.70,40600,168.70
2012-04-23,170.60,171.40,168.15,169.35,79700,169.35
2012-04-20,171.10,171.95,170.05,170.30,73300,170.30
2012-04-19,171.25,172.35,170.40,170.40,44000,170.40
2012-04-18,172.00,173.95,170.40,170.45,43700,170.45
2012-04-17,172.50,172.50,170.00,171.00,51300,171.00
2012-04-16,170.00,171.80,170.00,171.10,43300,171.10
2012-04-13,173.60,173.85,170.35,171.00,47300,171.00
2012-04-12,172.80,174.50,171.55,173.00,127300,173.00
2012-04-11,173.00,173.35,171.05,171.85,68600,171.85
2012-04-10,172.50,174.40,171.15,173.00,150200,173.00
2012-04-09,174.65,174.95,171.05,171.25,74800,171.25
2012-04-04,173.00,175.35,172.10,173.25,137200,173.25
2012-04-03,173.90,174.00,172.20,172.20,66900,172.20
2012-04-02,170.15,174.00,170.15,173.00,183700,173.00
2012-03-30,172.00,172.20,169.00,171.00,56500,171.00
2012-03-29,172.25,172.50,167.55,168.55,1300800,168.55
2012-03-28,174.95,174.95,171.30,172.75,115500,172.75
2012-03-27,173.55,175.25,171.80,174.70,152100,174.70
2012-03-26,174.90,175.35,171.45,172.10,228600,172.10
2012-03-23,173.10,174.95,171.30,173.65,320500,173.65
2012-03-21,177.35,179.80,173.50,178.70,196100,178.70
2012-03-20,173.60,179.20,173.55,176.25,269900,176.25
2012-03-19,175.80,175.85,172.25,174.25,109300,174.25
2012-03-16,178.40,178.40,172.10,174.60,101400,174.60
2012-03-15,178.10,179.25,175.90,176.70,67400,176.70
2012-03-14,182.95,183.55,177.15,178.20,210500,178.20
2012-03-13,180.95,183.45,179.25,181.55,234800,181.55
2012-03-12,181.15,182.60,177.20,178.30,114400,178.30
2012-03-09,177.50,180.80,177.05,180.25,105400,180.25
2012-03-07,177.85,179.45,174.80,176.05,113800,176.05
2012-03-06,183.80,185.35,177.35,177.70,213100,177.70
2012-03-05,186.45,186.55,182.10,182.40,190300,182.40
2012-03-02,187.90,195.40,185.60,187.50,745900,187.50
2012-03-01,182.00,186.70,181.35,183.20,321100,183.20
2012-02-29,188.70,191.05,183.15,185.25,402300,185.25
2012-02-28,184.55,189.40,184.35,187.40,322400,187.40
2012-02-27,188.00,193.60,182.00,182.50,715500,182.50
2012-02-24,185.90,195.50,184.00,189.50,2274200,189.50
2012-02-23,174.95,184.50,174.35,184.50,1262300,184.50
2012-02-22,179.60,183.85,173.10,174.35,885000,174.35
2012-02-21,174.50,181.85,174.40,178.50,430200,178.50
2012-02-17,178.30,178.95,173.55,174.50,164700,174.50
2012-02-16,175.00,180.00,175.00,176.50,193200,176.50
2012-02-15,173.40,180.40,171.90,177.25,743300,177.25
2012-02-14,173.15,173.95,171.50,172.40,106000,172.40
2012-02-13,174.00,174.75,172.05,173.85,100800,173.85
2012-02-10,175.85,176.05,171.95,173.05,110700,173.05
2012-02-09,173.25,176.55,173.25,174.00,281900,174.00
2012-02-08,173.35,174.90,172.10,174.50,94700,174.50
2012-02-07,174.75,176.00,170.50,171.95,171500,171.95
2012-02-06,175.95,177.75,172.00,173.35,231900,173.35
2012-02-03,173.00,176.25,170.00,174.50,253100,174.50
2012-02-02,174.90,176.00,166.85,171.20,952500,171.20
2012-02-01,175.10,176.00,172.30,173.50,883600,173.50
2012-01-31,172.20,176.15,170.10,176.00,168100,176.00
2012-01-30,175.70,177.45,171.10,171.50,246300,171.50
2012-01-27,179.80,179.80,172.20,177.05,570800,177.05
2012-01-25,186.00,196.00,173.25,175.00,10183800,175.00
