/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,37.50,37.75,36.70,36.90,322600,36.90
2014-01-28,37.50,38.20,37.05,37.30,412600,37.30
2014-01-27,38.10,38.20,37.50,37.90,599500,36.90
2014-01-24,38.70,39.00,38.30,38.50,306000,37.48
2014-01-23,38.85,39.10,38.70,38.90,292500,37.87
2014-01-22,39.00,39.10,38.85,38.90,182400,37.87
2014-01-21,39.25,39.50,38.80,38.95,301300,37.92
2014-01-20,39.00,39.35,39.00,39.05,194900,38.02
2014-01-17,39.65,39.75,38.90,39.00,440300,37.97
2014-01-16,39.30,39.90,39.30,39.45,511300,38.41
2014-01-15,39.50,39.50,39.05,39.20,369200,38.17
2014-01-14,38.70,39.20,38.70,38.90,309900,37.87
2014-01-13,39.00,39.60,38.65,38.85,453800,37.82
2014-01-10,39.75,40.05,39.00,39.20,543000,38.17
2014-01-09,40.25,40.25,39.50,39.75,494500,38.70
2014-01-08,39.60,40.40,39.25,40.05,726400,38.99
2014-01-07,40.00,40.20,39.15,39.35,520100,38.31
2014-01-06,40.15,40.25,39.70,39.95,380100,38.90
2014-01-03,40.00,40.95,39.80,40.15,1263400,39.09
2014-01-02,40.00,41.50,39.60,39.95,2321300,38.90
2014-01-01,39.40,40.00,39.30,39.75,706300,38.70
2013-12-31,39.40,39.45,39.05,39.30,496000,38.26
2013-12-30,39.40,39.45,38.90,39.10,512200,38.07
2013-12-27,38.70,39.70,38.70,39.05,950000,38.02
2013-12-26,38.80,39.20,38.65,38.75,1225800,37.73
2013-12-25,38.65,38.65,38.65,38.65,000,37.63
2013-12-24,39.00,39.40,38.55,38.65,533800,37.63
2013-12-23,38.50,39.10,38.50,38.80,421900,37.78
2013-12-20,38.00,38.75,38.00,38.50,606600,37.48
2013-12-19,39.20,39.20,38.00,38.25,498400,37.24
2013-12-18,38.05,39.15,37.70,38.75,823800,37.73
2013-12-17,38.75,39.20,38.05,38.35,374100,37.34
2013-12-16,38.25,39.10,38.25,38.65,309400,37.63
2013-12-13,39.00,39.20,38.55,38.75,429100,37.73
2013-12-12,39.40,39.70,39.10,39.30,344500,38.26
2013-12-11,39.60,39.80,39.25,39.55,462300,38.51
2013-12-10,40.30,40.35,39.50,39.60,567700,38.56
2013-12-09,41.45,41.45,40.15,40.30,956000,39.24
2013-12-06,39.65,40.30,39.55,39.95,833500,38.90
2013-12-05,39.90,40.10,39.50,39.65,616100,38.60
2013-12-04,39.00,39.70,39.00,39.15,488600,38.12
2013-12-03,39.60,40.00,39.25,39.40,541400,38.36
2013-12-02,39.60,40.10,39.55,39.85,988900,38.80
2013-11-29,39.00,39.65,38.70,39.40,1567800,38.36
2013-11-28,39.00,39.20,37.80,38.35,5192100,37.34
2013-11-27,39.50,39.60,38.20,38.70,1763000,37.68
2013-11-26,40.10,40.35,39.10,39.30,2292300,38.26
2013-11-25,40.10,40.60,39.40,40.10,1714100,39.04
2013-11-22,40.70,40.80,39.25,39.70,1393300,38.65
2013-11-21,41.50,41.90,40.15,40.30,1457400,39.24
2013-11-20,42.05,42.75,41.25,41.60,1111100,40.50
2013-11-19,42.70,43.00,41.60,42.30,1314300,41.18
2013-11-18,42.25,42.80,41.85,42.60,1053000,41.48
2013-11-15,41.60,41.60,41.60,41.60,000,40.50
2013-11-14,41.60,42.55,41.30,41.60,1300800,40.50
2013-11-13,41.25,42.20,40.60,40.95,1427900,39.87
2013-11-12,42.20,42.90,41.25,41.40,1529600,40.31
2013-11-11,42.10,43.20,40.65,42.15,4250600,41.04
2013-11-08,42.00,42.95,41.60,42.45,1705400,41.33
2013-11-07,43.75,44.20,41.80,41.95,2215000,40.84
2013-11-06,45.30,45.35,43.20,43.45,2227900,42.30
2013-11-05,43.35,46.15,43.05,44.60,4390200,43.42
2013-11-04,42.35,42.35,42.35,42.35,000,41.23
2013-11-01,41.10,43.80,41.10,42.35,4514600,41.23
2013-10-31,38.75,41.55,38.40,41.30,2994900,40.21
2013-10-30,39.60,39.90,38.70,38.85,974700,37.82
2013-10-29,38.50,39.85,37.90,39.45,1371900,38.41
2013-10-28,39.20,39.60,38.40,38.60,620500,37.58
2013-10-25,40.10,40.25,39.05,39.20,1017100,38.17
2013-10-24,40.50,40.95,39.90,40.00,981600,38.94
2013-10-23,40.40,41.30,39.80,40.30,1873400,39.24
2013-10-22,40.20,41.00,39.95,40.25,1678500,39.19
2013-10-21,39.00,40.90,38.95,40.60,2288100,39.53
2013-10-18,38.30,39.15,38.25,38.95,1016400,37.92
2013-10-17,37.85,38.55,37.30,38.10,1325800,37.09
2013-10-16,37.90,37.90,37.90,37.90,000,36.90
2013-10-15,39.00,39.70,37.50,37.90,1248900,36.90
2013-10-14,38.60,39.65,38.40,39.25,1276200,38.21
2013-10-11,38.50,39.15,38.20,38.60,1330300,37.58
2013-10-10,37.85,38.55,37.80,38.25,682700,37.24
2013-10-09,37.55,38.10,37.15,37.90,688200,36.90
2013-10-08,38.35,38.90,37.45,37.75,1176900,36.75
2013-10-07,37.45,37.80,36.75,37.55,907900,36.56
2013-10-04,37.50,38.00,37.05,37.45,912900,36.46
