Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,116.20,116.45,113.30,113.80,1007300,114.00
2012-07-20,116.20,116.45,113.00,114.00,1007300,114.00
2012-07-19,115.25,116.50,113.20,115.75,1790000,115.75
2012-07-18,109.00,114.40,109.00,113.80,1861700,113.80
2012-07-17,112.10,114.15,108.40,108.90,1142600,108.90
2012-07-16,113.35,114.90,100.80,111.30,1214800,111.30
2012-07-13,114.35,115.50,112.25,113.60,1154000,113.60
2012-07-12,113.00,114.40,110.55,113.25,1124000,113.25
2012-07-11,115.00,115.10,112.50,113.20,1021800,113.20
2012-07-10,108.40,116.10,108.40,115.10,2910300,115.10
2012-07-09,114.05,114.40,109.05,110.00,1352700,110.00
2012-07-06,116.50,117.10,113.20,114.30,1624600,114.30
2012-07-05,115.50,117.70,115.35,116.90,2865000,116.90
2012-07-04,108.00,116.20,107.70,115.25,7384600,115.25
2012-07-03,108.10,108.90,106.20,107.20,945200,107.20
2012-07-02,105.00,108.25,104.85,107.40,1925100,107.40
2012-06-29,103.00,106.40,102.55,104.80,2243200,104.80
2012-06-28,102.65,103.15,101.10,102.00,1043500,102.00
2012-06-27,102.05,102.85,101.00,101.55,887300,101.55
2012-06-26,100.65,102.20,100.15,101.05,925500,101.05
2012-06-25,102.80,104.80,100.00,100.15,1646800,100.15
2012-06-22,101.65,102.90,101.05,102.00,1282400,102.00
2012-06-21,101.20,103.80,100.00,103.25,3029400,103.25
2012-06-20,100.00,102.80,100.00,100.30,1517000,100.30
2012-06-19,102.60,102.65,98.65,100.50,1992600,100.50
2012-06-18,103.40,105.75,101.10,102.00,1625300,102.00
2012-06-15,101.95,103.15,101.50,102.00,1047500,102.00
2012-06-14,105.50,105.85,99.80,101.35,1985300,101.35
2012-06-13,107.30,107.30,103.05,104.25,2638300,104.25
2012-06-12,107.20,108.90,106.00,107.00,3468800,107.00
2012-06-11,105.00,111.40,104.60,107.15,5649000,107.15
2012-06-08,103.00,104.85,102.00,104.35,2219100,104.35
2012-06-07,101.80,103.40,99.90,103.00,3779500,103.00
2012-06-06,95.00,99.50,90.95,99.10,2147000,99.10
2012-06-05,96.70,98.05,95.20,95.40,1863700,95.40
2012-06-01,99.55,102.00,96.80,97.10,1819600,97.10
2012-05-31,96.95,101.00,96.30,100.85,2679400,100.85
2012-05-30,101.00,102.15,97.70,97.90,4415000,97.90
2012-05-29,105.65,107.00,101.00,102.30,4414200,102.30
2012-05-28,101.00,108.00,99.55,106.50,7017800,106.50
2012-05-25,91.05,103.35,91.05,101.55,13517600,101.55
2012-05-24,92.00,92.40,88.60,90.40,2678400,90.40
2012-05-23,95.70,96.40,90.70,90.90,1883400,90.90
2012-05-22,100.80,100.80,94.70,96.00,1451000,96.00
2012-05-21,96.10,99.00,96.10,98.20,1340000,98.20
2012-05-18,97.00,98.00,93.70,96.75,3771500,96.75
2012-05-17,105.25,107.55,98.40,100.00,2670100,100.00
2012-05-16,109.35,111.00,103.25,105.50,2972300,105.50
2012-05-14,106.85,108.90,105.50,108.65,731900,108.65
2012-05-11,109.05,111.00,105.10,108.05,2247200,108.05
2012-05-10,106.45,110.10,106.40,110.00,1142600,110.00
2012-05-09,109.50,109.50,105.05,106.95,789300,106.95
