/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,112.95,113.50,111.30,111.95,413400,111.90
2012-07-20,112.95,113.50,111.25,111.90,413400,111.90
2012-07-19,113.50,115.50,112.50,112.85,299300,112.85
2012-07-18,113.35,113.90,111.10,112.90,160400,112.90
2012-07-17,114.70,116.45,110.95,112.40,316900,112.40
2012-07-16,116.90,117.35,110.70,114.20,466900,114.20
2012-07-13,118.35,118.40,116.00,116.15,311400,116.15
2012-07-12,116.80,117.80,115.85,116.55,320400,116.55
2012-07-11,117.60,120.35,116.40,117.25,454400,117.25
2012-07-10,115.20,118.00,114.75,117.50,440800,117.50
2012-07-09,117.90,118.65,114.70,114.70,379600,114.70
2012-07-06,120.45,121.20,118.50,118.70,538800,118.70
2012-07-05,121.50,122.40,119.15,119.65,241400,119.65
2012-07-04,120.80,121.00,118.85,120.20,354300,120.20
2012-07-03,119.80,120.70,118.75,119.50,259500,119.50
2012-07-02,118.95,119.70,118.00,118.75,355400,118.75
2012-06-29,117.00,119.35,117.00,118.50,553700,118.50
2012-06-28,118.00,119.25,115.20,116.30,910700,116.30
2012-06-27,119.90,120.80,117.50,117.85,393000,117.85
2012-06-26,121.00,121.15,118.20,118.80,124800,118.80
2012-06-25,123.00,123.80,119.10,119.75,411400,119.75
2012-06-22,120.10,124.00,118.00,121.50,1243600,121.50
2012-06-21,119.25,121.70,118.10,120.50,317400,120.50
2012-06-20,117.20,119.75,117.20,119.25,618700,119.25
2012-06-19,119.50,120.00,116.65,118.00,233300,118.00
2012-06-18,121.35,121.80,118.35,119.50,404200,119.50
2012-06-15,119.25,121.40,118.70,119.40,361500,119.40
2012-06-14,120.65,121.80,117.50,118.70,312500,118.70
2012-06-13,123.10,123.60,120.35,121.15,299900,121.15
2012-06-12,120.20,123.85,118.50,122.20,214300,122.20
2012-06-11,124.00,126.50,120.50,120.60,457900,120.60
2012-06-08,121.80,124.65,120.10,124.45,288100,124.45
2012-06-07,124.95,125.00,120.70,121.75,337800,121.75
2012-06-06,121.00,125.00,120.55,124.00,701800,124.00
2012-06-05,120.85,122.00,119.05,120.00,797700,120.00
2012-06-01,118.25,121.40,117.45,118.15,950900,118.15
2012-05-31,120.00,123.65,115.60,119.50,3208500,119.50
2012-05-30,121.50,122.50,116.20,121.30,1578100,121.30
2012-05-29,122.40,124.90,118.50,120.85,1606000,120.85
2012-05-28,119.50,121.00,118.00,119.45,278800,119.45
2012-05-25,122.05,123.45,117.25,118.00,1285600,118.00
2012-05-24,116.85,124.55,116.00,120.90,2140500,120.90
2012-05-23,119.95,119.95,115.90,116.60,664100,116.60
2012-05-22,124.00,124.00,116.60,119.55,1075100,119.55
2012-05-21,124.00,125.20,119.55,121.00,690000,121.00
2012-05-18,115.30,123.70,115.30,122.75,1233600,122.75
2012-05-17,119.45,122.25,117.70,118.60,741600,118.60
2012-05-16,115.35,118.70,115.00,118.45,822200,118.45
2012-05-14,117.00,117.80,109.55,113.50,1003600,113.50
2012-05-11,118.30,119.45,116.30,116.85,627000,116.85
2012-05-10,121.80,122.90,116.30,118.80,1339300,118.80
2012-05-09,119.50,123.40,118.00,119.70,3238500,119.70
2012-05-08,124.00,124.10,117.10,118.00,975700,118.00
2012-05-07,124.90,124.90,120.00,122.50,686600,122.50
2012-05-04,122.55,127.20,118.00,125.20,3683300,125.20
2012-05-03,124.05,125.00,122.25,124.25,481700,124.25
2012-05-02,126.00,127.60,123.65,124.50,534700,124.50
2012-04-30,126.30,128.25,124.00,125.35,1113400,125.35
2012-04-27,123.40,128.20,120.05,121.95,1832500,121.95
2012-04-26,125.40,126.25,117.70,121.50,1574100,121.50
2012-04-25,128.90,130.25,123.15,124.20,1018300,124.20
2012-04-24,126.55,129.50,125.15,129.00,793200,129.00
2012-04-23,132.00,135.10,124.10,125.30,1386200,125.30
2012-04-20,133.65,136.95,131.05,131.30,471500,131.30
2012-04-19,136.40,136.50,133.75,134.35,504500,134.35
2012-04-18,136.00,138.30,135.50,136.00,1225200,136.00
2012-04-17,133.25,136.45,131.20,135.60,1572100,135.60
2012-04-16,134.40,136.30,131.55,132.75,801400,132.75
2012-04-13,140.70,141.75,133.60,134.75,1019700,134.75
2012-04-12,135.50,140.90,133.15,139.10,1510000,139.10
2012-04-11,134.95,137.00,132.70,134.80,962600,134.80
2012-04-10,131.70,136.85,130.00,135.80,1271300,135.80
2012-04-09,131.25,133.90,130.05,130.10,736900,130.10
2012-04-04,133.20,134.30,131.35,133.00,483500,133.00
2012-04-03,135.70,138.05,133.40,134.50,830000,134.50
2012-04-02,135.40,137.90,133.75,135.80,773700,135.80
2012-03-30,129.10,135.25,126.15,134.50,2591000,134.50
2012-03-29,131.00,135.45,125.60,126.10,3638700,126.10
2012-03-28,138.15,139.50,132.60,133.45,1625900,133.45
2012-03-27,139.90,142.30,136.30,140.70,1305900,140.70
2012-03-26,145.10,145.85,137.40,139.85,1212800,139.85
2012-03-23,136.95,146.00,134.00,143.80,2499400,143.80
2012-03-21,134.20,146.90,133.10,146.20,1287100,146.20
2012-03-20,141.00,141.40,133.00,135.35,784100,135.35
2012-03-19,141.00,148.70,139.25,139.50,1947900,139.50
2012-03-16,139.90,140.00,134.05,135.20,477400,135.20
2012-03-15,140.30,142.60,137.55,138.30,821000,138.30
2012-03-14,139.80,144.60,137.30,142.15,928400,142.15
2012-03-13,140.80,142.40,138.70,139.15,948100,139.15
2012-03-12,142.55,145.00,137.55,140.30,871900,140.30
2012-03-09,133.85,143.00,132.00,141.00,1046100,141.00
2012-03-07,132.40,135.20,127.40,131.95,733400,131.95
2012-03-06,138.90,140.65,127.55,129.00,2068500,129.00
2012-03-05,145.00,146.00,137.25,138.00,987300,138.00
2012-03-02,149.50,149.70,142.15,143.25,1023300,143.25
2012-03-01,143.85,150.40,143.65,146.60,1611600,146.60
2012-02-29,140.00,147.50,136.10,146.60,2542100,146.60
2012-02-28,134.80,140.50,134.05,139.05,1354200,139.05
2012-02-27,141.50,141.80,131.30,133.00,1116900,133.00
2012-02-24,145.00,149.00,139.30,141.95,1807600,141.95
2012-02-23,147.50,152.90,144.10,146.90,4288600,146.90
2012-02-22,152.85,155.50,146.25,146.95,1745300,146.95
2012-02-21,138.20,156.45,138.20,152.50,1087400,152.50
2012-02-17,150.25,156.80,150.25,153.00,1709900,153.00
2012-02-16,141.00,150.45,140.00,149.80,876700,149.80
2012-02-15,137.80,142.65,137.80,142.00,718000,142.00
