/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,369.00,370.00,362.30,363.30,629100,363.05
2012-07-20,368.95,372.00,362.30,363.05,629100,363.05
2012-07-19,366.25,369.70,365.25,368.50,977900,368.50
2012-07-18,365.00,367.00,363.05,365.10,1845700,365.10
2012-07-17,357.00,364.35,353.20,363.00,1521800,363.00
2012-07-16,358.00,361.50,354.20,354.80,1061700,354.80
2012-07-13,361.50,364.70,357.00,357.20,1786300,357.20
2012-07-12,368.00,369.00,355.55,359.05,4760800,359.05
2012-07-11,384.00,384.95,371.50,376.00,4532600,376.00
2012-07-10,387.80,390.95,383.50,384.30,1492200,384.30
2012-07-09,389.05,391.75,384.10,385.45,1233300,385.45
2012-07-06,394.60,395.05,389.05,392.50,1403500,392.50
2012-07-05,394.75,396.85,391.05,396.00,1374800,396.00
2012-07-04,401.15,403.80,392.00,395.10,1359700,395.10
2012-07-03,401.00,404.50,398.50,400.00,1038800,400.00
2012-07-02,401.20,402.95,398.50,400.50,891100,400.50
2012-06-29,401.40,409.75,398.25,399.65,1844200,399.65
2012-06-28,397.55,399.85,396.20,399.00,796300,399.00
2012-06-27,402.15,404.70,398.10,399.20,423800,399.20
2012-06-26,398.15,402.60,397.20,401.70,519900,401.70
2012-06-25,399.30,402.40,397.50,400.00,593700,400.00
2012-06-22,393.00,404.50,393.00,400.00,1124300,400.00
2012-06-21,397.10,403.50,396.25,403.10,1200100,403.10
2012-06-20,399.55,401.90,397.30,400.10,1278300,400.10
2012-06-19,394.00,401.00,394.00,399.80,725500,399.80
2012-06-18,398.25,402.70,387.15,395.50,1088000,395.50
2012-06-15,397.00,401.00,395.60,397.00,757300,397.00
2012-06-14,398.80,398.80,392.10,392.50,852300,392.50
2012-06-13,394.00,398.45,393.30,396.05,912300,396.05
2012-06-12,396.00,397.40,387.00,392.90,2230000,392.90
2012-06-11,404.00,407.50,397.15,398.10,730800,398.10
2012-06-08,399.50,405.00,397.20,403.55,1054200,403.55
2012-06-07,410.10,414.90,399.05,400.30,1148000,400.30
2012-06-06,400.20,412.45,400.20,407.80,1291300,407.80
2012-06-05,396.15,404.40,394.45,399.95,781100,399.95
2012-06-01,404.40,405.10,398.00,403.00,1182800,403.00
