/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,328.20,331.70,318.00,320.80,4539300,320.80
2014-01-28,322.00,329.90,314.45,324.90,9306800,324.90
2014-01-27,340.00,340.90,320.00,321.65,7422300,321.65
2014-01-24,354.20,357.75,345.15,348.05,2676700,348.05
2014-01-23,360.95,362.25,355.50,357.50,2667800,357.50
2014-01-22,364.00,364.80,358.65,361.45,2826600,361.45
2014-01-21,360.30,366.35,360.30,363.20,3177700,363.20
2014-01-20,349.15,360.55,349.15,359.40,3285000,359.40
2014-01-17,353.00,357.60,349.40,351.15,4150700,351.15
2014-01-16,356.00,360.00,352.10,356.55,4949800,356.55
2014-01-15,350.90,356.80,342.30,353.05,12986800,353.05
2014-01-14,341.00,347.60,340.20,346.60,3982000,346.60
2014-01-13,343.00,348.75,335.00,338.75,4993700,338.75
2014-01-10,352.00,357.00,341.75,343.00,4069200,343.00
2014-01-09,355.70,355.70,348.00,350.15,3819700,350.15
2014-01-08,366.25,367.50,353.55,356.40,5123300,356.40
2014-01-07,366.00,368.90,359.30,365.15,4825000,365.15
2014-01-06,370.30,370.65,362.10,366.40,3031100,366.40
2014-01-03,358.00,371.45,358.00,369.80,3967800,369.80
2014-01-02,375.00,381.80,360.20,362.15,6127100,362.15
2014-01-01,373.00,375.80,371.10,374.45,1339400,374.45
2013-12-31,369.00,371.55,366.35,370.20,1872700,370.20
2013-12-30,374.00,377.35,367.50,368.50,2104100,368.50
2013-12-27,374.30,376.75,372.00,373.80,2088900,373.80
2013-12-26,377.40,379.95,369.65,371.20,2955300,371.20
2013-12-25,375.85,375.85,375.85,375.85,000,375.85
2013-12-24,379.55,383.40,374.55,375.85,2942100,375.85
2013-12-23,371.50,381.35,371.50,379.55,3508400,379.55
2013-12-20,364.00,371.80,360.85,370.45,3416600,370.45
2013-12-19,378.00,379.70,363.40,364.50,4243800,364.50
2013-12-18,361.05,378.75,361.05,375.50,7081200,375.50
2013-12-17,369.90,370.20,360.85,363.75,3687300,363.75
2013-12-16,362.70,369.70,357.70,362.60,3904200,362.60
2013-12-13,374.50,375.50,364.50,365.60,3999300,365.60
2013-12-12,384.00,385.00,377.50,380.50,4622000,380.50
2013-12-11,379.60,388.70,375.75,386.50,5573400,386.50
2013-12-10,394.00,394.75,380.00,383.35,5011700,383.35
2013-12-09,412.00,414.90,392.30,395.05,6688800,395.05
2013-12-06,395.00,396.10,387.15,391.90,6238400,391.90
2013-12-05,381.00,398.75,380.00,395.05,11604500,395.05
2013-12-04,369.90,373.45,367.75,370.50,3513500,370.50
2013-12-03,372.00,374.50,368.50,371.55,3286600,371.55
2013-12-02,371.70,378.00,371.70,375.60,4461700,375.60
2013-11-29,361.80,373.30,361.80,368.65,5455800,368.65
2013-11-28,361.00,365.80,359.00,364.20,4667500,364.20
2013-11-27,362.00,364.00,352.15,355.95,5453800,355.95
2013-11-26,353.00,366.25,347.75,362.05,21456100,362.05
2013-11-25,349.35,352.40,343.20,350.85,7631100,350.85
2013-11-22,359.85,361.40,342.10,344.25,7530700,344.25
2013-11-21,359.95,362.05,351.55,354.40,7681800,354.40
2013-11-20,362.00,372.80,357.10,365.45,7719400,365.45
2013-11-19,363.65,366.80,360.55,363.60,4069500,363.60
2013-11-18,358.70,364.65,357.10,362.80,6103400,362.80
2013-11-15,351.25,351.25,351.25,351.25,000,351.25
2013-11-14,341.00,353.60,340.20,351.25,8772900,351.25
2013-11-13,325.05,335.50,323.65,331.60,8826800,331.60
2013-11-12,334.85,342.50,325.80,328.95,6824700,328.95
2013-11-11,351.25,352.90,331.75,333.45,9443300,333.45
2013-11-08,362.65,365.40,352.40,354.25,8175600,354.25
2013-11-07,371.00,374.95,359.55,360.75,6908400,360.75
2013-11-06,374.70,377.40,364.10,368.40,6292300,368.40
2013-11-05,378.45,383.00,368.10,375.85,9088100,375.85
2013-11-04,378.10,378.10,378.10,378.10,000,378.10
2013-11-01,369.00,386.25,366.50,378.10,10612900,378.10
2013-10-31,370.00,372.95,365.40,368.80,7450100,368.80
2013-10-30,374.80,379.80,368.20,372.35,9346500,372.35
2013-10-29,347.00,373.10,341.15,371.40,15913000,371.40
2013-10-28,357.60,361.50,345.40,347.40,5136300,347.40
2013-10-25,360.80,362.25,354.45,355.50,6900000,355.50
2013-10-24,375.50,379.95,360.70,362.70,10582200,362.70
2013-10-23,376.65,381.90,365.55,374.00,16053800,374.00
2013-10-22,360.25,374.90,349.00,372.00,24674200,372.00
2013-10-21,349.30,360.70,348.25,358.65,9498800,358.65
2013-10-18,336.90,347.95,336.50,346.30,7394700,346.30
2013-10-17,334.60,340.90,326.35,335.80,9773600,335.80
2013-10-16,331.10,331.10,331.10,331.10,000,331.10
2013-10-15,353.00,353.55,329.00,331.10,11974500,331.10
2013-10-14,348.80,354.80,346.00,348.65,7290300,348.65
2013-10-11,350.10,352.00,342.50,347.55,9912500,347.55
2013-10-10,340.00,344.90,336.15,342.25,10284200,342.25
2013-10-09,319.25,342.45,319.25,340.75,15358700,340.75
2013-10-08,339.00,345.00,327.05,328.95,17599500,328.95
2013-10-07,315.00,317.70,306.35,315.55,10179500,315.55
2013-10-04,306.00,318.90,304.60,315.35,16355500,315.35
2013-10-03,297.00,312.85,296.00,310.65,14168600,310.65
2013-10-02,294.90,294.90,294.90,294.90,000,294.90
2013-10-01,289.00,298.60,280.40,294.90,18768200,294.90
2013-09-30,299.00,299.00,286.15,287.35,10916500,287.35
2013-09-27,317.80,320.00,302.00,304.60,11608500,304.60
2013-09-26,316.00,322.25,311.00,315.80,14344000,315.80
2013-09-25,322.00,324.55,306.30,314.10,17947000,314.10
2013-09-24,321.25,335.50,316.50,318.90,22714700,318.90
2013-09-23,346.80,360.85,323.55,327.30,20056500,327.30
2013-09-20,390.00,390.00,335.00,356.05,35039600,356.05
2013-09-19,347.40,394.70,347.40,386.70,34200100,386.70
2013-09-18,305.00,319.40,302.70,315.85,14174100,315.85
2013-09-17,292.25,304.00,290.10,300.90,11059800,300.90
2013-09-16,295.10,300.00,283.60,291.70,12603500,291.70
2013-09-13,279.00,287.75,274.20,281.20,14942900,281.20
2013-09-12,305.70,306.90,276.30,281.20,14351300,281.20
2013-09-11,302.95,306.00,293.80,303.75,13877500,303.75
2013-09-10,300.00,313.95,300.00,306.90,14878800,306.90
2013-09-09,292.95,292.95,292.95,292.95,000,292.95
2013-09-06,294.70,296.30,280.10,292.95,18546800,292.95
2013-09-05,250.00,293.40,250.00,287.50,31137100,287.50
2013-09-04,230.00,242.50,223.00,236.05,15229400,236.05
2013-09-03,255.20,256.20,226.10,229.10,15245700,229.10
2013-09-02,246.50,255.90,246.00,252.95,10394000,252.95
2013-08-30,234.60,248.50,231.00,243.35,16741700,243.35
2013-08-29,233.00,236.70,223.50,232.50,13251500,232.50
2013-08-28,227.75,232.30,216.10,225.85,17627900,225.85
2013-08-27,254.15,254.90,233.40,235.80,13589900,235.80
2013-08-26,263.40,267.40,253.50,261.20,11796800,261.20
2013-08-23,245.50,262.90,242.80,259.25,18088200,259.25
2013-08-22,250.60,253.00,233.70,242.50,31318800,242.50
2013-08-21,267.05,284.50,246.10,255.05,36648600,255.05
2013-08-20,232.00,247.60,220.15,242.80,19188300,242.80
2013-08-19,255.00,255.20,235.10,241.50,16022000,241.50
2013-08-16,289.00,289.00,252.60,258.30,14523200,258.30
2013-08-15,291.45,291.45,291.45,291.45,000,291.45
2013-08-14,314.10,315.00,288.40,291.45,13456300,291.45
2013-08-13,298.50,318.40,297.10,309.70,15876000,309.70
2013-08-12,284.40,307.55,275.50,301.20,12167300,301.20
2013-08-09,283.05,283.05,283.05,283.05,000,283.05
2013-08-08,291.90,293.70,280.00,283.05,8698100,283.05
2013-08-07,274.00,299.65,268.55,293.60,13792200,293.60
2013-08-06,294.00,296.00,270.50,275.15,8562200,275.15
2013-08-05,308.55,312.05,290.00,299.60,9465500,299.60
2013-08-02,330.00,334.90,305.00,308.70,7903600,308.70
2013-08-01,330.00,339.30,304.05,327.65,13268600,327.65
2013-07-31,348.00,348.00,285.00,324.00,20799400,324.00
2013-07-30,363.40,374.80,346.55,348.70,7078600,348.70
2013-07-29,368.00,371.25,357.10,363.45,5124000,363.45
2013-07-26,379.90,382.15,342.20,367.10,16110900,367.10
2013-07-25,380.00,392.45,369.50,373.70,11991500,373.70
2013-07-24,420.00,423.00,373.80,383.35,23361900,383.35
2013-07-23,432.40,442.90,428.25,438.65,3287500,438.65
2013-07-22,425.90,432.85,422.00,423.90,2634600,423.90
2013-07-19,443.00,446.95,423.00,424.60,4846700,424.60
2013-07-18,428.00,441.90,422.20,440.45,6906500,440.45
2013-07-17,455.00,455.90,416.60,426.85,10372400,426.85
2013-07-16,475.25,480.00,445.00,450.95,9620500,450.95
2013-07-15,492.95,502.00,485.00,500.35,1660800,500.35
2013-07-12,492.00,492.70,482.10,490.45,996300,490.45
2013-07-11,483.00,494.40,482.00,486.55,1714400,486.55
2013-07-10,480.90,484.40,473.00,476.20,1295000,476.20
2013-07-09,467.00,483.60,467.00,478.65,2052200,478.65
2013-07-08,464.00,469.65,453.35,466.80,1620400,466.80
2013-07-05,473.70,478.00,463.00,465.30,1323500,465.30
2013-07-04,468.70,476.50,461.55,470.20,2254500,470.20
2013-07-03,462.10,470.70,456.15,463.35,2028700,463.35
2013-07-02,467.25,474.00,463.40,468.45,1793300,468.45
2013-07-01,463.20,471.90,461.20,470.15,1871200,470.15
2013-06-28,450.00,464.00,441.25,461.10,3477900,461.10
2013-06-27,456.00,462.50,437.00,443.30,2225300,443.30
2013-06-26,450.80,459.35,445.75,448.45,1397700,448.45
2013-06-25,443.05,454.00,435.75,447.65,2433900,447.65
2013-06-24,448.65,450.45,438.50,440.90,1112500,440.90
2013-06-21,457.90,462.45,445.55,452.75,4225800,452.75
2013-06-20,470.00,470.00,458.10,459.50,2396100,459.50
2013-06-19,476.70,479.45,470.60,478.20,2028900,478.20
2013-06-18,482.80,483.00,472.80,475.15,1642000,475.15
2013-06-17,480.10,489.70,470.00,483.95,2326700,483.95
2013-06-14,463.30,480.65,463.25,478.65,2371900,478.65
2013-06-13,465.00,469.70,455.15,456.75,1886800,456.75
2013-06-12,470.00,474.00,461.20,468.75,1989700,468.75
2013-06-11,486.60,488.05,466.40,471.95,1872400,471.95
2013-06-10,497.95,503.00,487.35,490.50,1426200,490.50
2013-06-07,506.00,514.90,500.50,502.60,1304600,502.60
2013-06-06,498.00,509.85,492.35,507.60,1630200,507.60
2013-06-05,489.50,503.00,489.50,499.70,1078500,499.70
2013-06-04,502.95,508.75,489.45,492.30,1450000,492.30
2013-06-03,487.55,503.95,486.50,502.70,1357300,502.70
2013-05-31,501.00,502.45,486.00,487.30,1425100,487.30
2013-05-30,500.05,507.40,498.05,500.00,1149500,500.00
2013-05-29,515.05,516.65,500.50,502.90,1126200,502.90
2013-05-28,519.00,522.50,513.00,515.45,1010400,515.45
2013-05-27,505.00,520.50,504.00,518.65,1149300,518.65
2013-05-24,504.00,509.00,495.85,505.00,1279400,505.00
2013-05-23,504.50,504.90,494.00,496.70,1513900,496.70
2013-05-22,520.00,522.65,504.85,509.85,1276100,503.85
2013-05-21,529.50,531.90,513.65,515.25,1575900,509.19
2013-05-20,543.00,547.00,528.10,529.90,1342700,523.66
2013-05-17,544.00,547.70,537.55,542.75,1245000,536.36
2013-05-16,530.00,547.00,530.00,542.55,2329400,536.17
2013-05-15,508.05,531.20,508.05,527.85,2173500,521.64
2013-05-14,502.85,510.45,498.00,507.65,1253600,501.68
2013-05-13,511.00,514.00,501.15,502.85,885400,496.93
2013-05-10,501.00,511.75,499.50,510.00,1449700,504.00
2013-05-09,506.90,511.90,501.30,502.85,1012800,496.93
2013-05-08,509.00,512.55,504.10,507.35,995100,501.38
2013-05-07,497.00,511.00,495.05,508.25,1632700,502.27
2013-05-06,497.00,498.00,487.00,496.40,1404900,490.56
2013-05-03,504.60,508.55,495.50,497.50,3759500,491.65
2013-05-02,502.00,511.00,500.65,504.60,1610900,498.66
2013-05-01,501.65,501.65,501.65,501.65,000,495.75
2013-04-30,506.00,509.00,494.20,501.65,1695800,495.75
2013-04-29,497.75,507.70,491.75,504.95,1479100,499.01
2013-04-26,500.95,502.40,494.65,497.75,940900,491.89
2013-04-25,496.20,508.30,493.50,503.80,2763500,497.87
2013-04-24,495.20,495.20,495.20,495.20,000,489.37
2013-04-23,496.90,497.45,484.10,495.20,2019000,489.37
2013-04-22,493.00,499.00,487.85,494.35,2337900,488.53
2013-04-19,491.25,491.25,491.25,491.25,000,485.47
2013-04-18,482.70,493.00,474.50,491.25,3181800,485.47
2013-04-17,474.15,488.00,468.20,479.40,6686000,473.76
2013-04-16,459.00,470.60,459.00,468.90,2049800,463.38
2013-04-15,445.00,463.30,443.10,457.90,2394000,452.51
2013-04-12,437.00,444.70,433.35,442.55,1851500,437.34
2013-04-11,434.00,438.50,427.50,437.60,2061100,432.45
2013-04-10,427.00,429.90,416.75,428.45,2247300,423.41
2013-04-09,429.00,436.80,423.55,424.55,1810200,419.55
2013-04-08,427.00,430.45,423.55,425.35,1004400,420.34
2013-04-05,427.00,434.50,423.20,425.65,1904400,420.64
2013-04-04,432.50,436.85,425.00,427.60,2072100,422.57
2013-04-03,449.00,459.70,433.50,435.45,3012800,430.33
2013-04-02,428.30,450.90,428.30,449.55,2154500,444.26
2013-04-01,429.00,434.00,422.00,432.30,1517800,427.21
2013-03-29,428.90,428.90,428.90,428.90,000,423.85
2013-03-28,444.00,444.00,416.85,428.90,2604600,423.85
2013-03-27,425.30,425.30,425.30,425.30,000,420.29
2013-03-26,434.00,436.15,422.70,425.30,2184500,420.29
2013-03-25,445.00,448.00,431.70,435.15,1375100,430.03
2013-03-22,433.00,444.55,431.00,440.50,2388000,435.32
2013-03-21,432.00,446.00,427.60,432.10,3026200,427.01
2013-03-20,438.80,443.60,428.55,431.20,2985400,426.13
2013-03-19,464.00,465.00,435.00,438.80,3442500,433.64
2013-03-18,470.00,473.25,458.35,459.40,2443500,453.99
2013-03-15,485.00,491.00,472.60,473.70,1707400,468.13
2013-03-14,482.35,488.40,471.00,484.75,1896000,479.05
2013-03-13,490.00,491.05,480.60,482.40,872800,476.72
2013-03-12,495.55,500.55,488.10,492.00,1657500,486.21
2013-03-11,486.00,498.00,486.00,493.75,1617800,487.94
2013-03-08,486.80,490.50,480.20,485.85,1653800,480.13
2013-03-07,480.70,486.45,477.50,485.05,879400,479.34
2013-03-06,488.00,488.00,479.55,481.75,1290300,476.08
2013-03-05,476.70,482.90,469.00,480.05,2539900,474.40
2013-03-04,480.00,480.00,468.20,474.95,2059900,469.36
2013-03-01,475.00,483.90,471.00,473.00,4128500,467.43
2013-02-28,495.05,497.40,467.20,472.00,5080300,466.45
2013-02-27,472.50,493.40,472.50,490.55,3064300,484.78
2013-02-26,478.00,480.00,468.50,472.15,2247700,466.59
2013-02-25,493.00,493.00,477.10,479.30,3107100,473.66
2013-02-22,485.50,493.70,475.60,490.10,2387600,484.33
2013-02-21,507.20,507.20,484.10,486.95,2283600,481.22
2013-02-20,507.00,510.95,503.80,509.20,1374600,503.21
2013-02-19,501.50,506.00,495.65,505.05,1825800,499.11
2013-02-18,502.20,508.35,498.00,501.40,1206200,495.50
2013-02-15,501.45,503.55,491.85,501.95,2008500,496.04
2013-02-14,512.05,512.45,496.80,501.45,1789900,495.55
2013-02-13,527.40,527.40,510.85,512.25,1489400,506.22
2013-02-12,516.95,523.00,514.70,522.15,1426400,516.01
2013-02-11,512.00,518.40,508.00,516.70,1702900,510.62
2013-02-08,505.10,513.85,505.10,509.65,1657900,503.65
2013-02-07,512.00,516.00,503.30,507.90,1760000,501.92
2013-02-06,515.00,518.65,503.10,511.40,2585200,505.38
2013-02-05,524.00,524.80,511.30,513.90,1899400,507.85
2013-02-04,533.00,538.90,522.95,524.80,1668500,518.62
2013-02-01,522.15,536.60,519.10,532.35,3568500,526.09
2013-01-31,520.05,523.80,517.05,522.15,1559600,516.01
2013-01-30,513.35,522.45,511.00,520.00,3054100,513.88
2013-01-29,525.90,526.00,510.05,511.45,5134100,505.43
2013-01-28,506.20,525.30,506.00,523.55,3009000,517.39
2013-01-25,507.95,508.70,494.75,504.25,2622800,498.32
2013-01-24,514.05,516.00,505.75,507.80,1763000,501.82
2013-01-23,509.35,516.95,501.50,514.45,1917800,508.40
2013-01-22,511.00,519.00,495.00,508.90,2094800,502.91
2013-01-21,518.00,521.00,510.55,511.70,1951000,505.68
2013-01-18,524.10,526.75,514.90,517.00,2929600,510.92
2013-01-17,516.10,528.80,510.00,523.90,4749500,517.73
2013-01-16,531.00,545.00,516.65,518.05,7194700,511.95
2013-01-15,506.00,532.50,506.00,527.95,4866700,521.74
2013-01-14,499.00,509.60,495.00,506.50,2485600,500.54
2013-01-11,516.50,516.55,496.50,498.40,4149700,492.53
2013-01-10,506.05,516.80,503.00,515.45,2345200,509.38
2013-01-09,500.00,509.90,500.00,504.20,2654300,498.27
2013-01-08,498.00,501.00,493.75,499.65,1647400,493.77
2013-01-07,489.05,501.40,489.05,498.25,2484900,492.39
2013-01-04,492.00,494.05,488.00,489.05,1298500,483.29
2013-01-03,487.00,496.95,487.00,492.20,2235100,486.41
2013-01-02,478.95,489.60,478.85,487.85,1956900,482.11
2013-01-01,466.75,478.50,466.05,477.00,1076200,471.39
2012-12-31,463.00,469.65,461.95,464.05,776400,458.59
2012-12-28,468.10,468.10,459.30,463.05,1132700,457.60
2012-12-27,462.60,468.20,460.25,466.25,1678800,460.76
2012-12-26,462.00,467.00,459.45,463.85,909400,458.39
2012-12-25,461.65,461.65,461.65,461.65,000,456.22
2012-12-24,459.00,463.40,457.25,461.65,697600,456.22
2012-12-21,472.70,473.00,457.25,459.30,2728800,453.89
2012-12-20,470.80,474.90,463.10,473.00,1447600,467.43
2012-12-19,468.95,474.75,467.00,469.75,1552900,464.22
2012-12-18,466.55,471.80,455.00,468.45,1559900,462.94
2012-12-17,460.60,467.15,460.00,466.05,1238300,460.57
2012-12-14,448.45,462.65,446.55,460.60,1376000,455.18
2012-12-13,455.00,455.90,446.05,448.05,1384700,442.78
2012-12-12,456.00,458.80,451.10,454.10,1408800,448.76
2012-12-11,458.10,466.00,452.10,456.50,1539800,451.13
2012-12-10,456.00,460.45,455.35,457.55,1205000,452.17
2012-12-07,473.00,473.00,453.40,455.45,3515600,450.09
2012-12-06,452.10,470.00,448.10,467.70,2216400,462.20
2012-12-05,451.05,453.90,447.65,450.40,1268300,445.10
2012-12-04,442.50,452.60,442.50,450.65,1297400,445.35
2012-12-03,443.20,449.00,441.10,447.40,1442900,442.13
2012-11-30,444.00,447.90,440.20,442.25,2208100,437.05
2012-11-29,434.50,447.75,433.05,443.35,3027600,438.13
2012-11-28,434.35,434.35,434.35,434.35,000,429.24
2012-11-27,421.35,435.50,420.25,434.35,2722800,429.24
2012-11-26,420.00,423.40,418.60,419.50,961500,414.56
2012-11-23,421.50,422.10,416.30,420.60,856300,415.65
2012-11-22,422.65,424.20,419.15,420.85,921500,415.90
2012-11-21,421.10,424.85,419.80,422.20,1519200,417.23
2012-11-20,416.50,420.65,414.65,419.65,1093300,414.71
