Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,145.85,152.00,145.85,149.80,3799900,151.35
2012-07-20,145.85,152.00,145.80,151.35,3799900,151.35
2012-07-19,149.70,149.70,145.60,146.25,2490900,146.25
2012-07-18,144.00,148.00,144.00,146.50,1377600,146.50
2012-07-17,145.60,145.95,143.35,145.05,663900,145.05
2012-07-16,144.50,145.80,142.60,145.00,926700,145.00
2012-07-13,143.55,146.70,142.70,144.70,3017000,144.70
2012-07-12,141.75,146.70,141.50,142.50,2235900,142.50
2012-07-11,141.90,145.65,140.25,143.60,2104200,143.60
2012-07-10,145.00,147.30,142.05,142.75,1998400,142.75
2012-07-09,147.55,147.60,142.95,145.00,2282800,145.00
2012-07-06,148.05,148.90,147.25,148.00,741100,148.00
2012-07-05,147.15,150.70,145.10,148.00,667100,148.00
2012-07-04,148.50,151.20,146.80,148.50,4882200,148.50
2012-07-03,149.00,150.80,147.45,148.50,2410100,148.50
2012-07-02,148.00,151.60,145.55,149.00,1336400,149.00
2012-06-29,143.40,149.00,141.50,148.05,2275600,148.05
2012-06-28,143.80,143.85,138.25,141.20,1718500,141.20
2012-06-27,141.10,143.00,140.65,142.75,1422200,142.75
2012-06-26,136.75,141.45,135.00,140.60,5096400,140.60
2012-06-25,135.10,138.15,135.05,136.00,2520600,136.00
2012-06-22,134.45,136.25,133.80,136.20,213100,136.20
2012-06-21,133.55,136.25,133.55,135.00,6094400,135.00
2012-06-20,135.25,135.40,134.00,135.00,1500500,135.00
2012-06-19,135.60,136.90,134.00,134.75,913500,134.75
2012-06-18,134.95,135.55,133.80,134.95,401200,134.95
2012-06-15,135.20,136.90,134.00,135.70,2572300,135.70
2012-06-14,133.50,135.95,132.80,135.00,930100,135.00
2012-06-13,135.80,136.70,131.45,132.30,895900,132.30
2012-06-12,134.85,137.10,134.25,135.00,1407300,135.00
2012-06-11,139.75,139.75,135.15,135.50,2509200,135.50
2012-06-08,133.00,138.05,133.00,136.95,3472300,136.95
2012-06-07,131.80,139.50,131.00,136.95,6984100,136.95
2012-06-06,125.65,132.80,125.65,130.80,1334000,130.80
2012-06-05,126.35,127.80,125.60,126.00,1384400,126.00
2012-06-01,131.70,131.70,125.40,126.35,1152500,126.35
2012-05-31,126.55,135.05,126.55,129.05,4708500,129.05
2012-05-30,125.60,131.00,125.40,128.70,1268400,128.70
2012-05-29,125.80,127.75,125.75,126.00,855400,126.00
2012-05-28,125.70,127.40,125.10,126.15,825400,126.15
2012-05-25,127.00,127.65,125.40,125.40,791900,125.40
2012-05-24,126.30,128.25,126.30,126.50,1157000,126.50
2012-05-23,124.55,126.75,123.95,126.25,2617700,126.25
2012-05-22,123.60,126.45,123.60,125.00,1650500,125.00
2012-05-21,123.25,124.40,121.80,124.10,1209200,124.10
2012-05-18,121.50,124.90,121.50,123.75,904300,123.75
2012-05-17,125.00,127.50,123.65,125.00,784400,125.00
2012-05-16,121.00,125.40,120.05,124.85,1776600,124.85
2012-05-14,121.80,123.40,120.20,123.00,1564500,123.00
2012-05-11,121.15,121.50,118.90,120.90,1764000,120.90
2012-05-10,124.30,124.60,119.20,122.05,1648100,122.05
2012-05-09,124.00,125.75,122.40,123.40,2879500,123.40
2012-05-08,126.85,127.50,124.10,124.50,1107400,124.50
2012-05-07,123.55,127.20,123.50,126.65,749400,126.65
2012-05-04,124.75,127.75,124.70,125.60,1430900,125.60
2012-05-03,125.85,127.95,124.60,125.00,786100,125.00
2012-05-02,125.80,128.25,125.70,126.50,1164500,126.50
2012-04-30,125.80,126.70,124.50,126.20,682600,126.20
2012-04-27,125.15,126.40,122.95,124.45,578300,124.45
2012-04-26,124.50,129.00,122.20,125.40,2313500,125.40
2012-04-25,124.90,126.40,123.00,125.05,385000,125.05
2012-04-24,125.50,125.70,121.50,125.00,625200,125.00
2012-04-23,124.35,125.55,123.10,123.95,379600,123.95
2012-04-20,125.75,126.00,123.75,124.80,600300,124.80
2012-04-19,125.95,126.15,124.90,125.50,515500,125.50
2012-04-18,127.65,128.45,124.75,125.25,863900,125.25
2012-04-17,126.00,127.40,125.10,126.70,707800,126.70
2012-04-16,125.20,125.75,123.00,125.75,349600,125.75
2012-04-13,125.10,127.20,123.80,124.70,418200,124.70
2012-04-12,126.95,128.35,123.40,125.80,2320000,125.80
2012-04-11,127.70,128.15,124.50,125.25,626200,125.25
2012-04-10,130.50,131.00,126.90,127.30,1341500,127.30
2012-04-09,120.15,134.60,120.15,129.90,739100,129.90
2012-04-04,138.00,140.10,133.25,133.80,1197100,133.80
2012-04-03,132.00,141.00,131.50,138.40,1450200,138.40
2012-04-02,128.60,131.75,127.50,131.20,540700,131.20
2012-03-30,128.50,129.50,125.55,125.95,1178600,125.95
2012-03-29,121.00,130.00,120.95,128.25,1244300,128.25
2012-03-28,126.80,128.70,122.20,123.35,1525600,123.35
2012-03-27,127.00,131.20,124.45,126.90,1338500,126.90
2012-03-26,126.00,128.00,123.70,124.70,378600,124.70
2012-03-23,127.60,129.35,124.60,128.00,1102700,128.00
2012-03-21,122.00,126.50,120.25,126.25,1832900,126.25
2012-03-20,123.70,124.90,115.05,124.20,2141600,124.20
2012-03-19,128.40,129.00,121.80,123.00,1358000,123.00
2012-03-16,134.60,134.60,124.10,127.00,1356700,127.00
