/*Owner & Copyrights: Vance King Saxbe. A.*/INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,28-Jun-2012,0,XX,9761,10057,9746,10036.7,10036.7,107460,265941.42,2535200,-6275,21-JUN-2012,
FUTIDX,BANKNIFTY,26-Jul-2012,0,XX,9779.3,10069,9763.3,10043.45,10043.45,12098,30031.79,384425,137525,21-JUN-2012,
FUTIDX,BANKNIFTY,30-Aug-2012,0,XX,9814.15,10070,9775,10050.7,10050.7,434,1078.42,11875,4575,21-JUN-2012,
FUTIDX,CNXINFRA,28-Jun-2012,0,XX,0,0,0,2523.8,2362.85,0,0,0,0,21-JUN-2012,
FUTIDX,CNXINFRA,26-Jul-2012,0,XX,0,0,0,2405.35,2380.3,0,0,0,0,21-JUN-2012,
FUTIDX,CNXINFRA,30-Aug-2012,0,XX,0,0,0,2240.45,2402.15,0,0,0,0,21-JUN-2012,
FUTIDX,CNXIT,28-Jun-2012,0,XX,6040,6076.95,5983.2,6063.6,6063.6,140,421.08,4600,-700,21-JUN-2012,
FUTIDX,CNXIT,26-Jul-2012,0,XX,6060,6080,6022.05,6077.05,6077.05,18,54.48,1550,400,21-JUN-2012,
FUTIDX,CNXIT,30-Aug-2012,0,XX,0,0,0,6157.15,6154.95,0,0,0,0,21-JUN-2012,
FUTIDX,CNXPSE,28-Jun-2012,0,XX,0,0,0,2896.2,2824.15,0,0,0,0,21-JUN-2012,
FUTIDX,CNXPSE,26-Jul-2012,0,XX,0,0,0,2887.65,2845,0,0,0,0,21-JUN-2012,
FUTIDX,CNXPSE,30-Aug-2012,0,XX,0,0,0,2725.35,2871.1,0,0,0,0,21-JUN-2012,
FUTIDX,DJIA,20-Jul-2012,0,XX,12740,12752.5,12700,12747.5,12747.5,1196,3805.45,50450,-3825,21-JUN-2012,
FUTIDX,DJIA,17-Aug-2012,0,XX,0,0,0,12742.5,13017.5,0,0,0,0,21-JUN-2012,
FUTIDX,DJIA,21-Sep-2012,0,XX,0,0,0,12585,13137.5,0,0,0,0,21-JUN-2012,
FUTIDX,DJIA,21-Dec-2012,0,XX,0,0,0,13090,13455,0,0,0,0,21-JUN-2012,
FUTIDX,DJIA,15-Mar-2013,0,XX,0,0,0,14825,13752.5,0,0,0,0,21-JUN-2012,
FUTIDX,DJIA,21-Jun-2013,0,XX,0,0,0,13947.5,14110,0,0,0,0,21-JUN-2012,
FUTIDX,FTSE100,20-Jul-2012,0,XX,5575,5583,5555,5577,5577,1381,3847.3,301550,10100,21-JUN-2012,
